date,Ellen  Gustafson,Carl Safina,Matt Ridley,Ethan Zuckerman,Iraola,isPartial
2017-10-01,0,3,11,2,16,False
2017-11-01,0,2,13,2,14,False
2017-12-01,1,1,15,1,14,False
2018-01-01,1,1,14,3,19,False
2018-02-01,0,2,11,2,17,False
2018-03-01,1,2,9,2,14,False
2018-04-01,1,3,8,1,16,False
2018-05-01,1,2,7,2,17,False
2018-06-01,0,1,8,2,17,False
2018-07-01,0,2,7,5,16,False
2018-08-01,0,2,8,2,17,False
2018-09-01,0,2,14,1,18,False
2018-10-01,1,2,14,2,20,False
2018-11-01,0,2,13,1,17,False
2018-12-01,1,1,12,0,16,False
2019-01-01,0,1,10,1,16,False
2019-02-01,1,2,7,1,19,False
2019-03-01,0,1,7,1,15,False
2019-04-01,1,2,8,1,19,False
2019-05-01,1,1,8,1,16,False
2019-06-01,1,1,6,2,17,False
2019-07-01,0,2,8,1,24,False
2019-08-01,0,2,10,7,20,False
2019-09-01,0,2,14,6,17,False
2019-10-01,1,2,14,11,16,False
2019-11-01,1,1,11,2,16,False
2019-12-01,0,1,13,3,19,False
2020-01-01,0,2,13,1,28,False
2020-02-01,0,2,12,1,54,False
2020-03-01,0,1,14,1,21,False
2020-04-01,0,3,13,4,17,False
2020-05-01,0,3,20,3,14,False
2020-06-01,1,2,15,3,16,False
2020-07-01,1,2,17,1,34,False
2020-08-01,0,2,11,2,27,False
2020-09-01,0,2,15,2,19,False
2020-10-01,0,2,14,2,21,False
