date,Peter Reinhart,Joseph Pine,Paula Scher,David Carson,Iraola,isPartial
2010-08-01,3,2,4,17,8,False
2010-09-01,4,3,4,26,9,False
2010-10-01,2,2,3,25,9,False
2010-11-01,3,3,5,22,12,False
2010-12-01,6,1,4,18,12,False
2011-01-01,6,3,3,21,8,False
2011-02-01,4,2,4,24,12,False
2011-03-01,2,3,6,22,14,False
2011-04-01,4,1,4,23,10,False
2011-05-01,3,2,4,22,10,False
2011-06-01,3,3,3,16,11,False
2011-07-01,3,2,2,14,8,False
2011-08-01,3,3,2,15,12,False
2011-09-01,3,2,4,23,12,False
2011-10-01,3,1,6,28,10,False
2011-11-01,2,2,7,25,9,False
2011-12-01,3,2,4,16,8,False
2012-01-01,3,2,4,16,8,False
2012-02-01,4,3,5,20,9,False
2012-03-01,4,3,5,23,16,False
2012-04-01,4,2,5,20,11,False
2012-05-01,2,2,4,17,12,False
2012-06-01,2,2,3,15,9,False
2012-07-01,2,2,2,15,7,False
2012-08-01,3,2,2,16,7,False
2012-09-01,3,2,5,18,7,False
2012-10-01,4,2,5,20,8,False
2012-11-01,3,2,4,17,8,False
2012-12-01,3,2,5,16,7,False
2013-01-01,4,2,5,14,7,False
2013-02-01,2,3,6,19,8,False
2013-03-01,2,2,4,20,7,False
2013-04-01,3,3,4,20,7,False
2013-05-01,2,3,4,13,6,False
2013-06-01,2,3,3,11,8,False
2013-07-01,2,2,3,13,7,False
2013-08-01,3,3,3,11,7,False
2013-09-01,2,3,4,18,9,False
2013-10-01,3,3,7,14,8,False
2013-11-01,2,3,5,18,7,False
2013-12-01,3,3,3,11,8,False
2014-01-01,3,3,3,13,7,False
2014-02-01,3,3,3,20,8,False
2014-03-01,3,2,4,20,9,False
2014-04-01,3,3,4,18,7,False
2014-05-01,2,2,4,17,8,False
2014-06-01,2,2,2,10,6,False
2014-07-01,2,1,2,9,9,False
2014-08-01,2,3,2,13,10,False
2014-09-01,1,2,4,14,11,False
2014-10-01,2,2,4,19,9,False
2014-11-01,2,2,4,15,10,False
2014-12-01,3,2,2,12,7,False
2015-01-01,2,1,3,12,7,False
2015-02-01,3,2,5,14,8,False
2015-03-01,1,3,5,15,12,False
2015-04-01,1,3,5,16,12,False
2015-05-01,2,2,2,25,32,False
2015-06-01,1,2,3,11,13,False
2015-07-01,1,3,2,10,15,False
2015-08-01,2,2,2,13,12,False
2015-09-01,1,2,4,18,9,False
2015-10-01,1,2,3,20,7,False
2015-11-01,1,2,4,18,7,False
