date,Daniel Pauly,Paul Gilding,Vijay Kumar,Susan Cain,Iraola,isPartial
2008-03-01,1,0,7,1,7,False
2008-04-01,1,0,7,1,7,False
2008-05-01,1,0,8,0,8,False
2008-06-01,1,0,7,1,7,False
2008-07-01,2,0,8,1,4,False
2008-08-01,1,1,9,1,9,False
2008-09-01,1,1,10,1,10,False
2008-10-01,1,1,9,1,8,False
2008-11-01,1,0,10,1,9,False
2008-12-01,1,0,9,1,7,False
2009-01-01,1,0,9,2,8,False
2009-02-01,1,0,10,1,10,False
2009-03-01,2,2,8,1,7,False
2009-04-01,1,1,10,1,9,False
2009-05-01,1,0,10,1,11,False
2009-06-01,1,1,12,0,7,False
2009-07-01,2,0,12,1,7,False
2009-08-01,1,0,8,1,9,False
2009-09-01,1,0,11,0,11,False
2009-10-01,1,0,13,1,8,False
2009-11-01,1,1,9,1,10,False
2009-12-01,0,1,11,1,7,False
2010-01-01,2,0,11,1,10,False
2010-02-01,2,0,11,1,5,False
2010-03-01,1,0,14,1,7,False
2010-04-01,1,1,15,0,8,False
2010-05-01,1,0,13,1,7,False
2010-06-01,1,0,17,1,8,False
2010-07-01,1,1,13,1,6,False
2010-08-01,1,0,16,0,8,False
2010-09-01,1,0,15,1,9,False
2010-10-01,1,0,16,1,10,False
2010-11-01,1,0,14,0,12,False
2010-12-01,1,0,17,0,10,False
2011-01-01,1,0,17,1,8,False
2011-02-01,1,0,10,1,11,False
2011-03-01,1,0,11,1,13,False
2011-04-01,1,1,13,1,9,False
2011-05-01,1,1,14,1,9,False
2011-06-01,1,4,14,4,9,False
2011-07-01,1,2,14,2,8,False
2011-08-01,1,2,14,2,12,False
2011-09-01,1,1,13,2,9,False
2011-10-01,0,2,11,2,9,False
2011-11-01,1,2,13,2,8,False
2011-12-01,1,1,13,3,8,False
2012-01-01,1,1,16,9,7,False
2012-02-01,1,1,14,12,8,False
2012-03-01,1,4,21,29,15,False
2012-04-01,1,2,15,22,9,False
2012-05-01,1,1,16,13,11,False
2012-06-01,1,1,17,14,9,False
2012-07-01,1,0,16,12,6,False
2012-08-01,1,1,100,13,7,False
2012-09-01,1,1,23,10,7,False
2012-10-01,1,1,18,12,7,False
2012-11-01,0,1,18,13,7,False
2012-12-01,1,0,18,16,6,False
2013-01-01,1,1,18,14,7,False
2013-02-01,1,1,17,18,7,False
2013-03-01,1,1,17,17,6,False
2013-04-01,1,0,17,16,7,False
2013-05-01,0,0,17,15,6,False
2013-06-01,1,0,18,15,6,False
2013-07-01,1,0,26,16,7,False
2013-08-01,0,0,19,17,7,False
2013-09-01,1,1,18,14,8,False
2013-10-01,0,1,20,13,7,False
2013-11-01,1,0,21,13,7,False
2013-12-01,0,0,23,12,7,False
2014-01-01,1,0,23,15,6,False
2014-02-01,1,0,18,12,7,False
2014-03-01,0,1,18,14,8,False
2014-04-01,0,0,18,14,6,False
2014-05-01,0,0,17,12,7,False
2014-06-01,1,0,21,11,6,False
2014-07-01,0,0,23,11,7,False
2014-08-01,0,0,24,14,9,False
2014-09-01,0,1,20,14,10,False
2014-10-01,0,0,20,13,8,False
2014-11-01,0,0,23,15,7,False
2014-12-01,0,0,22,11,6,False
2015-01-01,1,0,24,11,6,False
2015-02-01,0,0,27,11,7,False
2015-03-01,0,0,24,10,10,False
2015-04-01,1,0,24,10,10,False
2015-05-01,0,0,24,10,28,False
2015-06-01,0,0,23,10,12,False
2015-07-01,0,0,25,9,14,False
2015-08-01,0,0,23,12,10,False
2015-09-01,1,0,23,12,8,False
2015-10-01,0,0,27,10,7,False
2015-11-01,0,0,23,9,6,False
2015-12-01,0,0,24,9,6,False
2016-01-01,1,0,23,9,7,False
2016-02-01,0,0,20,12,7,False
2016-03-01,0,0,24,11,7,False
2016-04-01,0,0,29,10,5,False
2016-05-01,0,0,27,9,9,False
2016-06-01,0,0,26,10,7,False
2016-07-01,1,0,27,9,8,False
2016-08-01,0,0,25,9,5,False
2016-09-01,0,1,25,11,7,False
2016-10-01,0,0,23,10,7,False
2016-11-01,0,0,26,8,9,False
2016-12-01,0,0,26,6,5,False
2017-01-01,1,0,24,8,5,False
2017-02-01,0,0,25,9,6,False
2017-03-01,0,0,26,8,5,False
2017-04-01,0,0,26,9,5,False
2017-05-01,0,0,25,7,7,False
2017-06-01,0,0,26,7,5,False
2017-07-01,0,0,31,7,6,False
2017-08-01,0,0,30,7,5,False
2017-09-01,1,0,25,8,5,False
2017-10-01,0,0,28,8,4,False
2017-11-01,0,0,26,8,4,False
2017-12-01,0,0,26,7,4,False
2018-01-01,0,0,28,8,5,False
2018-02-01,0,0,26,9,5,False
2018-03-01,0,0,26,7,4,False
2018-04-01,1,0,28,7,5,False
2018-05-01,0,0,36,6,5,False
2018-06-01,0,0,37,6,5,False
2018-07-01,0,0,36,8,4,False
2018-08-01,0,0,38,6,5,False
2018-09-01,0,0,42,8,5,False
2018-10-01,1,0,40,9,6,False
2018-11-01,1,0,52,7,5,False
2018-12-01,0,0,43,6,4,False
2019-01-01,0,0,42,9,4,False
2019-02-01,0,0,39,8,5,False
2019-03-01,0,0,43,8,4,False
2019-04-01,0,0,42,7,5,False
2019-05-01,1,0,35,7,4,False
2019-06-01,1,0,44,6,5,False
2019-07-01,0,0,42,8,7,False
2019-08-01,0,0,57,7,5,False
2019-09-01,0,0,34,7,5,False
2019-10-01,0,0,38,6,5,False
2019-11-01,0,0,34,7,5,False
2019-12-01,0,0,33,6,5,False
2020-01-01,0,0,33,6,8,False
2020-02-01,0,0,32,6,15,False
2020-03-01,1,0,27,5,6,False
2020-04-01,0,0,32,6,5,False
2020-05-01,0,0,36,7,4,False
2020-06-01,0,0,46,5,4,False
2020-07-01,0,0,45,6,9,False
2020-08-01,0,0,35,6,7,False
2020-09-01,0,0,32,6,5,False
2020-10-01,0,0,36,4,6,False
