date,Rodney Brooks,Noah Feldman,Liz Diller,David Perry,Iraola,isPartial
2004-01-01,23,32,0,59,10,False
2004-02-01,11,15,0,63,25,False
2004-03-01,12,23,0,39,8,False
2004-04-01,15,6,0,59,8,False
2004-05-01,8,13,0,82,7,False
2004-06-01,5,16,0,71,8,False
2004-07-01,0,5,0,58,7,False
2004-08-01,7,10,0,58,8,False
2004-09-01,9,8,0,63,12,False
2004-10-01,10,0,5,57,11,False
2004-11-01,18,18,0,57,14,False
2004-12-01,22,20,0,73,9,False
2005-01-01,4,8,0,74,13,False
2005-02-01,19,15,0,74,10,False
2005-03-01,7,17,0,58,8,False
2005-04-01,8,4,4,64,10,False
2005-05-01,4,7,0,55,11,False
2005-06-01,7,7,0,61,12,False
2005-07-01,7,13,0,60,10,False
2005-08-01,7,11,0,55,9,False
2005-09-01,6,12,0,45,12,False
2005-10-01,8,7,0,51,11,False
2005-11-01,8,6,0,50,11,False
2005-12-01,5,3,0,63,9,False
2006-01-01,7,9,5,62,7,False
2006-02-01,7,5,3,54,9,False
2006-03-01,5,4,0,58,16,False
2006-04-01,5,6,0,62,10,False
2006-05-01,4,4,0,58,10,False
2006-06-01,9,6,0,48,11,False
2006-07-01,4,4,0,63,13,False
2006-08-01,3,2,0,60,8,False
2006-09-01,4,4,0,53,7,False
2006-10-01,4,7,0,47,11,False
2006-11-01,7,6,0,44,10,False
2006-12-01,4,5,2,47,9,False
2007-01-01,5,6,2,47,12,False
2007-02-01,6,4,2,50,10,False
2007-03-01,5,3,1,42,16,False
2007-04-01,6,3,0,51,11,False
2007-05-01,4,3,0,47,10,False
2007-06-01,5,4,0,47,11,False
2007-07-01,4,32,1,54,9,False
2007-08-01,5,23,1,53,7,False
2007-09-01,5,7,1,53,13,False
2007-10-01,5,5,0,42,10,False
2007-11-01,4,4,0,48,9,False
2007-12-01,5,3,0,45,12,False
2008-01-01,3,6,1,51,8,False
2008-02-01,7,2,0,52,12,False
2008-03-01,4,10,0,49,11,False
2008-04-01,5,6,0,47,11,False
2008-05-01,5,12,1,45,11,False
2008-06-01,3,4,0,49,10,False
2008-07-01,4,3,1,56,6,False
2008-08-01,4,1,1,72,14,False
2008-09-01,4,4,0,58,15,False
2008-10-01,4,4,2,59,13,False
2008-11-01,4,3,1,54,13,False
2008-12-01,5,4,2,66,10,False
2009-01-01,3,3,2,66,13,False
2009-02-01,3,2,1,68,15,False
2009-03-01,4,3,1,59,10,False
2009-04-01,3,2,1,68,13,False
2009-05-01,2,3,1,56,17,False
2009-06-01,3,3,1,63,11,False
2009-07-01,2,1,0,57,11,False
2009-08-01,3,2,1,62,14,False
2009-09-01,3,3,1,61,16,False
2009-10-01,4,2,1,54,12,False
2009-11-01,3,3,1,49,15,False
2009-12-01,3,2,1,54,11,False
2010-01-01,4,2,1,68,15,False
2010-02-01,4,1,1,60,7,False
2010-03-01,3,4,1,63,11,False
2010-04-01,2,3,1,59,12,False
2010-05-01,2,2,1,66,10,False
2010-06-01,3,4,1,86,12,False
2010-07-01,3,2,0,98,9,False
2010-08-01,4,1,1,100,11,False
2010-09-01,3,3,0,98,13,False
2010-10-01,1,2,1,84,14,False
2010-11-01,2,3,1,83,18,False
2010-12-01,2,3,0,79,14,False
2011-01-01,2,2,0,87,12,False
2011-02-01,2,4,0,75,16,False
2011-03-01,2,3,1,71,19,False
2011-04-01,3,2,0,85,14,False
2011-05-01,3,2,0,75,13,False
2011-06-01,2,1,0,81,14,False
2011-07-01,3,1,0,86,12,False
2011-08-01,2,1,0,92,18,False
2011-09-01,2,2,0,82,14,False
