date,Steven  Cowley,Asher Hasan,Michael Sandel,Cat Laine,Iraola,isPartial
2004-01-01,0,0,15,0,15,False
2004-02-01,0,0,0,0,45,False
2004-03-01,0,0,0,0,18,False
2004-04-01,0,0,14,0,21,False
2004-05-01,0,0,12,12,12,False
2004-06-01,0,0,12,0,18,False
2004-07-01,0,0,13,13,13,False
2004-08-01,0,12,12,0,18,False
2004-09-01,0,0,11,0,27,False
2004-10-01,0,11,22,0,17,False
2004-11-01,0,0,28,0,28,False
2004-12-01,10,0,0,0,21,False
2005-01-01,0,0,27,0,27,False
2005-02-01,10,0,14,0,24,False
2005-03-01,0,0,16,0,16,False
2005-04-01,0,0,0,0,27,False
2005-05-01,0,0,16,0,32,False
2005-06-01,8,0,16,0,32,False
2005-07-01,0,0,0,8,20,False
2005-08-01,0,0,8,0,16,False
2005-09-01,0,0,0,0,25,False
2005-10-01,7,0,10,0,33,False
2005-11-01,0,0,17,0,33,False
2005-12-01,0,0,16,6,26,False
2006-01-01,0,0,14,0,17,False
2006-02-01,0,0,18,6,21,False
2006-03-01,5,0,20,0,35,False
2006-04-01,0,0,8,5,22,False
2006-05-01,10,0,7,0,32,False
2006-06-01,0,0,5,0,29,False
2006-07-01,0,0,5,0,29,False
2006-08-01,0,0,10,0,19,False
2006-09-01,0,0,14,0,12,False
2006-10-01,4,0,4,4,19,False
2006-11-01,0,0,4,0,31,False
2006-12-01,0,0,9,0,24,False
2007-01-01,0,4,7,4,22,False
2007-02-01,0,0,8,0,21,False
2007-03-01,3,0,7,3,36,False
2007-04-01,7,0,11,0,27,False
2007-05-01,0,0,11,0,21,False
2007-06-01,0,0,5,3,22,False
2007-07-01,0,0,6,3,26,False
2007-08-01,0,0,7,0,18,False
2007-09-01,3,0,10,0,29,False
2007-10-01,0,0,10,0,21,False
2007-11-01,3,0,11,3,20,False
2007-12-01,3,0,8,4,27,False
2008-01-01,0,0,7,2,21,False
2008-02-01,2,0,9,2,33,False
2008-03-01,7,2,16,2,18,False
2008-04-01,2,0,7,5,28,False
2008-05-01,0,0,8,0,30,False
2008-06-01,2,0,3,5,22,False
2008-07-01,0,0,4,4,14,False
2008-08-01,0,0,7,2,32,False
2008-09-01,2,0,4,0,35,False
2008-10-01,2,2,7,2,31,False
2008-11-01,2,0,10,3,33,False
2008-12-01,2,0,9,2,25,False
2009-01-01,0,0,2,4,25,False
2009-02-01,2,0,5,4,39,False
2009-03-01,0,0,6,0,29,False
2009-04-01,0,0,9,0,35,False
2009-05-01,2,2,9,3,42,False
2009-06-01,0,0,36,0,25,False
2009-07-01,2,0,20,0,24,False
2009-08-01,2,0,6,0,32,False
2009-09-01,2,5,32,2,43,False
2009-10-01,0,0,68,1,24,False
2009-11-01,1,0,32,0,36,False
2009-12-01,2,1,31,3,25,False
2010-01-01,2,4,49,5,35,False
2010-02-01,3,1,29,2,17,False
2010-03-01,3,0,32,2,24,False
2010-04-01,1,0,35,1,30,False
2010-05-01,1,0,30,3,21,False
2010-06-01,0,0,46,2,29,False
2010-07-01,1,0,24,2,21,False
2010-08-01,1,0,45,2,25,False
2010-09-01,1,0,38,2,29,False
2010-10-01,0,0,35,2,30,False
2010-11-01,3,0,42,1,37,False
2010-12-01,2,0,32,0,38,False
2011-01-01,1,1,51,3,24,False
2011-02-01,1,0,56,1,39,False
2011-03-01,2,0,37,1,45,False
2011-04-01,0,1,43,1,30,False
2011-05-01,0,0,31,1,32,False
2011-06-01,2,0,53,1,35,False
2011-07-01,3,1,60,0,26,False
2011-08-01,2,0,32,2,36,False
2011-09-01,1,0,48,1,37,False
