date,Thomas Suarez,Cynthia Kenyon,Robin Ince,Gabe Zichermann,Iraola,isPartial
2017-10-01,5,1,5,0,16,False
2017-11-01,4,2,5,1,14,False
2017-12-01,6,1,7,1,14,False
2018-01-01,9,2,11,1,19,False
2018-02-01,5,2,4,0,17,False
2018-03-01,4,1,6,0,14,False
2018-04-01,6,1,5,0,16,False
2018-05-01,6,2,4,1,17,False
2018-06-01,10,1,4,1,17,False
2018-07-01,5,1,4,0,16,False
2018-08-01,6,1,7,0,17,False
2018-09-01,4,1,4,0,18,False
2018-10-01,4,0,8,1,20,False
2018-11-01,5,1,7,1,17,False
2018-12-01,3,1,6,0,16,False
2019-01-01,3,1,5,2,16,False
2019-02-01,4,1,10,0,19,False
2019-03-01,4,2,6,1,15,False
2019-04-01,3,1,4,1,19,False
2019-05-01,4,1,2,1,16,False
2019-06-01,4,1,6,1,17,False
2019-07-01,3,1,6,0,24,False
2019-08-01,4,1,6,0,20,False
2019-09-01,4,1,4,0,17,False
2019-10-01,3,0,3,0,16,False
2019-11-01,3,1,3,0,16,False
2019-12-01,3,1,3,0,19,False
2020-01-01,4,1,3,0,28,False
2020-02-01,3,1,5,1,54,False
2020-03-01,3,1,3,0,21,False
2020-04-01,4,1,4,1,17,False
2020-05-01,4,0,3,1,14,False
2020-06-01,5,1,3,1,16,False
2020-07-01,4,1,3,0,34,False
2020-08-01,10,1,2,1,27,False
2020-09-01,8,2,3,1,19,False
2020-10-01,5,1,3,1,21,False
