date,Jamila Raqib,Andrew Pelling,Tristan Harris,Gill Hicks,Iraola,isPartial
2017-11-01,0,1,5,1,8,False
2017-12-01,0,1,4,0,8,False
2018-01-01,0,0,7,1,11,False
2018-02-01,0,0,11,1,9,False
2018-03-01,0,0,8,1,8,False
2018-04-01,0,0,7,1,9,False
2018-05-01,0,0,6,0,10,False
2018-06-01,0,0,5,1,10,False
2018-07-01,0,0,5,8,9,False
2018-08-01,0,0,3,2,10,False
2018-09-01,0,0,5,1,10,False
2018-10-01,0,0,5,1,11,False
2018-11-01,0,0,4,1,10,False
2018-12-01,0,0,5,1,9,False
2019-01-01,0,0,5,2,9,False
2019-02-01,0,0,7,1,11,False
2019-03-01,0,0,7,1,9,False
2019-04-01,0,0,10,1,11,False
2019-05-01,0,0,8,1,9,False
2019-06-01,0,0,5,0,10,False
2019-07-01,0,0,5,1,14,False
2019-08-01,0,0,4,1,11,False
2019-09-01,0,0,7,1,10,False
2019-10-01,0,0,5,1,9,False
2019-11-01,0,0,4,1,9,False
2019-12-01,0,0,4,1,11,False
2020-01-01,0,0,6,1,16,False
2020-02-01,0,0,4,1,30,False
2020-03-01,0,0,4,0,12,False
2020-04-01,0,0,3,1,10,False
2020-05-01,0,0,4,0,8,False
2020-06-01,0,0,3,0,9,False
2020-07-01,0,0,3,0,19,False
2020-08-01,0,0,3,0,15,False
2020-09-01,0,0,100,0,11,False
2020-10-01,0,0,70,1,12,False
