date,Alain de Botton,Elaine Morgan,Willard Wigan,Michael Pritchard,Iraola,isPartial
2004-01-01,28,11,0,16,16,False
2004-02-01,42,11,32,18,43,False
2004-03-01,92,13,13,31,13,False
2004-04-01,31,10,10,10,14,False
2004-05-01,100,22,0,15,12,False
2004-06-01,99,9,9,9,13,False
2004-07-01,86,14,9,12,12,False
2004-08-01,45,9,0,9,14,False
2004-09-01,49,16,8,23,20,False
2004-10-01,59,11,8,12,19,False
2004-11-01,32,19,8,8,24,False
2004-12-01,25,10,7,11,15,False
2005-01-01,46,11,0,11,22,False
2005-02-01,46,12,0,10,17,False
2005-03-01,44,11,6,12,13,False
2005-04-01,17,16,0,13,17,False
2005-05-01,30,14,6,11,19,False
2005-06-01,36,11,6,17,21,False
2005-07-01,25,6,0,6,17,False
2005-08-01,32,15,0,8,15,False
2005-09-01,24,5,5,15,20,False
2005-10-01,24,12,5,14,19,False
2005-11-01,17,12,5,14,19,False
2005-12-01,30,9,11,7,16,False
2006-01-01,18,8,12,4,12,False
2006-02-01,32,4,4,6,16,False
2006-03-01,20,5,10,8,27,False
2006-04-01,38,6,4,13,17,False
2006-05-01,45,6,0,9,17,False
2006-06-01,55,6,36,4,19,False
2006-07-01,41,11,11,11,23,False
2006-08-01,37,9,16,5,14,False
2006-09-01,30,9,11,13,12,False
2006-10-01,36,4,11,3,19,False
2006-11-01,33,3,3,12,18,False
2006-12-01,23,9,7,10,15,False
2007-01-01,33,5,8,8,19,False
2007-02-01,25,7,9,7,17,False
2007-03-01,26,7,9,6,27,False
2007-04-01,34,8,5,5,18,False
2007-05-01,30,8,34,11,18,False
2007-06-01,25,7,33,5,19,False
2007-07-01,29,4,20,7,16,False
2007-08-01,23,5,33,6,12,False
2007-09-01,26,4,24,14,23,False
2007-10-01,19,6,15,10,17,False
2007-11-01,24,5,7,7,15,False
2007-12-01,15,5,9,4,20,False
2008-01-01,19,6,10,7,13,False
2008-02-01,28,8,14,7,20,False
2008-03-01,20,5,3,8,18,False
2008-04-01,29,4,5,10,19,False
2008-05-01,19,5,6,5,19,False
2008-06-01,16,5,5,6,17,False
2008-07-01,16,5,4,6,11,False
2008-08-01,16,6,5,5,23,False
2008-09-01,22,3,8,5,25,False
2008-10-01,14,8,5,4,21,False
2008-11-01,19,2,10,5,22,False
2008-12-01,19,3,16,4,18,False
2009-01-01,24,5,18,3,21,False
2009-02-01,19,5,13,6,24,False
2009-03-01,26,9,8,6,17,False
2009-04-01,56,12,7,6,22,False
2009-05-01,34,5,6,5,28,False
2009-06-01,36,7,8,5,19,False
2009-07-01,41,6,10,6,19,False
2009-08-01,60,12,46,15,23,False
2009-09-01,45,8,16,13,27,False
2009-10-01,35,9,18,8,20,False
2009-11-01,37,6,9,6,26,False
2009-12-01,31,5,14,8,19,False
2010-01-01,34,4,15,6,25,False
2010-02-01,29,7,4,9,13,False
2010-03-01,30,4,36,7,18,False
2010-04-01,31,4,10,6,19,False
2010-05-01,27,4,7,6,17,False
2010-06-01,27,5,3,9,21,False
2010-07-01,28,5,13,6,14,False
2010-08-01,27,4,7,8,19,False
2010-09-01,30,3,9,8,23,False
2010-10-01,27,4,5,6,24,False
2010-11-01,42,4,7,6,30,False
2010-12-01,25,3,7,6,24,False
2011-01-01,44,5,8,7,20,False
2011-02-01,36,4,5,6,27,False
2011-03-01,31,6,4,6,32,False
2011-04-01,31,4,9,5,24,False
2011-05-01,26,2,8,8,22,False
2011-06-01,31,3,6,7,23,False
2011-07-01,29,4,5,4,19,False
2011-08-01,38,3,5,4,30,False
2011-09-01,32,4,4,4,24,False
2011-10-01,28,4,5,3,22,False
2011-11-01,32,3,5,4,20,False
2011-12-01,38,3,3,4,19,False
2012-01-01,77,5,8,5,18,False
2012-02-01,95,4,5,5,21,False
2012-03-01,71,4,5,5,38,False
2012-04-01,57,4,4,6,24,False
2012-05-01,59,5,7,7,29,False
2012-06-01,46,3,3,3,23,False
2012-07-01,38,4,3,4,16,False
2012-08-01,31,5,3,4,17,False
2012-09-01,37,4,2,6,18,False
2012-10-01,35,2,4,5,18,False
2012-11-01,33,6,9,5,19,False
2012-12-01,37,4,4,5,16,False
2013-01-01,48,3,5,9,17,False
2013-02-01,58,5,6,5,17,False
2013-03-01,38,4,7,4,16,False
2013-04-01,43,3,3,5,18,False
2013-05-01,38,3,7,4,15,False
2013-06-01,28,3,10,6,16,False
2013-07-01,29,6,4,6,17,False
2013-08-01,27,4,2,5,17,False
2013-09-01,29,4,4,5,21,False
2013-10-01,46,4,4,5,18,False
2013-11-01,51,5,4,4,17,False
2013-12-01,40,4,9,3,17,False
2014-01-01,40,4,14,5,16,False
2014-02-01,48,3,17,5,18,False
2014-03-01,66,4,5,5,20,False
2014-04-01,66,4,6,3,15,False
2014-05-01,43,4,3,4,17,False
2014-06-01,41,4,5,6,15,False
2014-07-01,36,5,2,4,18,False
2014-08-01,33,4,4,5,24,False
2014-09-01,32,3,6,3,25,False
2014-10-01,38,2,4,3,19,False
2014-11-01,29,5,3,4,18,False
2014-12-01,32,3,3,4,15,False
2015-01-01,35,3,9,4,15,False
2015-02-01,30,3,3,5,19,False
2015-03-01,37,3,4,3,26,False
2015-04-01,30,3,5,3,27,False
2015-05-01,25,3,2,4,71,False
2015-06-01,30,3,3,5,31,False
2015-07-01,36,3,3,3,36,False
2015-08-01,31,3,2,3,24,False
2015-09-01,27,2,2,4,21,False
2015-10-01,28,3,3,4,17,False
2015-11-01,33,4,3,2,16,False
