date,Alain de Botton,Elaine Morgan,Willard Wigan,Michael Pritchard,Iraola,isPartial
2015-12-01,31,2,2,4,14,False
2016-01-01,32,2,3,3,17,False
2016-02-01,33,3,5,3,17,False
2016-03-01,30,2,6,5,18,False
2016-04-01,40,3,4,4,13,False
2016-05-01,47,2,4,4,23,False
2016-06-01,58,2,2,3,18,False
2016-07-01,67,2,2,2,20,False
2016-08-01,53,3,2,3,13,False
2016-09-01,42,4,1,4,18,False
2016-10-01,41,2,2,6,17,False
2016-11-01,36,3,2,3,23,False
2016-12-01,39,3,2,4,13,False
2017-01-01,43,3,2,3,13,False
2017-02-01,54,2,2,4,15,False
2017-03-01,43,3,1,3,13,False
2017-04-01,39,2,2,3,13,False
2017-05-01,34,2,1,3,17,False
2017-06-01,47,2,2,3,13,False
2017-07-01,43,3,2,3,14,False
2017-08-01,41,1,3,3,12,False
2017-09-01,39,2,2,3,12,False
2017-10-01,33,2,2,3,11,False
2017-11-01,31,2,3,4,10,False
2017-12-01,31,3,2,3,10,False
2018-01-01,33,3,2,4,13,False
2018-02-01,31,2,4,2,12,False
2018-03-01,28,2,1,2,10,False
2018-04-01,25,2,3,3,12,False
2018-05-01,25,3,1,2,12,False
2018-06-01,24,3,2,3,12,False
2018-07-01,27,1,34,1,11,False
2018-08-01,35,2,3,2,12,False
2018-09-01,29,2,3,3,13,False
2018-10-01,38,2,3,2,14,False
2018-11-01,37,2,2,2,12,False
2018-12-01,34,2,4,4,11,False
2019-01-01,32,3,3,2,11,False
2019-02-01,32,2,3,2,13,False
2019-03-01,28,2,3,3,11,False
2019-04-01,26,2,4,1,14,False
2019-05-01,22,3,2,3,11,False
2019-06-01,27,3,1,3,12,False
2019-07-01,28,3,2,4,17,False
2019-08-01,30,3,3,3,14,False
2019-09-01,34,3,2,2,12,False
2019-10-01,33,2,2,2,12,False
2019-11-01,26,2,2,2,12,False
2019-12-01,30,2,2,4,13,False
2020-01-01,32,2,2,4,20,False
2020-02-01,38,2,2,2,38,False
2020-03-01,33,1,2,2,15,False
2020-04-01,40,3,2,2,12,False
2020-05-01,39,2,2,2,10,False
2020-06-01,29,3,2,2,11,False
2020-07-01,22,2,1,3,24,False
2020-08-01,30,2,2,2,19,False
2020-09-01,26,2,2,1,14,False
2020-10-01,20,3,2,2,15,False
