date,Franco Sacchi,George Smoot,Bill Joy,Dan Barber,Iraola,isPartial
2004-01-01,0,0,36,0,8,False
2004-02-01,0,0,36,8,24,False
2004-03-01,10,0,49,10,10,False
2004-04-01,0,8,57,0,11,False
2004-05-01,7,0,26,7,7,False
2004-06-01,0,0,42,0,10,False
2004-07-01,0,0,38,14,7,False
2004-08-01,0,13,19,6,10,False
2004-09-01,0,6,38,0,15,False
2004-10-01,0,0,27,6,9,False
2004-11-01,6,0,24,6,15,False
2004-12-01,0,0,25,6,11,False
2005-01-01,0,5,37,5,15,False
2005-02-01,5,0,21,5,13,False
2005-03-01,0,0,34,4,9,False
2005-04-01,0,0,24,5,14,False
2005-05-01,0,8,36,4,17,False
2005-06-01,0,0,43,0,17,False
2005-07-01,0,0,39,4,11,False
2005-08-01,4,0,21,6,8,False
2005-09-01,8,0,36,4,13,False
2005-10-01,0,4,39,4,18,False
2005-11-01,4,0,25,7,18,False
2005-12-01,0,0,19,5,14,False
2006-01-01,3,6,18,0,9,False
2006-02-01,0,0,27,13,11,False
2006-03-01,0,3,20,11,19,False
2006-04-01,3,0,23,7,12,False
2006-05-01,3,0,13,7,17,False
2006-06-01,0,0,13,6,15,False
2006-07-01,0,3,15,6,15,False
2006-08-01,3,3,13,3,10,False
2006-09-01,2,2,15,6,6,False
2006-10-01,0,100,19,5,10,False
2006-11-01,2,9,21,8,16,False
2006-12-01,0,13,9,2,13,False
2007-01-01,2,7,12,5,12,False
2007-02-01,0,9,13,3,11,False
2007-03-01,0,8,18,7,19,False
2007-04-01,0,4,10,6,14,False
2007-05-01,0,2,12,5,11,False
2007-06-01,0,2,12,3,12,False
2007-07-01,0,2,14,8,14,False
2007-08-01,0,4,8,3,9,False
2007-09-01,3,7,15,6,15,False
2007-10-01,0,7,15,4,11,False
2007-11-01,0,3,14,3,11,False
2007-12-01,0,2,8,3,14,False
2008-01-01,1,4,11,4,11,False
2008-02-01,0,2,11,5,18,False
2008-03-01,2,2,11,5,10,False
2008-04-01,0,3,10,2,15,False
2008-05-01,2,5,16,4,16,False
2008-06-01,1,3,12,7,12,False
2008-07-01,0,2,9,4,8,False
2008-08-01,1,2,4,7,17,False
2008-09-01,2,2,10,6,19,False
2008-10-01,1,3,17,2,17,False
2008-11-01,2,6,24,6,18,False
2008-12-01,2,5,12,5,13,False
2009-01-01,0,2,17,11,13,False
2009-02-01,0,2,15,6,21,False
2009-03-01,0,27,15,4,15,False
2009-04-01,0,11,12,9,19,False
2009-05-01,0,4,13,7,22,False
2009-06-01,1,6,10,4,13,False
2009-07-01,1,3,11,4,13,False
2009-08-01,1,5,17,7,17,False
2009-09-01,0,34,15,6,23,False
2009-10-01,1,8,15,7,13,False
2009-11-01,0,6,13,4,19,False
2009-12-01,1,9,7,5,13,False
2010-01-01,1,7,11,7,19,False
2010-02-01,0,5,15,3,9,False
2010-03-01,0,4,11,11,13,False
2010-04-01,1,7,16,8,16,False
2010-05-01,0,10,15,4,11,False
2010-06-01,1,7,6,5,15,False
2010-07-01,1,6,13,3,11,False
2010-08-01,0,7,8,4,13,False
2010-09-01,1,5,7,5,16,False
2010-10-01,1,5,19,9,16,False
2010-11-01,1,6,12,5,20,False
2010-12-01,0,6,9,8,20,False
2011-01-01,0,8,11,6,13,False
2011-02-01,1,4,11,6,21,False
2011-03-01,0,6,10,7,24,False
2011-04-01,1,6,8,3,16,False
2011-05-01,0,4,9,8,17,False
2011-06-01,1,5,8,5,18,False
2011-07-01,0,5,9,3,14,False
2011-08-01,0,4,7,1,19,False
2011-09-01,1,3,10,6,20,False
2011-10-01,2,6,12,4,18,False
2011-11-01,0,6,10,8,14,False
2011-12-01,0,8,9,6,14,False
2012-01-01,0,5,9,4,14,False
2012-02-01,1,6,10,4,16,False
2012-03-01,1,7,8,6,27,False
2012-04-01,0,7,10,6,19,False
2012-05-01,1,9,7,5,20,False
2012-06-01,0,7,8,4,16,False
2012-07-01,0,5,7,8,12,False
2012-08-01,0,9,8,4,11,False
2012-09-01,1,5,8,5,12,False
2012-10-01,0,3,8,5,14,False
2012-11-01,0,6,8,7,13,False
2012-12-01,0,7,9,5,12,False
2013-01-01,0,5,10,5,12,False
2013-02-01,1,5,10,5,14,False
2013-03-01,1,5,9,6,12,False
2013-04-01,0,7,6,4,12,False
2013-05-01,0,4,7,4,9,False
2013-06-01,0,6,6,4,13,False
2013-07-01,0,4,6,5,11,False
2013-08-01,1,4,8,5,12,False
2013-09-01,1,4,8,4,15,False
2013-10-01,1,6,7,4,13,False
2013-11-01,0,4,9,4,12,False
2013-12-01,1,3,7,5,13,False
2014-01-01,1,5,6,7,11,False
