date,Nicole Paris and Ed Cage,Paul Greenberg,Jane Fonda and Lily Tomlin,António Guterres,Iraola,isPartial
2016-02-01,0,4,6,2,23,False
2016-03-01,0,6,5,2,26,False
2016-04-01,0,6,5,3,18,False
2016-05-01,0,6,35,2,32,False
2016-06-01,0,4,15,0,26,False
2016-07-01,0,5,13,2,28,False
2016-08-01,0,5,8,2,18,False
2016-09-01,0,5,6,4,25,False
2016-10-01,0,5,6,47,24,False
2016-11-01,0,5,5,6,33,False
2016-12-01,0,4,5,13,19,False
2017-01-01,0,5,9,17,18,False
2017-02-01,0,6,8,7,21,False
2017-03-01,0,5,21,7,18,False
2017-04-01,0,6,21,5,19,False
2017-05-01,0,7,12,6,24,False
2017-06-01,0,5,7,6,19,False
2017-07-01,0,5,11,3,20,False
2017-08-01,0,4,10,4,18,False
2017-09-01,0,4,17,13,18,False
2017-10-01,0,5,8,5,16,False
2017-11-01,0,4,9,4,14,False
2017-12-01,0,4,6,5,14,False
2018-01-01,0,4,32,8,19,False
2018-02-01,0,3,22,5,17,False
2018-03-01,0,4,14,5,14,False
2018-04-01,0,3,7,7,16,False
2018-05-01,0,5,10,4,17,False
2018-06-01,0,3,8,5,17,False
2018-07-01,0,8,7,3,16,False
2018-08-01,0,3,7,5,17,False
2018-09-01,0,4,8,7,18,False
2018-10-01,0,6,7,5,20,False
2018-11-01,0,4,6,5,17,False
2018-12-01,0,3,6,5,16,False
2019-01-01,0,4,66,5,16,False
2019-02-01,0,46,26,4,19,False
2019-03-01,0,14,11,6,15,False
2019-04-01,0,3,9,7,19,False
2019-05-01,0,5,6,7,16,False
2019-06-01,0,4,8,6,17,False
2019-07-01,0,5,10,5,24,False
2019-08-01,0,4,7,5,20,False
2019-09-01,0,4,8,8,17,False
2019-10-01,0,5,7,7,16,False
2019-11-01,0,5,5,4,16,False
2019-12-01,0,4,4,5,19,False
2020-01-01,0,4,38,6,28,False
2020-02-01,0,3,15,6,54,False
2020-03-01,0,3,11,12,21,False
2020-04-01,0,2,12,17,17,False
2020-05-01,0,3,10,9,14,False
2020-06-01,0,4,7,9,16,False
2020-07-01,0,2,7,9,34,False
2020-08-01,0,3,5,7,27,False
2020-09-01,0,3,6,9,19,False
2020-10-01,0,2,6,10,21,False
