date,Manoush Zomorodi,Ronald Sullivan,Jack Conte,Peter Calthorpe,Iraola,isPartial
2004-01-01,0,0,15,0,23,False
2004-02-01,0,15,0,15,60,False
2004-03-01,0,19,0,19,18,False
2004-04-01,0,14,0,14,19,False
2004-05-01,0,0,0,25,17,False
2004-06-01,0,19,0,12,19,False
2004-07-01,0,13,13,13,17,False
2004-08-01,0,12,0,12,20,False
2004-09-01,0,11,0,22,28,False
2004-10-01,0,11,0,0,26,False
2004-11-01,0,11,11,11,34,False
2004-12-01,0,0,16,16,21,False
2005-01-01,0,9,0,9,31,False
2005-02-01,10,0,15,20,24,False
2005-03-01,8,16,8,8,19,False
2005-04-01,9,0,0,0,24,False
2005-05-01,0,8,8,12,27,False
2005-06-01,0,12,8,8,29,False
2005-07-01,0,0,0,17,25,False
2005-08-01,0,0,8,12,21,False
2005-09-01,0,12,14,7,29,False
2005-10-01,0,14,11,7,27,False
2005-11-01,0,7,7,7,27,False
2005-12-01,0,7,0,10,22,False
2006-01-01,6,6,11,0,17,False
2006-02-01,6,6,9,6,22,False
2006-03-01,0,8,0,13,38,False
2006-04-01,0,7,0,6,24,False
2006-05-01,0,8,8,5,24,False
2006-06-01,0,5,11,5,27,False
2006-07-01,0,0,5,5,32,False
2006-08-01,0,5,5,5,20,False
2006-09-01,5,5,5,0,17,False
2006-10-01,0,13,4,13,27,False
2006-11-01,0,0,4,8,25,False
2006-12-01,0,6,13,9,22,False
2007-01-01,0,7,4,4,27,False
2007-02-01,0,8,4,6,24,False
2007-03-01,0,7,3,3,39,False
2007-04-01,0,5,4,4,25,False
2007-05-01,0,5,3,0,25,False
2007-06-01,0,3,5,3,27,False
2007-07-01,3,3,3,5,22,False
2007-08-01,0,0,6,3,17,False
2007-09-01,0,3,6,3,32,False
2007-10-01,0,5,5,3,24,False
2007-11-01,0,5,3,3,21,False
2007-12-01,0,3,3,3,28,False
2008-01-01,0,3,0,4,18,False
2008-02-01,0,5,3,4,29,False
2008-03-01,0,4,5,5,25,False
