date,Charles Moore,Richard Pyle,Miru Kim,Evan Williams,Iraola,isPartial
2004-01-01,58,0,0,17,13,False
2004-02-01,73,13,0,23,35,False
2004-03-01,79,11,0,16,11,False
2004-04-01,72,0,0,17,11,False
2004-05-01,63,7,7,43,10,False
2004-06-01,69,14,0,19,11,False
2004-07-01,43,8,0,25,10,False
2004-08-01,54,0,0,37,12,False
2004-09-01,49,0,0,17,16,False
2004-10-01,66,13,7,22,15,False
2004-11-01,74,7,0,28,20,False
2004-12-01,59,18,0,37,12,False
2005-01-01,50,11,0,34,18,False
2005-02-01,64,0,0,34,14,False
2005-03-01,54,5,0,24,11,False
2005-04-01,51,5,0,23,14,False
2005-05-01,42,9,0,23,15,False
2005-06-01,57,5,0,14,17,False
2005-07-01,44,5,0,16,14,False
2005-08-01,40,0,0,11,12,False
2005-09-01,49,8,0,32,17,False
2005-10-01,56,8,0,26,16,False
2005-11-01,42,4,0,21,16,False
2005-12-01,43,6,0,29,13,False
2006-01-01,52,3,0,22,10,False
2006-02-01,47,3,0,24,13,False
2006-03-01,54,3,0,22,22,False
2006-04-01,49,3,0,21,14,False
2006-05-01,50,5,0,19,14,False
2006-06-01,45,6,0,24,15,False
2006-07-01,46,3,0,17,18,False
2006-08-01,52,6,3,16,11,False
2006-09-01,41,5,3,16,10,False
2006-10-01,45,2,2,26,16,False
2006-11-01,36,6,2,18,14,False
2006-12-01,45,3,0,23,13,False
2007-01-01,60,2,0,19,16,False
2007-02-01,47,2,0,13,14,False
2007-03-01,35,2,2,22,22,False
2007-04-01,38,2,0,22,15,False
2007-05-01,47,2,2,15,14,False
2007-06-01,44,2,0,11,16,False
2007-07-01,36,5,8,18,13,False
2007-08-01,35,2,5,20,10,False
2007-09-01,44,3,0,17,19,False
2007-10-01,42,2,2,15,14,False
2007-11-01,30,1,4,21,12,False
2007-12-01,35,2,3,28,16,False
2008-01-01,36,3,3,19,11,False
2008-02-01,51,2,3,23,17,False
2008-03-01,31,2,1,20,15,False
2008-04-01,38,0,1,27,15,False
2008-05-01,38,2,0,26,16,False
2008-06-01,24,0,0,15,14,False
2008-07-01,36,3,3,23,9,False
2008-08-01,33,2,1,19,19,False
2008-09-01,42,2,1,23,21,False
2008-10-01,42,2,2,26,18,False
2008-11-01,38,1,2,25,18,False
2008-12-01,32,1,4,28,14,False
2009-01-01,36,1,2,26,17,False
2009-02-01,31,3,4,32,20,False
2009-03-01,37,3,15,37,14,False
2009-04-01,34,0,3,40,18,False
2009-05-01,43,1,3,25,23,False
2009-06-01,41,2,2,32,16,False
2009-07-01,33,1,1,31,15,False
2009-08-01,29,2,6,37,19,False
2009-09-01,33,1,3,34,22,False
2009-10-01,34,2,2,31,16,False
