date,Nadia Al-Sakkaf,Mikko Hypponen,Thandie Newton,Kevin Slavin,Iraola,isPartial
2004-01-01,0,3,68,0,4,False
2004-02-01,0,3,51,3,11,False
2004-03-01,0,0,33,0,3,False
2004-04-01,0,0,37,0,4,False
2004-05-01,0,2,48,0,3,False
2004-06-01,0,0,100,2,3,False
2004-07-01,0,0,39,0,3,False
2004-08-01,0,2,62,2,4,False
2004-09-01,0,0,56,0,5,False
2004-10-01,0,2,54,0,5,False
2004-11-01,0,0,45,2,6,False
2004-12-01,0,0,42,0,4,False
2005-01-01,0,0,34,0,6,False
2005-02-01,0,0,30,4,4,False
2005-03-01,0,0,47,0,3,False
2005-04-01,0,0,39,0,4,False
2005-05-01,0,0,58,1,5,False
2005-06-01,0,1,33,1,5,False
2005-07-01,0,0,28,0,4,False
2005-08-01,0,0,53,2,4,False
2005-09-01,0,0,46,1,5,False
2005-10-01,0,0,31,0,5,False
2005-11-01,0,0,38,1,5,False
2005-12-01,0,0,40,0,4,False
2006-01-01,0,1,99,1,3,False
2006-02-01,0,0,96,1,4,False
2006-03-01,0,0,56,1,7,False
2006-04-01,0,0,62,2,4,False
2006-05-01,0,0,72,1,4,False
2006-06-01,0,0,31,1,5,False
2006-07-01,0,0,49,0,6,False
2006-08-01,0,2,25,0,4,False
2006-09-01,0,1,19,1,3,False
2006-10-01,0,2,26,1,5,False
2006-11-01,0,0,24,1,5,False
2006-12-01,0,0,36,0,4,False
2007-01-01,0,0,49,1,5,False
2007-02-01,0,1,59,0,4,False
2007-03-01,0,1,73,1,7,False
2007-04-01,0,1,31,0,5,False
2007-05-01,0,1,27,1,5,False
2007-06-01,0,1,51,1,5,False
2007-07-01,0,1,49,1,4,False
2007-08-01,0,0,45,1,3,False
2007-09-01,0,0,50,1,6,False
2007-10-01,0,0,30,0,4,False
2007-11-01,0,0,40,0,4,False
2007-12-01,0,1,28,0,5,False
2008-01-01,0,0,35,0,3,False
2008-02-01,0,0,38,0,5,False
2008-03-01,0,0,45,0,5,False
2008-04-01,0,0,50,1,5,False
2008-05-01,0,0,44,1,5,False
2008-06-01,0,0,38,0,4,False
2008-07-01,0,0,37,0,3,False
2008-08-01,0,0,42,1,6,False
2008-09-01,0,0,62,0,6,False
2008-10-01,0,0,59,0,6,False
2008-11-01,0,0,46,1,6,False
2008-12-01,0,0,48,0,5,False
2009-01-01,0,0,55,1,5,False
2009-02-01,0,0,46,1,6,False
2009-03-01,0,0,40,1,4,False
2009-04-01,0,0,46,0,6,False
2009-05-01,0,0,39,0,7,False
2009-06-01,0,0,42,0,5,False
2009-07-01,0,0,34,0,5,False
2009-08-01,0,0,32,0,6,False
2009-09-01,0,0,29,0,7,False
2009-10-01,0,0,29,0,5,False
2009-11-01,0,0,67,1,7,False
2009-12-01,0,0,52,0,5,False
2010-01-01,0,0,44,0,6,False
2010-02-01,0,0,39,0,3,False
2010-03-01,0,0,40,0,5,False
2010-04-01,0,0,44,0,5,False
2010-05-01,0,0,42,0,4,False
2010-06-01,0,0,46,0,5,False
