date,Shereen El-Feki,Reggie Watts,David MacKay,Ken Goldberg,Iraola,isPartial
2004-01-01,0,7,10,7,10,False
2004-02-01,0,13,22,13,26,False
2004-03-01,0,0,11,13,8,False
2004-04-01,0,6,25,9,8,False
2004-05-01,0,5,8,5,7,False
2004-06-01,0,11,18,13,8,False
2004-07-01,0,6,17,8,8,False
2004-08-01,0,8,7,10,9,False
2004-09-01,0,6,18,10,12,False
2004-10-01,0,5,8,0,11,False
2004-11-01,0,10,29,5,15,False
2004-12-01,0,0,14,9,9,False
2005-01-01,0,5,9,7,13,False
2005-02-01,0,7,7,4,11,False
2005-03-01,0,4,11,7,8,False
2005-04-01,0,8,13,6,11,False
2005-05-01,0,3,19,7,12,False
2005-06-01,0,4,13,3,13,False
2005-07-01,0,4,10,5,11,False
2005-08-01,0,3,8,3,9,False
2005-09-01,0,5,19,3,12,False
2005-10-01,0,4,10,5,12,False
2005-11-01,3,9,15,3,12,False
2005-12-01,0,4,11,6,10,False
2006-01-01,0,3,13,3,8,False
2006-02-01,0,3,11,5,10,False
2006-03-01,0,4,13,6,16,False
2006-04-01,0,2,9,7,10,False
2006-05-01,0,4,6,5,10,False
2006-06-01,0,7,12,2,12,False
2006-07-01,0,5,8,4,14,False
2006-08-01,0,3,8,2,8,False
2006-09-01,0,5,6,6,7,False
2006-10-01,0,6,8,4,12,False
2006-11-01,0,4,10,4,11,False
2006-12-01,0,2,7,3,9,False
2007-01-01,0,7,6,2,12,False
2007-02-01,0,6,10,6,10,False
2007-03-01,0,5,7,3,17,False
2007-04-01,0,3,8,2,11,False
2007-05-01,0,6,8,1,11,False
2007-06-01,0,3,9,3,12,False
2007-07-01,0,5,7,3,10,False
2007-08-01,0,7,7,2,7,False
2007-09-01,0,7,7,3,14,False
2007-10-01,0,5,8,3,10,False
2007-11-01,0,5,5,2,9,False
2007-12-01,0,7,5,2,12,False
2008-01-01,0,4,4,3,8,False
2008-02-01,0,4,9,1,13,False
2008-03-01,0,7,5,2,11,False
2008-04-01,0,4,6,2,12,False
2008-05-01,0,4,8,2,12,False
2008-06-01,0,5,7,2,10,False
2008-07-01,0,4,6,4,6,False
2008-08-01,0,3,7,1,14,False
2008-09-01,0,5,9,1,15,False
2008-10-01,0,4,6,3,13,False
2008-11-01,0,12,6,1,13,False
2008-12-01,0,8,7,1,11,False
2009-01-01,0,8,7,2,13,False
2009-02-01,0,7,7,3,15,False
2009-03-01,0,3,10,3,10,False
2009-04-01,0,10,9,1,14,False
2009-05-01,0,33,13,3,17,False
2009-06-01,0,12,8,2,12,False
2009-07-01,0,6,12,3,11,False
2009-08-01,0,6,9,1,14,False
2009-09-01,0,7,14,2,17,False
2009-10-01,0,5,10,2,12,False
2009-11-01,0,7,9,2,16,False
2009-12-01,0,8,7,2,12,False
2010-01-01,0,19,8,2,15,False
2010-02-01,0,10,6,2,8,False
2010-03-01,0,22,8,2,11,False
2010-04-01,0,23,6,2,12,False
2010-05-01,0,85,7,1,10,False
2010-06-01,0,39,8,1,13,False
2010-07-01,0,38,8,2,9,False
2010-08-01,0,22,5,1,12,False
2010-09-01,0,35,7,2,14,False
2010-10-01,0,27,5,2,15,False
2010-11-01,0,44,6,1,18,False
2010-12-01,0,49,5,2,15,False
2011-01-01,0,31,5,1,12,False
2011-02-01,0,69,6,1,16,False
2011-03-01,0,52,6,1,20,False
2011-04-01,0,48,5,2,15,False
2011-05-01,0,43,5,2,14,False
2011-06-01,0,49,4,2,14,False
2011-07-01,0,57,5,1,12,False
2011-08-01,0,46,7,1,18,False
2011-09-01,0,37,5,2,15,False
2011-10-01,0,30,4,1,14,False
2011-11-01,0,34,5,1,12,False
2011-12-01,0,28,7,2,12,False
2012-01-01,0,38,5,1,11,False
2012-02-01,0,26,5,1,13,False
2012-03-01,0,39,4,1,24,False
2012-04-01,0,30,5,2,15,False
2012-05-01,1,100,5,2,18,False
2012-06-01,0,76,5,1,14,False
2012-07-01,0,49,5,1,10,False
2012-08-01,0,45,5,1,10,False
2012-09-01,0,41,4,1,11,False
2012-10-01,0,33,5,1,11,False
2012-11-01,0,45,5,1,12,False
2012-12-01,0,70,8,1,10,False
2013-01-01,0,43,4,1,10,False
2013-02-01,0,55,4,1,11,False
2013-03-01,0,58,4,1,10,False
2013-04-01,0,78,4,1,11,False
2013-05-01,0,62,5,1,9,False
2013-06-01,0,76,4,1,10,False
2013-07-01,0,72,4,1,10,False
2013-08-01,0,59,4,1,10,False
2013-09-01,0,48,6,2,13,False
2013-10-01,0,47,5,1,11,False
2013-11-01,0,54,6,1,10,False
2013-12-01,0,43,6,1,11,False
2014-01-01,0,43,6,1,10,False
2014-02-01,0,72,5,1,11,False
2014-03-01,0,46,4,1,12,False
2014-04-01,0,44,4,1,9,False
2014-05-01,0,52,5,1,11,False
2014-06-01,0,36,4,1,9,False
2014-07-01,0,41,3,1,11,False
2014-08-01,0,37,6,1,15,False
2014-09-01,0,31,4,1,15,False
2014-10-01,0,37,4,1,12,False
2014-11-01,0,32,6,1,11,False
2014-12-01,0,38,4,1,9,False
2015-01-01,0,37,4,2,9,False
2015-02-01,0,35,4,1,11,False
2015-03-01,0,48,4,1,16,False
2015-04-01,0,39,4,1,16,False
2015-05-01,0,52,3,1,43,False
2015-06-01,0,43,4,1,19,False
2015-07-01,0,37,4,1,22,False
2015-08-01,0,35,3,1,15,False
2015-09-01,0,35,3,1,13,False
2015-10-01,0,35,4,1,11,False
2015-11-01,0,33,4,1,10,False
2015-12-01,0,33,3,1,9,False
2016-01-01,0,33,4,1,10,False
2016-02-01,0,25,4,1,10,False
2016-03-01,0,34,5,2,11,False
2016-04-01,0,35,16,1,8,False
2016-05-01,0,27,8,2,14,False
2016-06-01,0,25,4,1,11,False
2016-07-01,0,25,3,1,12,False
2016-08-01,0,24,4,1,8,False
2016-09-01,0,32,3,1,11,False
2016-10-01,0,26,3,1,10,False
2016-11-01,0,23,3,1,14,False
2016-12-01,0,52,3,1,8,False
2017-01-01,0,26,3,1,8,False
2017-02-01,0,26,3,1,9,False
2017-03-01,0,24,4,1,8,False
