date,Sheila Nirenberg,Daniel Goldstein,Karen Tse,Alberto Cairo,Iraola,isPartial
2004-01-01,0,15,0,0,23,False
2004-02-01,0,15,0,0,60,False
2004-03-01,0,19,0,19,18,False
2004-04-01,15,15,15,29,19,False
2004-05-01,0,13,0,13,17,False
2004-06-01,0,21,13,13,19,False
2004-07-01,0,0,0,13,17,False
2004-08-01,0,24,0,12,20,False
2004-09-01,11,11,0,0,28,False
2004-10-01,0,11,0,11,26,False
2004-11-01,0,11,0,17,34,False
2004-12-01,0,11,11,0,21,False
2005-01-01,0,9,0,0,31,False
2005-02-01,0,10,10,10,24,False
2005-03-01,0,8,0,17,19,False
2005-04-01,0,9,0,9,24,False
2005-05-01,8,13,0,0,27,False
2005-06-01,8,16,8,8,29,False
2005-07-01,0,8,0,17,25,False
2005-08-01,0,12,8,0,21,False
2005-09-01,0,11,7,12,29,False
2005-10-01,0,14,0,14,27,False
2005-11-01,7,7,0,14,27,False
2005-12-01,7,7,0,7,22,False
2006-01-01,12,12,12,12,17,False
2006-02-01,0,6,0,6,22,False
2006-03-01,5,12,0,9,38,False
2006-04-01,0,9,6,6,24,False
2006-05-01,0,5,5,10,24,False
2006-06-01,0,9,0,24,27,False
2006-07-01,0,16,5,5,32,False
2006-08-01,0,7,8,5,20,False
2006-09-01,0,6,5,0,17,False
2006-10-01,4,9,9,9,27,False
2006-11-01,4,8,4,4,25,False
2006-12-01,4,13,0,4,22,False
2007-01-01,0,6,4,4,27,False
2007-02-01,0,8,0,0,24,False
2007-03-01,0,3,3,3,39,False
2007-04-01,4,7,4,5,25,False
2007-05-01,3,5,3,5,25,False
2007-06-01,0,3,0,5,27,False
2007-07-01,0,4,0,0,22,False
2007-08-01,3,4,3,5,17,False
2007-09-01,0,5,3,6,32,False
2007-10-01,0,8,4,4,24,False
2007-11-01,0,4,3,5,21,False
2007-12-01,0,5,0,5,28,False
2008-01-01,2,4,2,5,18,False
2008-02-01,0,4,3,3,29,False
2008-03-01,0,8,5,5,25,False
2008-04-01,2,9,2,3,27,False
2008-05-01,0,3,5,4,27,False
2008-06-01,2,4,2,4,24,False
2008-07-01,0,6,0,5,15,False
2008-08-01,0,5,5,2,32,False
2008-09-01,0,8,0,6,35,False
2008-10-01,0,7,2,6,30,False
2008-11-01,0,4,2,4,31,False
2008-12-01,0,8,2,8,25,False
2009-01-01,0,5,3,2,30,False
2009-02-01,0,5,0,0,35,False
2009-03-01,0,7,2,5,24,False
2009-04-01,0,4,4,6,32,False
2009-05-01,0,3,3,5,39,False
2009-06-01,0,3,2,6,27,False
2009-07-01,2,5,0,2,26,False
2009-08-01,0,4,2,2,32,False
2009-09-01,0,9,2,2,38,False
2009-10-01,0,4,2,4,28,False
2009-11-01,0,4,0,4,36,False
2009-12-01,0,5,1,4,27,False
2010-01-01,0,2,2,3,35,False
2010-02-01,0,5,0,4,18,False
2010-03-01,0,6,2,4,26,False
2010-04-01,0,8,1,2,27,False
2010-05-01,0,6,2,3,24,False
2010-06-01,0,6,2,2,29,False
2010-07-01,0,3,1,5,20,False
2010-08-01,0,6,2,2,27,False
2010-09-01,0,5,1,3,32,False
2010-10-01,0,9,1,4,34,False
