date,Francis Collins,Mark Shaw,Richard Turere,Colin Camerer,Iraola,isPartial
2004-01-01,23,32,0,14,20,False
2004-02-01,41,41,0,27,54,False
2004-03-01,17,39,0,25,17,False
2004-04-01,35,30,0,19,17,False
2004-05-01,30,38,0,22,15,False
2004-06-01,28,22,0,22,17,False
2004-07-01,23,47,0,12,16,False
2004-08-01,36,62,0,11,18,False
2004-09-01,27,50,0,0,25,False
2004-10-01,31,38,0,0,24,False
2004-11-01,34,38,0,10,31,False
2004-12-01,24,32,0,13,19,False
2005-01-01,22,19,0,8,28,False
2005-02-01,12,35,0,9,22,False
2005-03-01,25,37,0,15,17,False
2005-04-01,28,44,0,8,22,False
2005-05-01,25,24,0,11,24,False
2005-06-01,12,27,0,7,27,False
2005-07-01,22,35,0,7,22,False
2005-08-01,31,36,0,0,19,False
2005-09-01,15,33,0,10,26,False
2005-10-01,14,31,0,0,24,False
2005-11-01,12,43,0,6,24,False
2005-12-01,14,36,0,12,20,False
2006-01-01,17,37,0,9,16,False
2006-02-01,23,23,0,5,20,False
2006-03-01,22,37,0,6,34,False
2006-04-01,15,28,0,15,22,False
2006-05-01,12,35,0,8,21,False
2006-06-01,29,29,0,5,24,False
2006-07-01,75,27,0,10,29,False
2006-08-01,50,22,0,7,18,False
2006-09-01,44,34,0,9,16,False
2006-10-01,24,28,0,6,25,False
2006-11-01,51,24,0,11,22,False
2006-12-01,61,25,0,8,20,False
2007-01-01,46,18,0,5,25,False
2007-02-01,55,19,0,4,21,False
2007-03-01,43,23,0,5,35,False
2007-04-01,87,25,0,3,23,False
2007-05-01,40,21,0,3,22,False
2007-06-01,25,35,0,3,24,False
2007-07-01,37,30,0,4,20,False
2007-08-01,39,25,0,0,15,False
2007-09-01,36,18,0,0,29,False
2007-10-01,38,29,0,4,21,False
2007-11-01,46,27,0,2,19,False
2007-12-01,37,16,0,5,26,False
2008-01-01,40,18,0,2,17,False
2008-02-01,42,12,0,2,26,False
2008-03-01,49,24,0,4,23,False
2008-04-01,49,33,0,2,24,False
2008-05-01,33,24,0,8,24,False
2008-06-01,27,17,0,3,21,False
2008-07-01,28,22,0,3,14,False
2008-08-01,22,25,0,4,29,False
2008-09-01,33,26,0,3,32,False
2008-10-01,29,23,0,4,27,False
2008-11-01,35,17,0,3,28,False
2008-12-01,23,21,0,4,23,False
2009-01-01,34,15,0,5,27,False
2009-02-01,41,26,0,2,31,False
2009-03-01,32,21,0,0,22,False
2009-04-01,37,24,0,5,28,False
2009-05-01,44,21,0,0,36,False
2009-06-01,27,21,0,1,24,False
2009-07-01,100,20,0,4,24,False
2009-08-01,64,20,0,4,29,False
2009-09-01,41,18,0,3,35,False
2009-10-01,43,19,0,3,25,False
2009-11-01,34,26,0,2,33,False
2009-12-01,31,21,0,4,24,False
2010-01-01,38,22,0,2,31,False
2010-02-01,29,22,0,3,16,False
2010-03-01,42,22,0,2,24,False
2010-04-01,41,28,0,2,25,False
2010-05-01,28,22,0,2,21,False
2010-06-01,25,24,0,2,26,False
2010-07-01,25,25,0,1,19,False
2010-08-01,24,26,0,2,24,False
2010-09-01,40,18,0,3,29,False
2010-10-01,32,18,0,4,31,False
2010-11-01,27,19,0,2,38,False
2010-12-01,26,26,0,1,31,False
2011-01-01,34,21,0,1,25,False
