date,Elliot Krane,Terry Moore,Improv Everywhere,Aaron Koblin,Iraola,isPartial
2004-01-01,0,13,0,0,6,False
2004-02-01,0,29,6,0,19,False
2004-03-01,0,8,0,0,8,False
2004-04-01,0,12,0,0,9,False
2004-05-01,0,11,5,0,5,False
2004-06-01,0,16,0,0,8,False
2004-07-01,0,27,5,0,5,False
2004-08-01,0,23,0,0,8,False
2004-09-01,0,19,5,0,12,False
2004-10-01,0,21,0,0,7,False
2004-11-01,0,36,0,0,12,False
2004-12-01,0,20,4,0,9,False
2005-01-01,0,33,4,0,12,False
2005-02-01,4,25,0,0,10,False
2005-03-01,3,19,7,0,7,False
2005-04-01,0,12,23,0,12,False
2005-05-01,0,30,7,0,14,False
2005-06-01,0,20,5,0,14,False
2005-07-01,0,17,12,0,9,False
2005-08-01,0,18,8,0,7,False
2005-09-01,0,12,3,0,11,False
2005-10-01,0,21,6,3,14,False
2005-11-01,0,28,3,0,14,False
2005-12-01,0,24,7,0,11,False
2006-01-01,0,13,26,0,7,False
2006-02-01,0,19,10,0,9,False
2006-03-01,0,18,15,0,15,False
2006-04-01,2,16,17,0,9,False
2006-05-01,0,24,35,0,14,False
2006-06-01,0,16,13,0,12,False
2006-07-01,0,9,14,0,12,False
2006-08-01,0,19,21,2,8,False
2006-09-01,0,22,19,2,5,False
2006-10-01,0,10,12,0,8,False
2006-11-01,0,15,8,2,13,False
2006-12-01,0,10,5,0,10,False
2007-01-01,0,15,19,0,9,False
2007-02-01,0,17,7,2,9,False
2007-03-01,1,12,10,1,15,False
2007-04-01,0,16,8,0,11,False
2007-05-01,1,19,8,0,9,False
2007-06-01,0,16,9,3,9,False
2007-07-01,0,17,9,3,11,False
2007-08-01,0,16,11,0,8,False
2007-09-01,0,14,5,0,12,False
2007-10-01,0,13,9,1,9,False
2007-11-01,0,12,8,1,9,False
2007-12-01,0,16,9,1,12,False
2008-01-01,0,20,21,1,9,False
2008-02-01,1,13,100,0,14,False
2008-03-01,0,14,83,2,8,False
2008-04-01,0,19,50,2,12,False
2008-05-01,0,12,32,1,13,False
2008-06-01,0,18,29,1,9,False
2008-07-01,0,22,48,2,6,False
2008-08-01,0,12,25,1,14,False
2008-09-01,1,13,31,0,15,False
