date,Bill T. Jones,Tal Danino,Dawn Landes,Anand Varma,Iraola,isPartial
2004-01-01,20,0,0,0,23,False
2004-02-01,23,0,0,0,60,False
2004-03-01,19,0,0,0,18,False
2004-04-01,22,0,14,0,19,False
2004-05-01,21,0,0,0,17,False
2004-06-01,12,0,0,12,19,False
2004-07-01,22,0,13,0,17,False
2004-08-01,12,12,0,0,20,False
2004-09-01,22,0,0,11,28,False
2004-10-01,28,0,11,0,26,False
2004-11-01,17,0,0,0,34,False
2004-12-01,21,0,11,0,21,False
2005-01-01,19,0,9,9,31,False
2005-02-01,20,0,10,0,24,False
2005-03-01,21,0,8,0,19,False
2005-04-01,27,0,14,0,24,False
2005-05-01,12,0,0,0,27,False
2005-06-01,8,0,0,8,29,False
2005-07-01,16,0,16,0,25,False
2005-08-01,0,0,8,0,21,False
2005-09-01,7,0,7,0,29,False
2005-10-01,18,0,20,7,27,False
2005-11-01,13,0,13,0,27,False
2005-12-01,13,0,27,0,22,False
2006-01-01,12,0,8,0,17,False
2006-02-01,26,0,0,0,22,False
2006-03-01,21,0,5,0,38,False
2006-04-01,14,0,14,0,24,False
2006-05-01,10,0,10,0,24,False
2006-06-01,14,0,12,0,27,False
2006-07-01,7,0,12,0,32,False
2006-08-01,11,0,0,0,20,False
2006-09-01,8,0,8,0,17,False
2006-10-01,10,0,13,0,27,False
2006-11-01,4,0,4,0,25,False
2006-12-01,12,4,9,4,22,False
2007-01-01,9,0,7,0,27,False
2007-02-01,6,0,8,4,24,False
2007-03-01,11,0,9,0,39,False
2007-04-01,8,0,11,0,25,False
2007-05-01,13,0,19,0,25,False
2007-06-01,9,0,21,3,27,False
2007-07-01,4,0,20,3,22,False
2007-08-01,9,0,22,0,17,False
2007-09-01,4,0,17,0,32,False
2007-10-01,11,0,12,0,24,False
2007-11-01,11,0,22,0,21,False
2007-12-01,5,0,27,0,28,False
2008-01-01,6,0,32,0,18,False
2008-02-01,7,0,36,2,29,False
2008-03-01,7,0,31,0,25,False
2008-04-01,9,0,32,5,27,False
2008-05-01,5,0,35,0,27,False
2008-06-01,5,2,38,0,24,False
2008-07-01,6,0,25,0,15,False
2008-08-01,7,2,18,0,32,False
2008-09-01,6,0,24,0,35,False
2008-10-01,4,0,15,0,30,False
2008-11-01,6,0,17,2,31,False
2008-12-01,6,0,10,2,25,False
2009-01-01,7,0,11,2,30,False
2009-02-01,7,0,13,2,35,False
2009-03-01,8,0,6,2,24,False
2009-04-01,5,2,16,0,32,False
2009-05-01,4,0,29,0,39,False
2009-06-01,4,0,19,2,27,False
2009-07-01,2,0,14,0,26,False
2009-08-01,4,0,20,2,32,False
2009-09-01,6,0,19,2,38,False
2009-10-01,5,0,22,1,28,False
2009-11-01,7,0,40,1,36,False
2009-12-01,10,0,25,0,27,False
2010-01-01,4,0,25,1,35,False
2010-02-01,12,0,21,0,18,False
2010-03-01,3,0,16,0,26,False
2010-04-01,8,0,21,0,27,False
2010-05-01,4,0,27,1,24,False
2010-06-01,6,0,19,0,29,False
2010-07-01,9,0,11,1,20,False
2010-08-01,2,0,13,2,27,False
2010-09-01,3,0,15,1,32,False
2010-10-01,3,1,14,0,34,False
2010-11-01,3,0,7,1,42,False
2010-12-01,20,0,9,1,34,False
2011-01-01,6,0,10,1,28,False
2011-02-01,4,0,9,1,38,False
2011-03-01,7,1,11,1,46,False
2011-04-01,4,1,9,1,34,False
2011-05-01,3,0,8,2,31,False
2011-06-01,4,0,8,1,33,False
2011-07-01,3,1,7,1,28,False
2011-08-01,2,0,6,1,42,False
2011-09-01,3,0,8,1,34,False
2011-10-01,4,0,5,1,32,False
2011-11-01,7,0,5,0,28,False
2011-12-01,3,1,7,1,27,False
2012-01-01,3,1,7,0,25,False
2012-02-01,3,0,8,0,30,False
2012-03-01,4,1,4,1,54,False
2012-04-01,3,0,3,2,34,False
2012-05-01,3,0,5,0,41,False
2012-06-01,2,0,7,1,32,False
2012-07-01,2,0,7,1,23,False
2012-08-01,3,1,5,1,24,False
2012-09-01,1,0,4,1,26,False
2012-10-01,3,1,3,1,25,False
2012-11-01,2,0,3,1,27,False
2012-12-01,2,1,7,1,23,False
2013-01-01,3,1,3,1,24,False
2013-02-01,2,0,6,1,25,False
2013-03-01,3,0,7,1,23,False
2013-04-01,2,1,4,1,25,False
2013-05-01,1,0,4,1,21,False
2013-06-01,1,1,5,1,23,False
2013-07-01,1,0,3,1,23,False
2013-08-01,1,0,3,1,24,False
2013-09-01,1,0,3,1,30,False
2013-10-01,2,0,4,1,26,False
2013-11-01,2,0,2,1,24,False
2013-12-01,1,0,2,1,25,False
2014-01-01,2,0,3,2,22,False
2014-02-01,1,0,8,1,25,False
2014-03-01,1,0,6,1,28,False
2014-04-01,1,0,10,1,22,False
2014-05-01,2,0,8,1,25,False
2014-06-01,1,0,6,1,21,False
2014-07-01,1,0,2,1,26,False
2014-08-01,2,1,3,1,34,False
2014-09-01,1,1,4,1,35,False
2014-10-01,2,1,7,1,27,False
2014-11-01,2,0,5,3,26,False
2014-12-01,1,0,2,1,22,False
2015-01-01,2,1,3,1,21,False
2015-02-01,2,1,5,4,26,False
2015-03-01,1,2,3,1,37,False
2015-04-01,1,1,3,2,38,False
2015-05-01,3,2,6,2,100,False
2015-06-01,2,1,3,2,44,False
2015-07-01,1,1,3,1,50,False
2015-08-01,1,1,2,1,34,False
2015-09-01,1,1,4,2,30,False
2015-10-01,2,1,2,1,24,False
2015-11-01,1,0,4,1,23,False
2015-12-01,1,1,3,1,20,False
2016-01-01,1,1,2,1,24,False
2016-02-01,2,1,7,1,23,False
2016-03-01,1,0,5,1,26,False
2016-04-01,2,0,2,1,18,False
2016-05-01,1,1,4,1,32,False
2016-06-01,0,0,1,1,26,False
2016-07-01,1,1,2,1,28,False
2016-08-01,1,1,2,1,18,False
2016-09-01,2,1,2,1,25,False
2016-10-01,1,0,3,1,24,False
2016-11-01,1,1,2,1,33,False
2016-12-01,1,0,2,1,19,False
2017-01-01,0,1,2,1,18,False
2017-02-01,1,0,2,2,21,False
2017-03-01,1,1,2,1,18,False
2017-04-01,1,1,2,1,19,False
2017-05-01,1,1,2,1,24,False
2017-06-01,1,1,2,2,19,False
2017-07-01,1,1,2,2,20,False
2017-08-01,0,0,1,1,18,False
2017-09-01,1,0,1,1,18,False
2017-10-01,1,0,2,1,16,False
2017-11-01,1,0,2,1,14,False
2017-12-01,0,1,1,1,14,False
2018-01-01,1,0,1,2,19,False
2018-02-01,1,0,1,2,17,False
2018-03-01,1,1,1,1,14,False
2018-04-01,1,0,1,1,16,False
2018-05-01,0,1,1,2,17,False
2018-06-01,0,0,1,2,17,False
2018-07-01,1,0,2,2,16,False
2018-08-01,1,1,3,1,17,False
2018-09-01,1,0,5,1,18,False
2018-10-01,1,1,2,2,20,False
2018-11-01,1,0,2,1,17,False
2018-12-01,1,1,2,1,16,False
2019-01-01,1,0,1,2,16,False
2019-02-01,1,0,1,2,19,False
2019-03-01,1,1,1,1,15,False
2019-04-01,1,1,2,1,19,False
2019-05-01,1,0,2,1,16,False
2019-06-01,1,1,2,2,17,False
2019-07-01,1,1,1,2,24,False
2019-08-01,0,0,1,1,20,False
2019-09-01,0,1,1,1,17,False
2019-10-01,1,0,1,1,16,False
2019-11-01,1,0,2,7,16,False
2019-12-01,0,1,2,4,19,False
2020-01-01,1,0,1,5,28,False
2020-02-01,1,1,2,3,54,False
2020-03-01,1,1,1,3,21,False
2020-04-01,1,0,1,3,17,False
2020-05-01,0,0,1,2,14,False
2020-06-01,1,0,2,3,16,False
2020-07-01,1,0,1,2,34,False
2020-08-01,1,0,1,2,27,False
2020-09-01,1,0,1,2,19,False
2020-10-01,1,0,2,2,21,False
