date,Dennis vanEngelsdorp,Jay Walker,Benjamin Wallace,Penelope Boston,Iraola,isPartial
2004-01-01,0,23,15,0,23,False
2004-02-01,0,38,15,0,60,False
2004-03-01,0,56,19,19,18,False
2004-04-01,0,29,0,0,19,False
2004-05-01,0,25,19,0,17,False
2004-06-01,0,21,25,0,19,False
2004-07-01,0,39,13,0,17,False
2004-08-01,0,28,12,0,20,False
2004-09-01,0,29,11,0,28,False
2004-10-01,0,26,11,11,26,False
2004-11-01,0,15,23,0,34,False
2004-12-01,0,18,11,0,21,False
2005-01-01,0,22,9,19,31,False
2005-02-01,0,26,20,0,24,False
2005-03-01,0,12,16,8,19,False
2005-04-01,0,27,9,9,24,False
2005-05-01,0,24,8,8,27,False
2005-06-01,0,8,8,8,29,False
2005-07-01,0,25,16,8,25,False
2005-08-01,0,32,8,0,21,False
2005-09-01,0,22,7,0,29,False
2005-10-01,0,24,11,0,27,False
2005-11-01,0,34,7,0,27,False
2005-12-01,0,26,7,0,22,False
2006-01-01,0,21,11,0,17,False
2006-02-01,0,44,12,0,22,False
2006-03-01,0,15,8,10,38,False
2006-04-01,0,39,8,0,24,False
2006-05-01,0,17,5,5,24,False
2006-06-01,0,16,0,0,27,False
2006-07-01,0,21,9,5,32,False
2006-08-01,0,15,10,0,20,False
2006-09-01,0,14,5,0,17,False
2006-10-01,0,10,4,9,27,False
2006-11-01,0,17,11,4,25,False
2006-12-01,0,26,7,4,22,False
2007-01-01,0,17,11,0,27,False
2007-02-01,0,13,5,8,24,False
2007-03-01,0,17,7,3,39,False
2007-04-01,0,24,7,7,25,False
2007-05-01,0,15,3,0,25,False
2007-06-01,0,19,6,5,27,False
2007-07-01,0,21,6,3,22,False
2007-08-01,0,16,5,3,17,False
2007-09-01,0,15,4,4,32,False
2007-10-01,0,17,5,3,24,False
2007-11-01,0,18,5,3,21,False
2007-12-01,0,13,4,6,28,False
2008-01-01,2,14,6,0,18,False
2008-02-01,2,20,8,5,29,False
2008-03-01,0,14,5,3,25,False
2008-04-01,2,18,2,2,27,False
2008-05-01,0,20,8,4,27,False
2008-06-01,2,13,7,3,24,False
2008-07-01,0,12,7,4,15,False
2008-08-01,0,14,2,4,32,False
2008-09-01,0,25,3,2,35,False
2008-10-01,2,37,4,2,30,False
2008-11-01,0,19,2,0,31,False
2008-12-01,2,19,5,7,25,False
2009-01-01,0,25,7,3,30,False
2009-02-01,0,18,5,6,35,False
2009-03-01,0,14,3,3,24,False
2009-04-01,2,16,5,4,32,False
2009-05-01,0,17,7,2,39,False
2009-06-01,0,21,7,3,27,False
2009-07-01,0,17,2,3,26,False
2009-08-01,0,20,3,4,32,False
2009-09-01,0,16,5,2,38,False
2009-10-01,1,24,2,3,28,False
2009-11-01,0,17,3,2,36,False
2009-12-01,0,25,3,1,27,False
2010-01-01,1,19,3,3,35,False
2010-02-01,1,24,4,5,18,False
2010-03-01,0,15,5,3,26,False
2010-04-01,0,17,4,2,27,False
2010-05-01,1,16,6,3,24,False
2010-06-01,1,28,2,3,29,False
2010-07-01,0,16,4,2,20,False
2010-08-01,0,23,2,2,27,False
2010-09-01,0,26,3,4,32,False
2010-10-01,0,20,3,2,34,False
2010-11-01,1,19,4,2,42,False
2010-12-01,0,21,3,1,34,False
2011-01-01,0,27,3,2,28,False
2011-02-01,0,25,5,3,38,False
2011-03-01,0,24,2,3,46,False
2011-04-01,0,23,6,2,34,False
2011-05-01,1,25,5,2,31,False
2011-06-01,1,20,3,2,33,False
2011-07-01,1,23,3,1,28,False
2011-08-01,1,17,4,2,42,False
2011-09-01,0,21,4,3,34,False
2011-10-01,1,19,5,3,32,False
2011-11-01,0,21,3,2,28,False
2011-12-01,0,23,3,2,27,False
2012-01-01,1,22,3,3,25,False
2012-02-01,1,17,2,1,30,False
2012-03-01,1,21,5,1,54,False
2012-04-01,0,19,7,1,34,False
2012-05-01,0,17,4,1,41,False
2012-06-01,0,28,3,2,32,False
2012-07-01,1,22,4,1,23,False
2012-08-01,0,17,3,1,24,False
2012-09-01,0,20,3,1,26,False
2012-10-01,0,19,3,1,25,False
2012-11-01,1,21,4,2,27,False
2012-12-01,0,15,4,1,23,False
2013-01-01,0,17,3,1,24,False
2013-02-01,1,19,5,2,25,False
2013-03-01,0,15,4,1,23,False
2013-04-01,1,22,2,2,25,False
2013-05-01,1,16,3,1,21,False
2013-06-01,0,17,4,1,23,False
2013-07-01,1,22,4,1,23,False
2013-08-01,1,24,3,1,24,False
2013-09-01,1,18,2,1,30,False
2013-10-01,1,20,5,2,26,False
2013-11-01,1,20,2,1,24,False
2013-12-01,1,79,3,1,25,False
2014-01-01,1,28,3,1,22,False
2014-02-01,1,25,3,1,25,False
2014-03-01,1,18,3,1,28,False
