date,Olivier Scalabre,Timothy Ihrig,Vanessa Ruiz,Christopher Bell,Iraola,isPartial
2004-01-01,0,0,0,45,23,False
2004-02-01,0,0,15,40,60,False
2004-03-01,0,0,19,19,18,False
2004-04-01,0,0,14,43,19,False
2004-05-01,0,0,0,25,17,False
2004-06-01,0,0,0,33,19,False
2004-07-01,0,0,0,17,17,False
2004-08-01,0,12,12,24,20,False
2004-09-01,0,11,22,40,28,False
2004-10-01,0,0,0,38,26,False
2004-11-01,0,0,11,26,34,False
2004-12-01,0,0,11,32,21,False
2005-01-01,0,0,9,34,31,False
2005-02-01,0,0,20,33,24,False
2005-03-01,0,0,0,30,19,False
2005-04-01,0,0,9,30,24,False
2005-05-01,0,0,0,24,27,False
2005-06-01,0,0,8,32,29,False
2005-07-01,0,0,12,33,25,False
2005-08-01,0,0,8,26,21,False
2005-09-01,0,0,11,29,29,False
2005-10-01,0,0,9,41,27,False
2005-11-01,0,0,13,13,27,False
2005-12-01,0,0,13,31,22,False
2006-01-01,0,0,9,31,17,False
2006-02-01,0,0,15,24,22,False
2006-03-01,0,0,9,43,38,False
2006-04-01,0,0,8,22,24,False
2006-05-01,0,0,8,18,24,False
2006-06-01,0,0,12,20,27,False
2006-07-01,0,0,11,28,32,False
2006-08-01,0,0,5,26,20,False
2006-09-01,0,0,11,27,17,False
2006-10-01,0,4,4,31,27,False
2006-11-01,0,0,4,26,25,False
2006-12-01,4,0,7,29,22,False
2007-01-01,0,0,6,24,27,False
2007-02-01,0,0,10,22,24,False
2007-03-01,0,0,9,22,39,False
2007-04-01,0,0,13,31,25,False
2007-05-01,0,0,12,24,25,False
2007-06-01,0,0,11,22,27,False
2007-07-01,0,0,8,28,22,False
2007-08-01,0,0,7,32,17,False
2007-09-01,0,0,13,17,32,False
2007-10-01,0,0,6,25,24,False
2007-11-01,0,0,11,26,21,False
2007-12-01,0,0,10,16,28,False
2008-01-01,0,0,7,28,18,False
2008-02-01,0,3,9,17,29,False
2008-03-01,0,0,8,25,25,False
2008-04-01,0,0,14,24,27,False
2008-05-01,0,0,10,21,27,False
2008-06-01,0,0,7,31,24,False
2008-07-01,0,0,4,30,15,False
2008-08-01,0,0,6,26,32,False
2008-09-01,0,0,8,28,35,False
2008-10-01,0,0,9,19,30,False
2008-11-01,0,0,8,20,31,False
2008-12-01,0,0,12,30,25,False
2009-01-01,0,0,9,25,30,False
2009-02-01,0,0,8,26,35,False
2009-03-01,2,0,6,18,24,False
2009-04-01,0,0,9,17,32,False
2009-05-01,0,0,10,16,39,False
2009-06-01,0,0,5,24,27,False
2009-07-01,0,0,12,22,26,False
2009-08-01,0,0,10,21,32,False
2009-09-01,0,0,10,18,38,False
2009-10-01,1,0,11,25,28,False
2009-11-01,0,0,14,20,36,False
2009-12-01,0,0,13,17,27,False
2010-01-01,0,0,9,19,35,False
2010-02-01,0,0,11,16,18,False
2010-03-01,1,1,13,17,26,False
2010-04-01,0,0,15,21,27,False
2010-05-01,0,0,33,19,24,False
2010-06-01,0,0,21,27,29,False
2010-07-01,0,0,18,25,20,False
2010-08-01,0,1,13,21,27,False
2010-09-01,0,0,8,21,32,False
2010-10-01,0,0,12,20,34,False
2010-11-01,0,0,11,17,42,False
2010-12-01,0,0,10,18,34,False
2011-01-01,1,0,10,17,28,False
2011-02-01,1,0,10,22,38,False
2011-03-01,0,0,8,17,46,False
2011-04-01,0,0,10,18,34,False
2011-05-01,0,0,14,14,31,False
2011-06-01,0,0,9,19,33,False
2011-07-01,0,0,7,14,28,False
2011-08-01,0,1,8,13,42,False
2011-09-01,1,0,8,15,34,False
2011-10-01,0,1,7,15,32,False
2011-11-01,0,0,6,16,28,False
2011-12-01,0,0,8,19,27,False
2012-01-01,0,0,7,15,25,False
2012-02-01,0,0,6,17,30,False
2012-03-01,0,0,8,16,54,False
2012-04-01,0,0,6,17,34,False
2012-05-01,0,0,8,15,41,False
2012-06-01,0,0,8,14,32,False
2012-07-01,0,0,8,12,23,False
2012-08-01,0,0,7,15,24,False
2012-09-01,0,0,9,18,26,False
2012-10-01,0,0,6,21,25,False
