date,Daniel Wolpert,Paul Lewis,Sandra Fisher-Martins,Martin Hanczyc,Iraola,isPartial
2004-01-01,0,86,0,0,14,False
2004-02-01,0,88,0,0,38,False
2004-03-01,0,86,0,0,12,False
2004-04-01,0,73,0,0,12,False
2004-05-01,12,74,0,0,11,False
2004-06-01,8,76,0,0,12,False
2004-07-01,8,52,0,0,11,False
2004-08-01,8,92,0,8,13,False
2004-09-01,0,100,0,0,17,False
2004-10-01,7,62,0,7,17,False
2004-11-01,14,79,0,0,22,False
2004-12-01,13,71,0,0,13,False
2005-01-01,9,76,0,0,19,False
2005-02-01,9,89,0,0,15,False
2005-03-01,0,69,0,0,12,False
2005-04-01,6,81,0,0,15,False
2005-05-01,5,59,0,0,17,False
2005-06-01,5,73,0,0,19,False
2005-07-01,7,67,0,0,16,False
2005-08-01,0,62,0,0,13,False
2005-09-01,5,64,0,0,18,False
2005-10-01,4,88,0,0,17,False
2005-11-01,4,82,0,0,17,False
2005-12-01,4,59,0,0,14,False
2006-01-01,4,63,0,0,11,False
2006-02-01,4,81,0,0,14,False
2006-03-01,3,65,0,0,24,False
2006-04-01,3,67,0,0,15,False
2006-05-01,3,57,0,0,15,False
2006-06-01,3,69,0,0,17,False
2006-07-01,0,67,0,0,20,False
2006-08-01,0,66,0,0,12,False
2006-09-01,3,69,0,0,11,False
2006-10-01,3,71,0,0,17,False
2006-11-01,3,66,0,0,16,False
2006-12-01,0,66,0,0,14,False
2007-01-01,2,78,0,0,17,False
2007-02-01,2,66,0,0,15,False
2007-03-01,2,54,0,0,25,False
2007-04-01,2,61,0,0,16,False
2007-05-01,2,62,0,0,16,False
2007-06-01,2,61,0,0,17,False
2007-07-01,2,60,0,0,14,False
2007-08-01,2,65,0,0,11,False
2007-09-01,0,65,0,0,20,False
2007-10-01,0,69,0,0,15,False
2007-11-01,5,73,0,2,13,False
2007-12-01,2,96,0,0,18,False
2008-01-01,2,83,0,2,12,False
2008-02-01,2,87,0,0,18,False
2008-03-01,1,63,0,0,16,False
2008-04-01,2,75,0,0,17,False
2008-05-01,1,62,0,0,17,False
2008-06-01,1,62,0,1,15,False
2008-07-01,1,65,0,0,9,False
2008-08-01,1,70,0,1,20,False
2008-09-01,1,68,0,0,22,False
2008-10-01,2,62,0,0,19,False
2008-11-01,0,78,0,0,20,False
2008-12-01,1,72,0,1,16,False
2009-01-01,1,70,0,0,19,False
2009-02-01,1,58,0,0,22,False
2009-03-01,1,54,0,0,15,False
2009-04-01,2,66,0,0,20,False
2009-05-01,2,57,0,1,25,False
2009-06-01,2,97,0,0,17,False
2009-07-01,1,70,0,1,17,False
2009-08-01,1,67,0,0,20,False
2009-09-01,2,70,0,1,24,False
2009-10-01,1,71,0,1,18,False
2009-11-01,1,78,0,0,23,False
2009-12-01,1,80,0,0,17,False
2010-01-01,1,73,0,0,22,False
2010-02-01,1,69,0,0,11,False
