date,Kwame Anthony Appiah,Anne Curzan ,Ruth Chang,Jamila Lyiscott,Iraola,isPartial
2004-01-01,15,0,15,0,23,False
2004-02-01,15,0,15,0,60,False
2004-03-01,19,0,0,0,18,False
2004-04-01,14,15,0,0,19,False
2004-05-01,0,13,13,0,17,False
2004-06-01,12,0,0,0,19,False
2004-07-01,0,0,0,0,17,False
2004-08-01,12,0,0,0,20,False
2004-09-01,0,0,11,0,28,False
2004-10-01,11,0,11,0,26,False
2004-11-01,11,0,0,0,34,False
2004-12-01,11,0,11,0,21,False
2005-01-01,9,0,9,0,31,False
2005-02-01,10,0,15,0,24,False
2005-03-01,8,0,8,0,19,False
2005-04-01,9,0,9,0,24,False
2005-05-01,8,0,0,0,27,False
2005-06-01,8,0,0,0,29,False
2005-07-01,0,0,0,0,25,False
2005-08-01,0,8,0,0,21,False
2005-09-01,7,0,7,0,29,False
2005-10-01,7,0,7,0,27,False
2005-11-01,7,0,7,0,27,False
2005-12-01,7,0,13,0,22,False
2006-01-01,23,0,0,0,17,False
2006-02-01,12,6,0,0,22,False
2006-03-01,10,0,5,0,38,False
2006-04-01,8,0,6,0,24,False
2006-05-01,8,0,5,0,24,False
2006-06-01,5,5,5,0,27,False
2006-07-01,5,0,5,0,32,False
2006-08-01,10,0,5,0,20,False
2006-09-01,5,5,5,0,17,False
2006-10-01,11,0,13,0,27,False
2006-11-01,4,0,4,0,25,False
2006-12-01,9,0,0,0,22,False
2007-01-01,11,0,0,0,27,False
2007-02-01,8,0,4,0,24,False
2007-03-01,3,0,0,0,39,False
2007-04-01,5,0,0,0,25,False
2007-05-01,6,3,6,0,25,False
2007-06-01,5,0,10,0,27,False
2007-07-01,3,0,3,0,22,False
2007-08-01,3,0,3,0,17,False
2007-09-01,9,3,4,0,32,False
2007-10-01,13,0,3,0,24,False
2007-11-01,8,0,3,0,21,False
2007-12-01,5,0,4,0,28,False
2008-01-01,5,0,2,0,18,False
2008-02-01,7,2,2,0,29,False
2008-03-01,4,2,3,0,25,False
2008-04-01,7,2,2,0,27,False
2008-05-01,3,0,2,0,27,False
2008-06-01,3,2,6,0,24,False
2008-07-01,4,2,2,0,15,False
2008-08-01,2,0,2,0,32,False
2008-09-01,4,2,2,0,35,False
2008-10-01,2,0,2,0,30,False
2008-11-01,5,0,2,0,31,False
2008-12-01,4,2,0,0,25,False
2009-01-01,5,0,2,0,30,False
2009-02-01,5,0,3,0,35,False
2009-03-01,4,0,2,0,24,False
2009-04-01,4,2,2,0,32,False
2009-05-01,4,0,0,0,39,False
2009-06-01,2,2,2,0,27,False
2009-07-01,3,0,0,0,26,False
2009-08-01,4,2,2,0,32,False
2009-09-01,2,2,3,0,38,False
2009-10-01,4,1,2,0,28,False
2009-11-01,6,0,4,0,36,False
2009-12-01,8,0,3,0,27,False
2010-01-01,2,0,3,0,35,False
2010-02-01,5,1,1,0,18,False
2010-03-01,3,0,3,0,26,False
2010-04-01,7,3,2,0,27,False
2010-05-01,5,0,3,0,24,False
2010-06-01,0,0,0,0,29,False
2010-07-01,3,0,2,0,20,False
2010-08-01,2,2,0,0,27,False
2010-09-01,7,0,1,0,32,False
2010-10-01,7,1,2,0,34,False
2010-11-01,4,0,2,0,42,False
2010-12-01,5,0,2,0,34,False
2011-01-01,3,0,2,0,28,False
2011-02-01,7,0,2,0,38,False
2011-03-01,4,0,1,0,46,False
2011-04-01,4,1,1,0,34,False
2011-05-01,3,1,2,0,31,False
2011-06-01,2,0,5,0,33,False
2011-07-01,3,0,3,0,28,False
2011-08-01,3,1,2,0,42,False
2011-09-01,5,2,1,1,34,False
2011-10-01,4,2,1,0,32,False
2011-11-01,5,1,1,0,28,False
2011-12-01,5,1,1,0,27,False
2012-01-01,3,1,2,0,25,False
2012-02-01,9,2,1,0,30,False
2012-03-01,3,1,2,0,54,False
2012-04-01,4,1,2,0,34,False
2012-05-01,2,1,1,0,41,False
2012-06-01,2,0,2,1,32,False
2012-07-01,2,1,1,0,23,False
2012-08-01,4,1,1,0,24,False
2012-09-01,4,1,1,0,26,False
2012-10-01,4,1,2,0,25,False
2012-11-01,3,1,1,0,27,False
2012-12-01,3,1,1,0,23,False
2013-01-01,2,2,1,0,24,False
2013-02-01,3,1,1,0,25,False
2013-03-01,3,1,1,0,23,False
2013-04-01,2,1,1,0,25,False
2013-05-01,3,1,1,0,21,False
2013-06-01,3,1,1,0,23,False
2013-07-01,3,1,1,1,23,False
2013-08-01,4,1,1,0,24,False
2013-09-01,5,2,1,0,30,False
2013-10-01,5,2,2,1,26,False
2013-11-01,5,1,1,0,24,False
2013-12-01,2,1,1,0,25,False
2014-01-01,2,1,2,0,22,False
2014-02-01,3,1,1,0,25,False
2014-03-01,2,1,1,0,28,False
2014-04-01,3,2,1,0,22,False
2014-05-01,3,1,1,0,25,False
2014-06-01,6,4,12,4,21,False
2014-07-01,3,1,6,2,26,False
2014-08-01,2,1,5,2,34,False
2014-09-01,3,1,4,2,35,False
2014-10-01,2,1,5,1,27,False
2014-11-01,3,1,3,3,26,False
2014-12-01,3,1,3,1,22,False
2015-01-01,2,2,6,1,21,False
2015-02-01,3,1,3,2,26,False
2015-03-01,4,1,2,1,37,False
2015-04-01,4,1,3,1,38,False
2015-05-01,3,2,3,1,100,False
2015-06-01,2,1,1,1,44,False
2015-07-01,2,1,2,1,50,False
2015-08-01,3,1,4,1,34,False
