date,Jude Kelly,Joy Buolamwini,John Koenig,Caitlin Doughty,Iraola,isPartial
2017-11-01,2,1,3,9,14,False
2017-12-01,3,1,3,8,14,False
2018-01-01,5,2,4,11,19,False
2018-02-01,3,3,5,7,17,False
2018-03-01,4,1,6,8,14,False
2018-04-01,2,0,5,5,16,False
2018-05-01,3,1,6,6,17,False
2018-06-01,5,1,3,5,17,False
2018-07-01,3,1,5,6,16,False
2018-08-01,2,1,3,11,17,False
2018-09-01,4,1,4,8,18,False
2018-10-01,3,1,4,8,20,False
2018-11-01,4,2,2,7,17,False
2018-12-01,2,1,4,6,16,False
2019-01-01,3,2,4,5,16,False
2019-02-01,2,2,3,7,19,False
2019-03-01,3,2,3,7,15,False
2019-04-01,2,2,3,8,19,False
2019-05-01,3,3,4,7,16,False
2019-06-01,3,2,4,7,17,False
2019-07-01,3,2,4,7,24,False
2019-08-01,2,1,4,10,20,False
2019-09-01,2,2,3,13,17,False
2019-10-01,2,1,3,10,16,False
2019-11-01,2,1,3,9,16,False
2019-12-01,3,2,3,10,19,False
2020-01-01,5,2,3,11,28,False
2020-02-01,2,2,3,10,54,False
2020-03-01,3,1,3,8,21,False
2020-04-01,2,1,5,24,17,False
2020-05-01,2,1,4,28,14,False
2020-06-01,3,4,5,16,16,False
2020-07-01,3,2,4,12,34,False
2020-08-01,2,3,4,11,27,False
2020-09-01,3,3,4,11,19,False
2020-10-01,3,2,6,11,21,False
