date,Emily Oster,Will Wright,David Bolinsky,Allison Hunt,Iraola,isPartial
2004-01-01,0,14,0,5,5,False
2004-02-01,5,14,0,0,14,False
2004-03-01,0,12,0,0,6,False
2004-04-01,0,14,0,0,7,False
2004-05-01,0,18,0,0,4,False
2004-06-01,0,12,0,8,6,False
2004-07-01,0,8,0,0,4,False
2004-08-01,0,17,0,0,6,False
2004-09-01,0,11,0,0,9,False
2004-10-01,0,14,0,0,5,False
2004-11-01,0,16,0,0,9,False
2004-12-01,0,13,0,3,7,False
2005-01-01,0,13,0,3,9,False
2005-02-01,3,17,0,3,8,False
2005-03-01,0,57,0,3,5,False
2005-04-01,3,29,0,3,9,False
2005-05-01,8,100,0,3,10,False
2005-06-01,3,63,0,0,10,False
2005-07-01,8,24,0,3,7,False
2005-08-01,4,20,0,3,5,False
2005-09-01,2,17,0,0,8,False
2005-10-01,0,16,0,2,11,False
2005-11-01,0,18,0,2,11,False
2005-12-01,4,18,0,2,8,False
2006-01-01,2,18,0,6,6,False
2006-02-01,4,20,0,5,7,False
2006-03-01,2,80,0,5,11,False
2006-04-01,0,26,0,2,7,False
2006-05-01,3,43,0,2,10,False
2006-06-01,2,20,0,2,9,False
2006-07-01,2,25,0,0,9,False
2006-08-01,2,22,0,2,6,False
2006-09-01,2,19,0,1,4,False
2006-10-01,2,15,0,1,6,False
2006-11-01,3,20,0,2,10,False
2006-12-01,3,32,0,2,8,False
2007-01-01,5,20,0,1,7,False
2007-02-01,4,21,0,3,7,False
2007-03-01,3,27,0,1,12,False
2007-04-01,5,19,2,2,9,False
2007-05-01,1,17,0,1,7,False
2007-06-01,1,12,0,1,7,False
2007-07-01,4,15,0,1,8,False
2007-08-01,0,16,1,1,6,False
2007-09-01,2,13,1,3,9,False
2007-10-01,4,18,1,3,7,False
2007-11-01,3,17,2,0,7,False
2007-12-01,1,14,1,1,9,False
2008-01-01,4,16,0,1,7,False
2008-02-01,1,21,2,1,11,False
2008-03-01,2,19,0,0,6,False
2008-04-01,1,19,0,1,9,False
2008-05-01,4,20,1,1,10,False
2008-06-01,1,22,1,1,7,False
2008-07-01,1,22,0,1,5,False
2008-08-01,1,20,0,2,10,False
2008-09-01,2,46,0,1,11,False
2008-10-01,1,22,0,1,10,False
2008-11-01,1,14,0,1,11,False
2008-12-01,3,13,1,1,8,False
2009-01-01,2,13,1,1,8,False
2009-02-01,3,13,2,1,13,False
2009-03-01,1,9,1,1,9,False
2009-04-01,2,23,0,1,11,False
2009-05-01,1,14,1,1,13,False
2009-06-01,1,13,1,2,8,False
2009-07-01,2,10,0,2,8,False
2009-08-01,2,12,1,2,10,False
2009-09-01,1,11,0,1,14,False
2009-10-01,2,9,0,2,8,False
2009-11-01,1,9,0,1,12,False
2009-12-01,2,10,0,1,8,False
2010-01-01,2,9,0,1,11,False
2010-02-01,1,12,0,1,6,False
2010-03-01,1,13,0,1,8,False
2010-04-01,2,12,0,1,10,False
2010-05-01,1,11,0,1,7,False
2010-06-01,0,11,0,1,9,False
2010-07-01,1,9,0,1,7,False
2010-08-01,1,9,0,1,8,False
2010-09-01,0,13,1,1,9,False
2010-10-01,1,9,1,1,10,False
2010-11-01,1,8,0,1,12,False
2010-12-01,1,11,0,0,12,False
2011-01-01,0,12,0,1,8,False
2011-02-01,1,12,1,1,13,False
2011-03-01,1,11,0,0,15,False
2011-04-01,0,12,0,0,10,False
2011-05-01,1,11,0,0,10,False
2011-06-01,0,11,0,2,11,False
2011-07-01,1,11,0,2,8,False
2011-08-01,0,13,0,1,12,False
2011-09-01,0,10,1,1,12,False
2011-10-01,1,10,0,1,11,False
2011-11-01,1,12,0,1,9,False
2011-12-01,1,9,0,1,8,False
2012-01-01,0,13,0,1,8,False
2012-02-01,1,10,1,1,10,False
2012-03-01,1,13,0,1,16,False
2012-04-01,1,11,0,1,11,False
2012-05-01,0,10,0,1,12,False
2012-06-01,0,12,0,1,10,False
2012-07-01,0,13,0,0,7,False
2012-08-01,0,12,0,1,7,False
2012-09-01,1,9,0,1,7,False
2012-10-01,0,13,0,1,8,False
2012-11-01,0,10,0,0,8,False
2012-12-01,0,11,0,1,7,False
2013-01-01,1,10,0,2,7,False
2013-02-01,1,13,0,1,8,False
2013-03-01,2,16,0,2,7,False
2013-04-01,1,12,0,1,7,False
2013-05-01,0,10,0,1,6,False
2013-06-01,1,9,0,1,8,False
2013-07-01,1,10,0,0,7,False
2013-08-01,8,9,0,1,7,False
2013-09-01,4,10,0,1,9,False
2013-10-01,2,11,1,1,8,False
2013-11-01,2,11,0,1,7,False
2013-12-01,0,9,0,1,8,False
2014-01-01,1,10,0,1,7,False
2014-02-01,1,10,0,1,8,False
2014-03-01,2,10,0,1,9,False
2014-04-01,1,8,0,1,7,False
2014-05-01,1,9,0,0,8,False
2014-06-01,1,10,0,0,6,False
2014-07-01,1,10,0,1,9,False
2014-08-01,1,11,0,1,11,False
2014-09-01,1,10,0,1,11,False
2014-10-01,1,9,0,1,9,False
2014-11-01,1,9,0,1,10,False
2014-12-01,1,8,0,1,7,False
2015-01-01,1,9,0,1,7,False
2015-02-01,1,11,0,1,8,False
2015-03-01,1,11,0,1,12,False
2015-04-01,1,10,0,0,13,False
2015-05-01,1,11,0,1,32,False
2015-06-01,0,10,0,1,13,False
2015-07-01,1,7,0,0,15,False
2015-08-01,1,11,0,1,12,False
2015-09-01,1,9,0,1,9,False
2015-10-01,1,8,0,1,7,False
2015-11-01,1,8,0,1,8,False
2015-12-01,1,10,0,0,6,False
2016-01-01,1,10,0,1,7,False
2016-02-01,1,10,0,1,8,False
2016-03-01,1,9,0,0,8,False
2016-04-01,2,12,0,1,6,False
2016-05-01,1,9,0,1,10,False
2016-06-01,1,10,0,0,9,False
2016-07-01,1,9,0,1,9,False
2016-08-01,1,9,0,0,6,False
2016-09-01,0,9,0,0,8,False
2016-10-01,1,8,0,1,8,False
2016-11-01,0,9,0,1,11,False
2016-12-01,1,8,0,1,6,False
2017-01-01,1,9,0,1,6,False
2017-02-01,1,10,0,1,7,False
2017-03-01,1,8,0,1,6,False
2017-04-01,1,10,0,1,6,False
2017-05-01,1,8,0,1,8,False
2017-06-01,1,9,0,2,6,False
2017-07-01,1,10,0,1,6,False
2017-08-01,1,8,0,1,6,False
2017-09-01,1,9,0,0,6,False
2017-10-01,1,8,0,1,5,False
2017-11-01,1,8,0,1,5,False
2017-12-01,1,8,0,1,4,False
2018-01-01,2,10,0,0,6,False
2018-02-01,1,10,0,0,5,False
2018-03-01,1,9,0,1,4,False
2018-04-01,1,9,0,1,5,False
2018-05-01,1,9,0,1,6,False
2018-06-01,1,9,0,0,6,False
2018-07-01,1,7,0,0,5,False
2018-08-01,1,8,0,1,5,False
2018-09-01,1,8,0,1,6,False
2018-10-01,1,8,0,1,7,False
2018-11-01,1,6,0,1,5,False
2018-12-01,1,9,0,1,5,False
2019-01-01,2,8,0,1,4,False
2019-02-01,1,9,0,1,6,False
2019-03-01,1,9,0,0,5,False
2019-04-01,5,9,0,0,6,False
2019-05-01,7,10,0,1,5,False
2019-06-01,4,9,0,1,6,False
2019-07-01,4,8,0,1,8,False
2019-08-01,3,10,0,1,6,False
2019-09-01,3,7,0,1,5,False
2019-10-01,2,9,0,1,5,False
2019-11-01,1,9,0,1,6,False
2019-12-01,3,8,0,1,6,False
2020-01-01,3,9,0,1,9,False
2020-02-01,1,10,0,1,17,False
2020-03-01,3,10,0,1,7,False
2020-04-01,3,14,0,1,5,False
2020-05-01,5,11,0,1,4,False
2020-06-01,5,8,0,1,5,False
2020-07-01,6,9,0,1,11,False
2020-08-01,5,9,0,0,8,False
2020-09-01,5,10,0,1,6,False
2020-10-01,8,9,0,1,7,False
