date,Ray Kurzweil,Kevin Kelly,Peter Gabriel,Richard St. John,Iraola,isPartial
2017-10-01,2,4,13,0,1,False
2017-11-01,2,4,13,0,1,False
2017-12-01,2,3,13,0,1,False
2018-01-01,2,3,13,0,1,False
2018-02-01,2,3,14,0,1,False
2018-03-01,1,3,13,0,1,False
2018-04-01,2,3,13,0,1,False
2018-05-01,1,3,13,0,1,False
2018-06-01,1,3,14,0,1,False
2018-07-01,2,3,13,0,1,False
2018-08-01,1,2,13,0,1,False
2018-09-01,2,3,13,0,1,False
2018-10-01,1,2,12,0,1,False
2018-11-01,1,3,14,0,1,False
2018-12-01,2,3,13,0,1,False
2019-01-01,1,5,13,0,1,False
2019-02-01,1,2,16,0,1,False
2019-03-01,1,2,13,0,1,False
2019-04-01,1,2,13,0,1,False
2019-05-01,1,2,13,0,1,False
2019-06-01,1,3,12,0,1,False
2019-07-01,1,2,16,0,1,False
2019-08-01,1,2,14,0,1,False
2019-09-01,1,4,13,0,1,False
2019-10-01,1,2,12,0,1,False
2019-11-01,1,2,13,0,1,False
2019-12-01,1,2,13,0,1,False
2020-01-01,1,3,12,0,1,False
2020-02-01,1,2,16,0,2,False
2020-03-01,1,2,15,0,1,False
2020-04-01,1,2,16,0,1,False
2020-05-01,1,3,16,0,1,False
2020-06-01,1,3,14,0,1,False
2020-07-01,1,6,13,0,2,False
2020-08-01,1,3,13,0,1,False
2020-09-01,1,3,10,0,1,False
2020-10-01,1,2,11,0,1,False
2020-11-01,1,2,10,0,1,True
