date,Alexander Wagner,Pierre Thiam,Augie Picado,Helen Czerski,Iraola,isPartial
2004-01-01,15,0,0,0,15,False
2004-02-01,45,0,0,0,45,False
2004-03-01,28,19,0,0,18,False
2004-04-01,14,0,0,0,21,False
2004-05-01,0,0,0,0,12,False
2004-06-01,12,0,0,0,18,False
2004-07-01,26,0,0,0,13,False
2004-08-01,42,0,0,0,18,False
2004-09-01,16,0,0,0,27,False
2004-10-01,0,0,0,0,17,False
2004-11-01,11,0,0,0,28,False
2004-12-01,21,0,0,0,21,False
2005-01-01,9,0,0,9,27,False
2005-02-01,14,0,0,0,24,False
2005-03-01,12,0,0,0,16,False
2005-04-01,27,0,0,0,27,False
2005-05-01,12,0,0,0,32,False
2005-06-01,32,0,0,0,32,False
2005-07-01,16,0,0,0,20,False
2005-08-01,8,0,0,0,16,False
2005-09-01,14,0,0,0,25,False
2005-10-01,20,0,0,0,33,False
2005-11-01,13,0,0,0,33,False
2005-12-01,13,0,0,0,26,False
2006-01-01,17,0,0,0,17,False
2006-02-01,6,0,0,0,21,False
2006-03-01,10,0,0,0,35,False
2006-04-01,16,0,0,0,22,False
2006-05-01,15,0,0,0,32,False
2006-06-01,13,5,0,0,29,False
2006-07-01,21,0,0,0,29,False
2006-08-01,12,0,0,0,19,False
2006-09-01,12,0,0,5,12,False
2006-10-01,19,0,0,0,19,False
2006-11-01,12,0,0,0,31,False
2006-12-01,6,0,0,0,24,False
2007-01-01,7,0,0,0,22,False
2007-02-01,6,0,0,0,21,False
2007-03-01,7,0,0,0,36,False
2007-04-01,23,0,0,0,27,False
2007-05-01,9,0,0,0,21,False
2007-06-01,10,0,0,0,22,False
2007-07-01,12,0,0,0,26,False
2007-08-01,15,0,0,0,18,False
2007-09-01,7,0,0,0,29,False
2007-10-01,8,0,0,0,21,False
2007-11-01,4,0,0,0,20,False
2007-12-01,9,0,0,0,27,False
2008-01-01,10,0,0,0,21,False
2008-02-01,15,0,0,0,33,False
2008-03-01,15,0,0,0,18,False
2008-04-01,9,0,0,0,28,False
2008-05-01,12,2,0,0,30,False
2008-06-01,9,0,0,0,22,False
2008-07-01,10,0,0,0,14,False
2008-08-01,8,0,0,0,32,False
2008-09-01,6,0,0,0,35,False
2008-10-01,8,0,0,0,31,False
2008-11-01,15,0,0,0,33,False
2008-12-01,12,2,0,0,25,False
2009-01-01,15,0,0,0,25,False
2009-02-01,14,0,0,0,39,False
2009-03-01,16,2,0,0,29,False
2009-04-01,16,0,0,0,35,False
2009-05-01,13,2,0,0,42,False
2009-06-01,7,0,0,0,25,False
2009-07-01,7,0,0,0,24,False
2009-08-01,9,0,0,0,32,False
2009-09-01,6,0,0,0,43,False
2009-10-01,11,0,0,0,24,False
2009-11-01,11,0,0,0,36,False
2009-12-01,11,0,0,0,25,False
2010-01-01,9,0,0,4,35,False
2010-02-01,12,0,0,0,17,False
2010-03-01,10,0,0,0,24,False
2010-04-01,9,1,0,0,30,False
2010-05-01,11,1,0,0,21,False
2010-06-01,9,5,0,0,29,False
2010-07-01,12,1,0,0,21,False
2010-08-01,13,0,0,0,25,False
2010-09-01,5,0,0,0,29,False
2010-10-01,11,0,0,0,30,False
2010-11-01,6,1,0,0,37,False
2010-12-01,8,0,0,0,38,False
2011-01-01,10,3,0,0,24,False
2011-02-01,6,0,0,0,39,False
2011-03-01,11,0,0,0,45,False
2011-04-01,6,1,0,0,30,False
2011-05-01,11,1,0,0,32,False
2011-06-01,12,0,0,1,35,False
2011-07-01,8,1,0,0,26,False
2011-08-01,6,1,0,0,36,False
2011-09-01,10,0,0,1,37,False
2011-10-01,9,1,0,0,33,False
2011-11-01,11,0,0,0,27,False
2011-12-01,7,1,0,1,26,False
2012-01-01,8,0,0,0,26,False
2012-02-01,6,1,0,1,30,False
2012-03-01,5,1,0,46,50,False
2012-04-01,9,0,0,3,35,False
2012-05-01,6,1,0,3,38,False
2012-06-01,5,1,0,5,30,False
2012-07-01,6,1,0,1,22,False
2012-08-01,12,0,0,0,21,False
2012-09-01,7,1,0,1,23,False
2012-10-01,8,1,0,4,26,False
2012-11-01,9,0,0,12,24,False
2012-12-01,8,2,0,6,23,False
2013-01-01,8,1,0,12,23,False
2013-02-01,7,1,0,10,26,False
2013-03-01,7,1,0,3,23,False
2013-04-01,12,0,0,15,23,False
2013-05-01,10,1,0,2,17,False
2013-06-01,7,0,0,7,24,False
2013-07-01,7,1,0,8,20,False
2013-08-01,6,1,0,28,22,False
2013-09-01,9,0,0,6,28,False
2013-10-01,6,1,0,4,24,False
2013-11-01,9,1,0,4,22,False
2013-12-01,5,1,0,13,25,False
2014-01-01,7,1,0,3,21,False
2014-02-01,7,1,0,3,25,False
2014-03-01,7,1,0,2,29,False
2014-04-01,7,1,0,1,21,False
2014-05-01,7,2,0,8,25,False
2014-06-01,5,1,0,3,20,False
2014-07-01,6,1,0,5,27,False
2014-08-01,6,1,0,11,33,False
2014-09-01,8,0,0,4,35,False
2014-10-01,9,2,0,1,27,False
2014-11-01,8,1,0,2,30,False
2014-12-01,5,1,0,5,23,False
