date,Marvin Minsky,Philip Zimbardo,Laura Trice,Caleb Chung,Iraola,isPartial
2017-11-01,4,22,0,0,14,False
2017-12-01,5,18,0,0,14,False
2018-01-01,4,24,1,1,19,False
2018-02-01,9,19,1,1,17,False
2018-03-01,6,22,0,0,14,False
2018-04-01,6,21,0,1,16,False
2018-05-01,5,20,0,1,17,False
2018-06-01,5,17,0,0,17,False
2018-07-01,6,33,0,1,16,False
2018-08-01,5,17,1,1,17,False
2018-09-01,6,24,0,0,18,False
2018-10-01,5,19,0,1,20,False
2018-11-01,6,19,1,1,17,False
2018-12-01,4,16,0,0,16,False
2019-01-01,4,14,2,0,16,False
2019-02-01,6,16,0,0,19,False
2019-03-01,4,17,0,0,15,False
2019-04-01,6,21,0,0,19,False
2019-05-01,5,16,0,1,16,False
2019-06-01,4,12,1,0,17,False
2019-07-01,4,10,0,1,24,False
2019-08-01,52,16,1,0,20,False
2019-09-01,27,21,1,0,17,False
2019-10-01,8,19,1,1,16,False
2019-11-01,7,15,0,0,16,False
2019-12-01,6,13,0,0,19,False
2020-01-01,5,13,0,0,28,False
2020-02-01,6,17,0,0,54,False
2020-03-01,4,14,0,0,21,False
2020-04-01,4,17,1,0,17,False
2020-05-01,4,15,0,1,14,False
2020-06-01,6,13,0,1,16,False
2020-07-01,26,9,0,0,34,False
2020-08-01,15,11,0,1,27,False
2020-09-01,6,18,0,0,19,False
2020-10-01,8,15,0,0,21,False
