date,John Francis,Tim Brown,Luca Turin,Lee Smolin,Iraola,isPartial
2004-01-01,100,22,3,4,4,False
2004-02-01,81,21,6,6,12,False
2004-03-01,79,21,4,6,4,False
2004-04-01,81,18,4,4,4,False
2004-05-01,92,12,4,4,3,False
2004-06-01,63,17,4,5,4,False
2004-07-01,63,17,6,4,3,False
2004-08-01,72,49,2,4,4,False
2004-09-01,88,31,2,4,5,False
2004-10-01,77,27,3,7,5,False
2004-11-01,77,18,3,2,7,False
2004-12-01,54,20,2,4,4,False
2005-01-01,73,23,5,5,6,False
2005-02-01,91,21,3,0,5,False
2005-03-01,76,20,3,3,4,False
2005-04-01,68,21,4,2,5,False
2005-05-01,76,18,2,3,5,False
2005-06-01,58,25,2,2,6,False
2005-07-01,53,32,2,3,5,False
2005-08-01,63,21,4,2,4,False
2005-09-01,73,22,1,5,6,False
2005-10-01,79,21,3,2,5,False
2005-11-01,78,17,4,2,5,False
2005-12-01,65,16,4,1,4,False
2006-01-01,69,23,2,3,3,False
2006-02-01,70,22,2,2,4,False
2006-03-01,67,13,1,1,7,False
2006-04-01,74,19,2,2,5,False
2006-05-01,65,18,2,3,5,False
2006-06-01,54,18,3,3,5,False
2006-07-01,56,15,1,2,6,False
2006-08-01,57,14,2,5,4,False
2006-09-01,58,20,2,7,3,False
2006-10-01,68,15,1,7,5,False
2006-11-01,65,13,2,4,5,False
2006-12-01,54,20,2,2,4,False
2007-01-01,52,18,2,5,5,False
2007-02-01,56,18,2,4,5,False
2007-03-01,57,15,2,4,8,False
2007-04-01,57,15,1,4,5,False
2007-05-01,64,18,1,2,5,False
2007-06-01,55,11,2,3,5,False
2007-07-01,58,16,1,2,4,False
2007-08-01,61,19,2,4,3,False
2007-09-01,55,15,1,3,6,False
2007-10-01,58,18,2,2,5,False
2007-11-01,59,16,1,5,4,False
2007-12-01,51,14,2,2,6,False
2008-01-01,63,14,1,3,4,False
2008-02-01,61,17,1,3,6,False
2008-03-01,62,17,2,2,5,False
2008-04-01,62,12,3,2,5,False
2008-05-01,57,16,3,2,5,False
2008-06-01,51,18,2,2,5,False
2008-07-01,50,18,2,3,3,False
2008-08-01,57,16,1,1,6,False
2008-09-01,62,16,2,1,7,False
2008-10-01,50,19,3,1,6,False
2008-11-01,54,16,2,1,6,False
2008-12-01,47,18,3,2,5,False
2009-01-01,54,16,2,2,6,False
2009-02-01,56,16,1,1,7,False
2009-03-01,53,16,2,2,5,False
2009-04-01,59,18,2,1,6,False
2009-05-01,55,16,1,2,8,False
2009-06-01,52,17,1,3,5,False
2009-07-01,51,17,1,2,5,False
2009-08-01,56,16,2,1,6,False
2009-09-01,56,20,2,1,8,False
2009-10-01,62,19,2,1,6,False
2009-11-01,52,20,1,2,7,False
2009-12-01,49,20,2,1,5,False
2010-01-01,54,24,1,1,7,False
2010-02-01,55,24,1,2,4,False
2010-03-01,55,21,1,1,5,False
2010-04-01,61,19,2,1,5,False
2010-05-01,56,21,2,1,5,False
2010-06-01,51,20,1,1,6,False
2010-07-01,54,19,2,1,4,False
2010-08-01,53,19,1,1,5,False
2010-09-01,53,18,2,1,6,False
2010-10-01,52,18,1,1,7,False
2010-11-01,47,18,1,2,8,False
2010-12-01,44,16,2,1,7,False
2011-01-01,53,20,1,1,6,False
2011-02-01,51,22,1,1,8,False
2011-03-01,50,17,1,1,9,False
2011-04-01,51,16,1,1,7,False
2011-05-01,49,15,1,1,6,False
2011-06-01,50,18,1,1,6,False
2011-07-01,52,16,1,1,5,False
2011-08-01,50,19,1,1,8,False
2011-09-01,49,18,1,1,7,False
2011-10-01,49,18,1,1,6,False
2011-11-01,42,19,1,1,6,False
2011-12-01,37,19,2,1,5,False
2012-01-01,44,21,1,1,5,False
2012-02-01,44,20,1,1,6,False
2012-03-01,44,17,1,1,11,False
2012-04-01,46,18,1,1,7,False
2012-05-01,43,16,1,1,8,False
2012-06-01,39,16,2,1,6,False
2012-07-01,41,18,1,1,5,False
2012-08-01,40,18,1,1,5,False
2012-09-01,49,18,1,1,5,False
2012-10-01,47,16,1,1,5,False
2012-11-01,46,19,1,1,5,False
2012-12-01,42,20,1,1,5,False
2013-01-01,48,33,1,1,5,False
2013-02-01,45,19,1,1,5,False
2013-03-01,72,17,1,1,5,False
2013-04-01,49,16,1,2,5,False
2013-05-01,47,15,1,3,4,False
2013-06-01,45,17,1,2,5,False
2013-07-01,48,15,1,2,5,False
2013-08-01,53,19,1,2,5,False
2013-09-01,54,15,1,2,6,False
2013-10-01,50,17,1,1,5,False
2013-11-01,49,17,1,1,5,False
2013-12-01,46,17,1,1,5,False
2014-01-01,49,17,1,1,4,False
