date,Paul Romer,Emmanuel Jal,Dan Pink,Eric Giler,Iraola,isPartial
2004-01-01,22,0,22,0,17,False
2004-02-01,22,0,19,0,44,False
2004-03-01,23,0,14,0,14,False
2004-04-01,27,0,11,0,14,False
2004-05-01,18,0,23,0,12,False
2004-06-01,12,0,18,0,14,False
2004-07-01,10,0,10,0,13,False
2004-08-01,15,9,9,0,15,False
2004-09-01,19,0,14,0,20,False
2004-10-01,28,8,20,8,20,False
2004-11-01,17,0,0,0,25,False
2004-12-01,13,0,43,0,16,False
2005-01-01,17,0,27,0,23,False
2005-02-01,7,7,18,0,18,False
2005-03-01,15,18,20,0,14,False
2005-04-01,14,0,7,0,18,False
2005-05-01,18,6,14,0,20,False
2005-06-01,15,8,20,6,22,False
2005-07-01,16,12,12,0,18,False
2005-08-01,6,6,20,0,16,False
2005-09-01,12,14,19,0,21,False
2005-10-01,8,25,22,5,20,False
2005-11-01,7,5,18,0,20,False
2005-12-01,13,7,16,0,16,False
2006-01-01,11,4,13,0,13,False
2006-02-01,9,10,12,0,16,False
2006-03-01,7,10,14,0,28,False
2006-04-01,4,6,12,0,18,False
2006-05-01,15,9,22,0,17,False
2006-06-01,7,10,6,0,20,False
2006-07-01,12,9,14,0,24,False
2006-08-01,14,4,25,0,14,False
2006-09-01,12,6,14,0,13,False
2006-10-01,15,6,9,3,20,False
2006-11-01,12,6,13,0,18,False
2006-12-01,6,5,12,0,16,False
2007-01-01,5,3,7,0,20,False
2007-02-01,15,6,7,3,17,False
2007-03-01,8,3,13,0,29,False
2007-04-01,12,9,15,0,19,False
2007-05-01,8,7,11,0,18,False
2007-06-01,6,5,11,2,20,False
2007-07-01,6,6,13,2,16,False
2007-08-01,6,6,19,0,13,False
2007-09-01,6,4,16,0,24,False
2007-10-01,12,14,16,0,17,False
2007-11-01,8,4,10,2,15,False
2007-12-01,9,2,17,0,21,False
2008-01-01,10,4,14,0,14,False
2008-02-01,6,6,19,2,21,False
2008-03-01,5,8,14,0,19,False
2008-04-01,6,10,16,2,20,False
2008-05-01,7,36,18,0,20,False
2008-06-01,4,33,9,0,18,False
2008-07-01,2,23,14,0,11,False
2008-08-01,4,8,10,2,24,False
2008-09-01,9,10,14,0,26,False
2008-10-01,6,12,10,0,22,False
2008-11-01,11,8,12,0,23,False
2008-12-01,7,8,17,1,18,False
2009-01-01,7,9,12,1,22,False
2009-02-01,8,19,20,0,26,False
2009-03-01,9,21,16,0,18,False
2009-04-01,11,14,13,1,23,False
2009-05-01,7,13,14,1,29,False
2009-06-01,4,6,14,0,20,False
2009-07-01,8,7,15,2,19,False
2009-08-01,9,12,25,3,24,False
2009-09-01,8,13,28,3,28,False
2009-10-01,14,10,27,2,21,False
2009-11-01,7,16,27,2,27,False
2009-12-01,5,10,27,3,20,False
2010-01-01,9,8,29,1,26,False
2010-02-01,10,10,27,1,13,False
2010-03-01,8,6,30,1,19,False
2010-04-01,9,9,26,2,20,False
2010-05-01,8,6,41,1,17,False
2010-06-01,10,5,49,1,22,False
2010-07-01,7,6,35,1,15,False
2010-08-01,7,7,37,1,20,False
2010-09-01,9,7,30,0,24,False
2010-10-01,9,14,36,1,25,False
2010-11-01,6,7,39,1,31,False
2010-12-01,4,9,30,1,25,False
2011-01-01,6,13,34,2,21,False
2011-02-01,7,11,32,1,28,False
2011-03-01,6,10,31,1,34,False
2011-04-01,9,8,33,1,25,False
2011-05-01,4,9,34,1,23,False
2011-06-01,11,9,28,1,24,False
2011-07-01,5,12,26,1,20,False
2011-08-01,3,7,30,1,31,False
2011-09-01,6,8,32,1,25,False
2011-10-01,8,12,36,1,23,False
2011-11-01,13,8,35,1,21,False
2011-12-01,8,5,39,1,20,False
2012-01-01,13,10,39,1,19,False
2012-02-01,4,7,41,1,22,False
2012-03-01,6,7,37,2,40,False
2012-04-01,6,6,31,1,25,False
2012-05-01,7,5,36,1,30,False
2012-06-01,4,4,32,0,24,False
2012-07-01,3,6,33,1,17,False
2012-08-01,3,5,32,1,18,False
2012-09-01,8,6,35,1,19,False
2012-10-01,8,6,35,1,19,False
2012-11-01,7,6,44,1,20,False
2012-12-01,3,3,36,0,17,False
