date,Paul Romer,Emmanuel Jal,Dan Pink,Eric Giler,Iraola,isPartial
2013-01-01,13,4,44,1,17,False
2013-02-01,5,4,46,0,18,False
2013-03-01,4,7,54,0,17,False
2013-04-01,3,6,55,1,19,False
2013-05-01,3,6,75,0,15,False
2013-06-01,3,4,84,0,17,False
2013-07-01,3,3,74,1,17,False
2013-08-01,3,3,64,0,18,False
2013-09-01,3,4,62,0,22,False
2013-10-01,5,4,73,1,19,False
2013-11-01,4,4,68,0,18,False
2013-12-01,4,4,67,0,18,False
2014-01-01,3,5,62,0,16,False
2014-02-01,4,4,68,0,18,False
2014-03-01,3,5,62,1,21,False
2014-04-01,3,5,66,0,16,False
2014-05-01,4,3,70,1,18,False
2014-06-01,3,3,67,0,15,False
2014-07-01,2,5,67,0,19,False
2014-08-01,2,3,65,1,25,False
2014-09-01,3,5,69,0,26,False
2014-10-01,4,7,69,1,20,False
2014-11-01,3,7,72,0,19,False
2014-12-01,4,6,65,0,16,False
2015-01-01,3,7,67,0,16,False
2015-02-01,2,8,76,0,19,False
2015-03-01,2,5,72,0,27,False
2015-04-01,3,5,70,0,28,False
2015-05-01,6,4,65,0,74,False
2015-06-01,4,5,73,0,33,False
2015-07-01,3,4,63,0,37,False
2015-08-01,3,4,66,0,25,False
2015-09-01,3,4,68,1,22,False
2015-10-01,4,5,61,0,18,False
2015-11-01,4,4,61,0,17,False
2015-12-01,2,4,64,1,15,False
2016-01-01,3,3,76,0,18,False
2016-02-01,2,4,75,0,17,False
2016-03-01,3,2,73,1,19,False
2016-04-01,3,2,77,0,14,False
2016-05-01,2,3,78,0,24,False
2016-06-01,2,4,79,0,19,False
2016-07-01,13,2,73,0,20,False
2016-08-01,4,2,84,0,13,False
2016-09-01,11,4,82,0,19,False
2016-10-01,13,3,89,0,18,False
2016-11-01,8,2,93,0,24,False
2016-12-01,6,1,83,0,14,False
2017-01-01,4,2,82,0,13,False
2017-02-01,5,3,78,0,15,False
2017-03-01,4,3,76,0,13,False
2017-04-01,2,2,80,1,14,False
2017-05-01,5,2,77,1,18,False
2017-06-01,4,2,73,0,14,False
2017-07-01,2,1,81,0,15,False
2017-08-01,3,2,67,0,13,False
2017-09-01,2,3,76,0,13,False
2017-10-01,3,2,77,0,12,False
2017-11-01,3,4,73,0,10,False
2017-12-01,3,2,75,0,10,False
2018-01-01,17,2,74,0,14,False
2018-02-01,4,2,76,0,12,False
2018-03-01,3,2,74,0,10,False
2018-04-01,3,2,75,0,12,False
2018-05-01,2,2,75,0,13,False
2018-06-01,1,2,71,0,13,False
2018-07-01,1,2,74,0,12,False
2018-08-01,3,1,70,0,13,False
2018-09-01,2,2,75,0,13,False
2018-10-01,79,2,82,0,15,False
2018-11-01,12,2,96,0,12,False
2018-12-01,15,2,100,0,12,False
2019-01-01,10,2,93,0,12,False
2019-02-01,7,2,99,0,14,False
2019-03-01,6,2,88,0,11,False
2019-04-01,6,1,87,0,14,False
2019-05-01,6,2,98,0,12,False
2019-06-01,6,2,79,0,12,False
2019-07-01,4,2,76,0,18,False
2019-08-01,4,2,75,0,15,False
2019-09-01,8,3,69,0,13,False
2019-10-01,6,3,73,0,12,False
2019-11-01,3,2,75,0,12,False
2019-12-01,3,2,76,0,14,False
2020-01-01,3,1,67,0,21,False
2020-02-01,3,2,66,0,40,False
2020-03-01,5,1,67,0,16,False
2020-04-01,17,2,83,0,13,False
2020-05-01,12,1,80,0,10,False
2020-06-01,5,2,79,0,12,False
2020-07-01,5,1,76,0,25,False
2020-08-01,7,1,86,0,20,False
2020-09-01,4,1,96,0,14,False
2020-10-01,5,1,95,0,16,False
