date,Matt Weinstein,Kartick Satyanarayan,Kiran Sethi,Lalitesh Katragadda,Iraola,isPartial
2008-07-01,3,0,2,0,11,False
2008-08-01,2,0,2,2,23,False
2008-09-01,1,0,1,1,25,False
2008-10-01,2,0,3,1,21,False
2008-11-01,3,0,0,1,22,False
2008-12-01,2,0,1,0,18,False
2009-01-01,1,0,1,0,21,False
2009-02-01,2,0,1,0,24,False
2009-03-01,4,0,0,1,17,False
2009-04-01,2,1,1,0,22,False
2009-05-01,1,0,0,0,28,False
2009-06-01,1,0,1,1,19,False
2009-07-01,2,0,2,0,19,False
2009-08-01,2,0,1,1,23,False
2009-09-01,2,2,1,1,27,False
2009-10-01,1,0,1,0,20,False
2009-11-01,1,0,2,0,26,False
2009-12-01,1,0,2,0,19,False
2010-01-01,3,1,5,2,25,False
2010-02-01,1,0,2,0,13,False
2010-03-01,2,1,2,1,18,False
2010-04-01,1,0,2,1,19,False
2010-05-01,1,0,2,1,17,False
2010-06-01,1,1,2,0,21,False
2010-07-01,1,0,2,0,14,False
2010-08-01,3,0,2,0,19,False
2010-09-01,2,0,1,0,23,False
2010-10-01,1,2,2,0,24,False
2010-11-01,1,1,2,0,30,False
2010-12-01,2,1,2,0,24,False
2011-01-01,1,0,3,0,20,False
2011-02-01,1,0,1,0,27,False
2011-03-01,1,0,1,0,32,False
2011-04-01,1,0,1,0,24,False
2011-05-01,1,0,2,0,22,False
2011-06-01,2,0,1,0,23,False
2011-07-01,1,0,1,0,19,False
2011-08-01,1,0,2,0,30,False
2011-09-01,1,1,2,0,24,False
2011-10-01,1,1,2,1,22,False
2011-11-01,1,0,2,0,20,False
2011-12-01,0,1,1,0,19,False
2012-01-01,1,0,1,0,18,False
2012-02-01,2,0,1,0,21,False
2012-03-01,1,0,2,0,38,False
2012-04-01,1,1,1,1,24,False
2012-05-01,1,0,2,1,29,False
2012-06-01,1,1,2,1,23,False
2012-07-01,0,0,1,1,16,False
2012-08-01,1,1,1,1,17,False
2012-09-01,1,0,1,2,18,False
2012-10-01,2,0,1,1,18,False
2012-11-01,0,0,1,0,19,False
2012-12-01,1,0,0,1,16,False
2013-01-01,1,0,1,0,17,False
2013-02-01,2,0,1,1,17,False
2013-03-01,1,0,1,1,16,False
2013-04-01,1,0,1,1,18,False
2013-05-01,1,0,2,1,15,False
2013-06-01,1,0,2,0,16,False
2013-07-01,0,0,1,1,17,False
2013-08-01,1,0,1,0,17,False
2013-09-01,1,0,1,1,21,False
2013-10-01,1,0,1,0,18,False
2013-11-01,1,0,0,1,17,False
2013-12-01,1,0,1,0,17,False
2014-01-01,2,0,1,0,16,False
2014-02-01,1,0,1,1,18,False
2014-03-01,1,0,1,0,20,False
2014-04-01,1,0,1,0,15,False
2014-05-01,1,0,1,1,17,False
2014-06-01,1,0,2,0,15,False
2014-07-01,1,1,1,1,18,False
2014-08-01,2,0,1,1,24,False
2014-09-01,1,0,1,0,25,False
2014-10-01,1,0,2,0,19,False
2014-11-01,0,0,1,0,18,False
2014-12-01,1,0,2,1,15,False
2015-01-01,0,0,2,0,15,False
2015-02-01,1,0,2,2,19,False
2015-03-01,1,0,3,1,26,False
2015-04-01,1,0,2,0,27,False
2015-05-01,0,0,2,0,71,False
2015-06-01,1,0,2,0,31,False
2015-07-01,1,0,1,1,35,False
2015-08-01,1,0,1,1,24,False
2015-09-01,0,0,1,1,21,False
2015-10-01,1,0,2,0,17,False
