date,Jennifer Healey,Nilofer Merchant,Sebastião Salgado,Rita Pierson,Iraola,isPartial
2004-01-01,0,0,14,0,14,False
2004-02-01,0,0,23,0,38,False
2004-03-01,0,0,23,0,12,False
2004-04-01,9,0,42,9,12,False
2004-05-01,0,0,13,0,10,False
2004-06-01,0,0,34,0,12,False
2004-07-01,0,0,24,0,11,False
2004-08-01,0,0,20,0,13,False
2004-09-01,0,0,25,7,17,False
2004-10-01,7,0,26,0,17,False
2004-11-01,0,0,28,0,21,False
2004-12-01,0,0,11,0,13,False
2005-01-01,6,0,15,0,19,False
2005-02-01,6,0,14,0,15,False
2005-03-01,0,0,31,5,12,False
2005-04-01,0,0,23,0,15,False
2005-05-01,5,0,23,5,17,False
2005-06-01,0,0,20,0,18,False
2005-07-01,8,0,22,0,15,False
2005-08-01,0,0,36,0,13,False
2005-09-01,0,0,27,4,18,False
2005-10-01,4,0,41,0,17,False
2005-11-01,4,0,24,6,17,False
2005-12-01,0,0,8,0,14,False
2006-01-01,0,0,18,0,11,False
2006-02-01,4,0,14,0,14,False
2006-03-01,0,0,22,0,23,False
2006-04-01,3,3,21,0,15,False
2006-05-01,0,3,25,0,15,False
2006-06-01,0,3,19,0,17,False
2006-07-01,0,0,15,0,20,False
2006-08-01,0,0,19,3,12,False
2006-09-01,3,0,24,3,11,False
2006-10-01,0,0,31,0,17,False
2006-11-01,3,0,29,0,16,False
2006-12-01,0,0,11,0,14,False
2007-01-01,0,0,12,0,17,False
2007-02-01,0,2,15,2,15,False
2007-03-01,2,2,12,0,24,False
2007-04-01,2,0,29,2,16,False
2007-05-01,2,0,20,2,15,False
2007-06-01,3,0,21,0,17,False
2007-07-01,3,2,9,0,14,False
2007-08-01,2,0,28,3,11,False
2007-09-01,2,0,22,0,20,False
2007-10-01,2,0,48,0,15,False
2007-11-01,2,2,34,2,13,False
2007-12-01,2,0,23,0,18,False
2008-01-01,2,0,15,2,12,False
2008-02-01,2,2,12,0,18,False
2008-03-01,1,0,21,1,16,False
2008-04-01,4,1,18,1,17,False
2008-05-01,1,1,17,0,17,False
2008-06-01,0,0,24,1,15,False
2008-07-01,1,1,12,1,9,False
2008-08-01,1,0,22,1,20,False
2008-09-01,2,0,30,0,22,False
2008-10-01,2,1,14,1,19,False
2008-11-01,1,0,19,0,19,False
2008-12-01,2,1,8,1,16,False
2009-01-01,1,1,9,0,19,False
2009-02-01,2,1,18,1,22,False
2009-03-01,1,0,20,1,15,False
2009-04-01,0,0,15,1,20,False
2009-05-01,1,0,20,1,25,False
2009-06-01,1,1,19,1,17,False
2009-07-01,2,0,10,1,16,False
2009-08-01,2,0,21,0,20,False
2009-09-01,2,0,29,1,24,False
2009-10-01,1,0,16,1,17,False
2009-11-01,2,1,25,1,23,False
2009-12-01,2,1,12,0,17,False
2010-01-01,1,1,10,0,22,False
2010-02-01,1,1,11,1,11,False
2010-03-01,0,2,15,1,16,False
2010-04-01,2,1,13,1,17,False
2010-05-01,1,1,15,0,15,False
2010-06-01,1,1,19,0,18,False
2010-07-01,0,0,8,1,13,False
2010-08-01,1,0,14,1,17,False
2010-09-01,0,1,14,1,20,False
2010-10-01,1,0,13,1,22,False
2010-11-01,0,1,18,1,26,False
2010-12-01,1,1,7,1,21,False
2011-01-01,1,0,6,0,18,False
2011-02-01,1,1,10,0,24,False
2011-03-01,1,1,12,1,29,False
2011-04-01,1,0,12,1,21,False
2011-05-01,1,1,15,1,20,False
2011-06-01,1,1,16,1,20,False
2011-07-01,1,1,6,1,17,False
2011-08-01,1,1,12,1,26,False
2011-09-01,1,1,18,0,21,False
2011-10-01,1,1,16,1,20,False
2011-11-01,2,1,20,0,18,False
2011-12-01,1,1,7,0,17,False
2012-01-01,1,0,9,0,16,False
2012-02-01,1,1,10,0,19,False
2012-03-01,1,1,18,0,34,False
2012-04-01,1,1,13,0,21,False
2012-05-01,1,1,17,0,25,False
2012-06-01,1,1,17,0,20,False
2012-07-01,1,0,10,0,14,False
