date,Frank Gehry,Raul Midon,Bill Strickland,Bernie Dunlap,Iraola,isPartial
2004-01-01,88,3,5,0,5,False
2004-02-01,83,0,3,0,13,False
2004-03-01,100,0,0,0,4,False
2004-04-01,93,0,6,0,4,False
2004-05-01,89,12,3,0,4,False
2004-06-01,63,9,0,0,4,False
2004-07-01,67,6,6,0,4,False
2004-08-01,70,5,3,0,4,False
2004-09-01,71,4,5,0,6,False
2004-10-01,86,0,5,0,6,False
2004-11-01,58,2,3,0,7,False
2004-12-01,55,3,2,0,5,False
2005-01-01,61,2,2,0,7,False
2005-02-01,84,6,2,0,5,False
2005-03-01,59,2,2,0,4,False
2005-04-01,71,5,4,0,5,False
2005-05-01,69,4,3,0,6,False
2005-06-01,58,28,3,0,6,False
2005-07-01,55,45,4,0,5,False
2005-08-01,48,41,3,0,5,False
2005-09-01,74,21,3,0,6,False
2005-10-01,57,28,3,0,6,False
2005-11-01,55,26,3,0,6,False
2005-12-01,53,16,2,0,5,False
2006-01-01,49,17,1,0,4,False
2006-02-01,52,28,2,0,5,False
2006-03-01,63,32,4,0,8,False
2006-04-01,77,30,2,0,5,False
2006-05-01,90,30,2,0,5,False
2006-06-01,70,38,1,0,6,False
2006-07-01,55,36,2,0,7,False
2006-08-01,51,28,4,0,4,False
2006-09-01,91,30,4,0,4,False
2006-10-01,99,20,2,0,6,False
2006-11-01,70,18,2,0,5,False
2006-12-01,63,16,1,0,5,False
2007-01-01,58,14,1,0,6,False
2007-02-01,65,12,2,0,5,False
2007-03-01,64,19,2,0,8,False
2007-04-01,64,12,3,0,5,False
2007-05-01,52,13,3,0,5,False
2007-06-01,59,12,2,0,6,False
2007-07-01,52,14,4,0,5,False
2007-08-01,46,18,2,0,4,False
2007-09-01,51,28,2,0,7,False
2007-10-01,62,34,2,0,5,False
2007-11-01,68,31,3,0,4,False
2007-12-01,47,18,1,0,6,False
2008-01-01,42,16,4,0,4,False
2008-02-01,45,11,3,0,6,False
2008-03-01,50,11,4,0,5,False
2008-04-01,52,11,3,0,6,False
2008-05-01,43,10,4,0,6,False
2008-06-01,44,9,3,0,5,False
2008-07-01,30,11,2,0,3,False
2008-08-01,33,12,2,0,7,False
2008-09-01,45,8,1,0,8,False
2008-10-01,42,8,3,0,7,False
2008-11-01,49,8,1,0,7,False
2008-12-01,39,5,1,0,5,False
2009-01-01,36,6,1,0,6,False
2009-02-01,41,8,2,0,7,False
