date,Murray Gell-Mann,Amory Lovins,Arthur Benjamin,Daniel Goleman,Iraola,isPartial
2004-01-01,30,9,20,55,13,False
2004-02-01,9,9,20,100,34,False
2004-03-01,11,0,25,60,11,False
2004-04-01,16,19,11,82,11,False
2004-05-01,14,14,14,88,10,False
2004-06-01,7,14,14,61,11,False
2004-07-01,11,12,7,54,10,False
2004-08-01,11,11,23,67,12,False
2004-09-01,8,10,17,76,16,False
2004-10-01,19,13,13,86,15,False
2004-11-01,11,15,24,78,19,False
2004-12-01,12,12,16,70,12,False
2005-01-01,5,9,18,53,18,False
2005-02-01,11,11,19,52,14,False
2005-03-01,11,9,12,68,11,False
2005-04-01,0,9,5,87,14,False
2005-05-01,5,9,14,61,15,False
2005-06-01,6,14,14,54,17,False
2005-07-01,8,7,11,44,14,False
2005-08-01,11,12,9,35,12,False
2005-09-01,10,8,7,56,16,False
2005-10-01,13,23,19,76,15,False
2005-11-01,8,13,13,73,15,False
2005-12-01,4,10,13,49,13,False
2006-01-01,5,15,12,65,10,False
2006-02-01,7,9,22,46,13,False
2006-03-01,5,12,13,44,21,False
2006-04-01,6,15,6,44,14,False
2006-05-01,7,9,9,46,13,False
2006-06-01,3,11,10,61,15,False
2006-07-01,5,5,6,33,18,False
2006-08-01,3,5,9,44,11,False
2006-09-01,7,6,6,50,10,False
2006-10-01,4,6,10,72,15,False
2006-11-01,5,24,5,55,14,False
2006-12-01,5,15,7,40,12,False
2007-01-01,2,22,14,46,16,False
2007-02-01,3,14,17,48,14,False
2007-03-01,5,14,5,48,22,False
2007-04-01,2,12,7,48,14,False
2007-05-01,2,12,14,52,14,False
2007-06-01,3,6,4,46,15,False
2007-07-01,4,4,7,40,13,False
2007-08-01,5,9,7,41,10,False
2007-09-01,6,6,9,52,18,False
2007-10-01,4,9,12,49,14,False
2007-11-01,2,10,9,53,12,False
2007-12-01,6,9,9,35,16,False
2008-01-01,6,8,17,33,11,False
2008-02-01,2,16,18,48,17,False
2008-03-01,4,9,14,42,14,False
2008-04-01,4,12,14,47,15,False
2008-05-01,3,12,10,48,15,False
2008-06-01,4,14,17,42,14,False
2008-07-01,2,23,12,41,9,False
2008-08-01,2,7,9,39,18,False
2008-09-01,5,9,8,49,20,False
2008-10-01,4,7,11,58,17,False
2008-11-01,4,9,10,44,18,False
2008-12-01,4,6,13,36,14,False
2009-01-01,4,8,14,42,17,False
2009-02-01,4,5,19,48,20,False
2009-03-01,5,5,14,54,14,False
2009-04-01,4,4,13,59,18,False
2009-05-01,2,7,13,66,22,False
2009-06-01,3,6,8,54,15,False
2009-07-01,2,7,14,45,15,False
2009-08-01,4,8,11,52,18,False
2009-09-01,6,8,15,55,22,False
2009-10-01,6,6,9,66,16,False
2009-11-01,4,8,14,73,21,False
2009-12-01,4,7,11,51,15,False
2010-01-01,3,6,21,47,20,False
2010-02-01,3,5,17,60,10,False
2010-03-01,4,6,15,63,15,False
2010-04-01,3,5,9,71,16,False
2010-05-01,3,6,11,70,13,False
2010-06-01,2,6,7,62,17,False
2010-07-01,2,3,9,49,12,False
2010-08-01,3,3,9,56,15,False
2010-09-01,5,4,11,64,18,False
2010-10-01,3,3,8,63,20,False
2010-11-01,4,3,10,66,24,False
2010-12-01,2,2,12,48,20,False
2011-01-01,3,3,14,53,16,False
2011-02-01,2,1,14,58,22,False
2011-03-01,3,4,9,57,26,False
2011-04-01,2,5,11,59,19,False
2011-05-01,2,4,6,62,18,False
2011-06-01,2,4,8,56,19,False
2011-07-01,1,2,11,50,16,False
2011-08-01,2,3,9,52,24,False
