date,Maria Bezaitis,Liu Bolin,Jay Silver,Sergey Brin,Iraola,isPartial
2016-02-01,0,4,4,31,10,False
2016-03-01,0,4,4,36,11,False
2016-04-01,0,4,6,25,8,False
2016-05-01,0,6,5,27,13,False
2016-06-01,0,3,5,22,11,False
2016-07-01,0,2,4,20,11,False
2016-08-01,0,1,5,20,7,False
2016-09-01,0,3,4,26,10,False
2016-10-01,0,2,4,27,10,False
2016-11-01,0,3,4,23,14,False
2016-12-01,0,2,4,28,8,False
2017-01-01,0,2,4,44,7,False
2017-02-01,0,4,4,39,9,False
2017-03-01,0,5,4,30,7,False
2017-04-01,0,3,4,26,8,False
2017-05-01,0,3,4,26,10,False
2017-06-01,0,2,4,22,8,False
2017-07-01,0,2,5,21,8,False
2017-08-01,0,2,5,23,7,False
2017-09-01,0,9,4,26,7,False
2017-10-01,0,8,6,28,7,False
2017-11-01,0,3,4,25,6,False
2017-12-01,0,3,4,20,6,False
2018-01-01,0,3,4,23,8,False
2018-02-01,0,3,5,25,7,False
2018-03-01,0,5,4,24,6,False
2018-04-01,0,4,4,26,7,False
2018-05-01,0,4,5,22,7,False
2018-06-01,0,3,4,19,7,False
2018-07-01,0,2,3,23,6,False
2018-08-01,0,2,5,21,7,False
2018-09-01,0,2,3,37,7,False
2018-10-01,0,4,3,24,8,False
2018-11-01,0,4,3,22,7,False
2018-12-01,0,3,3,19,6,False
2019-01-01,0,4,4,24,7,False
2019-02-01,0,3,4,21,8,False
2019-03-01,0,3,4,21,6,False
2019-04-01,0,2,4,19,8,False
2019-05-01,0,4,3,18,6,False
2019-06-01,0,4,3,19,7,False
2019-07-01,0,2,4,19,10,False
2019-08-01,0,4,4,26,8,False
2019-09-01,0,4,4,29,7,False
2019-10-01,0,2,4,26,7,False
2019-11-01,0,2,3,23,7,False
2019-12-01,0,1,4,57,8,False
2020-01-01,0,3,3,23,12,False
2020-02-01,0,2,5,23,22,False
2020-03-01,0,2,3,18,9,False
2020-04-01,0,2,3,19,7,False
2020-05-01,0,2,3,21,6,False
2020-06-01,0,2,4,20,7,False
2020-07-01,0,1,3,29,14,False
2020-08-01,0,1,4,22,11,False
2020-09-01,0,2,3,27,8,False
2020-10-01,0,2,4,22,9,False
