date,Keith Bellows,Ann Cooper,Jonathan Haidt,David S. Rose,Iraola,isPartial
2004-01-01,0,15,0,0,9,False
2004-02-01,0,19,6,0,25,False
2004-03-01,0,13,0,0,8,False
2004-04-01,6,14,0,0,8,False
2004-05-01,0,14,0,5,7,False
2004-06-01,0,17,0,0,8,False
2004-07-01,0,18,11,0,7,False
2004-08-01,0,12,0,0,8,False
2004-09-01,0,14,0,0,11,False
2004-10-01,5,14,0,0,11,False
2004-11-01,0,19,0,5,14,False
2004-12-01,0,23,0,0,9,False
2005-01-01,0,19,4,4,13,False
2005-02-01,0,11,0,0,10,False
2005-03-01,0,10,3,0,8,False
2005-04-01,0,15,8,0,10,False
2005-05-01,0,12,3,0,11,False
2005-06-01,3,16,3,0,12,False
2005-07-01,0,13,0,0,10,False
2005-08-01,3,14,3,3,9,False
2005-09-01,0,10,3,3,12,False
2005-10-01,3,14,4,0,11,False
2005-11-01,3,9,3,0,11,False
2005-12-01,0,8,6,0,9,False
2006-01-01,0,13,0,0,7,False
2006-02-01,0,9,2,5,9,False
2006-03-01,4,11,2,0,16,False
2006-04-01,0,12,2,0,10,False
2006-05-01,2,11,2,2,10,False
2006-06-01,0,11,0,0,11,False
2006-07-01,0,15,0,2,13,False
2006-08-01,2,8,2,0,8,False
2006-09-01,3,8,2,0,7,False
2006-10-01,0,12,2,0,11,False
2006-11-01,0,10,2,0,10,False
2006-12-01,0,7,3,0,9,False
2007-01-01,0,11,2,0,11,False
2007-02-01,0,10,3,0,10,False
2007-03-01,1,10,5,0,16,False
2007-04-01,1,8,2,1,10,False
2007-05-01,1,11,2,1,10,False
2007-06-01,0,8,5,0,11,False
2007-07-01,1,10,3,0,9,False
2007-08-01,1,13,1,2,7,False
2007-09-01,1,10,5,1,13,False
2007-10-01,1,8,2,2,10,False
2007-11-01,0,9,2,1,9,False
2007-12-01,0,6,4,1,12,False
2008-01-01,0,10,3,1,8,False
2008-02-01,0,11,2,1,12,False
2008-03-01,1,10,3,0,11,False
2008-04-01,0,9,1,1,11,False
2008-05-01,1,9,5,0,11,False
2008-06-01,1,10,3,1,10,False
2008-07-01,0,7,2,0,6,False
2008-08-01,1,10,1,2,13,False
2008-09-01,0,14,9,1,15,False
2008-10-01,1,11,4,1,13,False
2008-11-01,1,100,5,1,13,False
2008-12-01,1,16,2,2,10,False
2009-01-01,1,16,3,0,12,False
2009-02-01,1,10,2,2,14,False
2009-03-01,0,10,3,1,10,False
2009-04-01,1,11,6,0,13,False
2009-05-01,1,10,3,1,16,False
2009-06-01,0,10,2,1,11,False
2009-07-01,0,13,2,1,11,False
2009-08-01,1,12,2,0,13,False
2009-09-01,1,11,4,0,16,False
2009-10-01,1,8,2,1,12,False
2009-11-01,0,9,2,1,15,False
2009-12-01,1,14,3,2,11,False
2010-01-01,1,11,2,0,14,False
2010-02-01,1,8,2,1,7,False
2010-03-01,0,11,2,0,11,False
2010-04-01,0,12,3,0,11,False
2010-05-01,0,12,2,0,10,False
2010-06-01,0,9,2,0,12,False
2010-07-01,1,8,2,1,8,False
2010-08-01,1,9,3,1,11,False
2010-09-01,0,10,3,0,13,False
2010-10-01,0,10,4,0,14,False
2010-11-01,0,10,3,0,17,False
2010-12-01,0,9,2,1,14,False
2011-01-01,0,8,2,0,12,False
2011-02-01,0,9,3,0,16,False
2011-03-01,1,10,3,0,19,False
2011-04-01,0,11,2,0,14,False
2011-05-01,0,9,4,1,13,False
2011-06-01,0,10,3,0,14,False
2011-07-01,0,9,3,0,11,False
2011-08-01,0,9,4,0,17,False
2011-09-01,0,8,4,0,14,False
2011-10-01,1,9,4,0,13,False
2011-11-01,1,10,3,0,12,False
2011-12-01,0,8,3,1,11,False
2012-01-01,0,8,2,1,11,False
2012-02-01,0,8,16,0,12,False
2012-03-01,0,9,10,0,22,False
2012-04-01,0,8,14,0,14,False
2012-05-01,0,8,12,0,17,False
