date,Larry Brilliant,Jeff Han,Nicholas Negroponte,Sirena Huang,Iraola,isPartial
2017-10-01,1,2,4,0,15,False
2017-11-01,1,2,4,1,16,False
2017-12-01,1,2,2,1,12,False
2018-01-01,1,2,3,0,16,False
2018-02-01,2,3,2,0,12,False
2018-03-01,1,2,3,0,16,False
2018-04-01,1,2,4,0,13,False
2018-05-01,2,2,1,0,17,False
2018-06-01,1,2,1,0,13,False
2018-07-01,1,2,4,0,14,False
2018-08-01,1,2,2,0,15,False
2018-09-01,1,2,2,0,17,False
2018-10-01,1,2,3,0,16,False
2018-11-01,1,2,2,0,13,False
2018-12-01,0,1,2,0,15,False
2019-01-01,1,1,2,1,15,False
2019-02-01,1,2,2,1,17,False
2019-03-01,0,1,1,0,13,False
2019-04-01,1,2,1,0,15,False
2019-05-01,1,1,1,0,16,False
2019-06-01,1,2,6,0,15,False
2019-07-01,1,1,1,0,19,False
2019-08-01,1,1,1,0,17,False
2019-09-01,0,1,11,1,14,False
2019-10-01,1,1,2,0,14,False
2019-11-01,1,2,2,0,16,False
2019-12-01,1,1,2,0,15,False
2020-01-01,1,2,1,0,24,False
2020-02-01,1,2,1,0,44,False
2020-03-01,58,2,1,0,22,False
2020-04-01,20,2,3,0,12,False
2020-05-01,12,2,2,1,13,False
2020-06-01,5,2,2,0,16,False
2020-07-01,8,1,1,0,30,False
2020-08-01,4,1,2,0,21,False
2020-09-01,2,1,1,0,23,False
2020-10-01,3,1,0,0,18,False
2020-11-01,0,0,0,0,23,True
