date,Heribert Watzke,Dianna Cohen,Patrick Chappatte,"David Byrne, Ethel + Thomas Dolby",Iraola,isPartial
2004-01-01,0,0,0,30,17,False
2004-02-01,0,0,11,60,45,False
2004-03-01,0,14,0,28,14,False
2004-04-01,0,0,0,58,14,False
2004-05-01,0,0,0,50,12,False
2004-06-01,0,9,0,59,14,False
2004-07-01,0,20,0,45,13,False
2004-08-01,0,0,0,76,15,False
2004-09-01,0,8,8,47,21,False
2004-10-01,0,8,0,60,20,False
2004-11-01,0,0,0,54,26,False
2004-12-01,0,0,0,40,16,False
2005-01-01,0,7,0,81,23,False
2005-02-01,0,0,0,69,18,False
2005-03-01,0,0,12,45,14,False
2005-04-01,0,0,0,46,18,False
2005-05-01,0,6,0,48,20,False
2005-06-01,0,0,0,44,22,False
2005-07-01,0,0,0,47,18,False
2005-08-01,0,6,0,55,16,False
2005-09-01,0,5,5,32,22,False
2005-10-01,0,5,0,32,20,False
2005-11-01,0,0,0,35,20,False
2005-12-01,0,5,0,41,17,False
2006-01-01,0,4,0,43,13,False
2006-02-01,0,4,0,60,16,False
2006-03-01,4,0,0,49,28,False
2006-04-01,0,0,0,100,18,False
2006-05-01,0,0,0,97,18,False
2006-06-01,0,4,0,64,20,False
2006-07-01,0,0,0,41,24,False
2006-08-01,4,4,0,37,15,False
2006-09-01,0,0,0,60,13,False
2006-10-01,0,0,0,50,20,False
2006-11-01,0,3,3,77,19,False
2006-12-01,0,3,0,82,16,False
2007-01-01,0,0,0,42,21,False
2007-02-01,0,3,3,29,18,False
2007-03-01,0,3,3,44,29,False
2007-04-01,0,0,3,44,19,False
2007-05-01,0,0,0,31,19,False
2007-06-01,0,0,0,36,20,False
2007-07-01,0,0,2,41,17,False
2007-08-01,0,2,0,45,13,False
2007-09-01,0,2,0,41,24,False
2007-10-01,0,0,2,47,18,False
2007-11-01,2,2,0,37,15,False
2007-12-01,0,4,0,32,21,False
2008-01-01,0,2,0,27,14,False
2008-02-01,0,3,0,33,22,False
2008-03-01,0,3,0,36,19,False
2008-04-01,0,5,2,32,20,False
2008-05-01,0,3,0,37,20,False
2008-06-01,0,4,0,26,18,False
2008-07-01,0,5,0,28,11,False
2008-08-01,0,3,2,33,24,False
2008-09-01,0,3,0,30,27,False
2008-10-01,1,3,0,30,23,False
2008-11-01,0,1,0,28,23,False
2008-12-01,0,3,1,28,19,False
2009-01-01,0,1,3,27,22,False
2009-02-01,0,2,1,20,26,False
2009-03-01,0,2,0,31,18,False
2009-04-01,0,1,1,38,24,False
2009-05-01,0,2,0,40,29,False
2009-06-01,0,5,0,33,20,False
2009-07-01,0,5,1,32,20,False
2009-08-01,0,2,1,31,24,False
2009-09-01,1,1,1,27,29,False
2009-10-01,0,1,1,28,21,False
2009-11-01,0,3,1,23,27,False
2009-12-01,0,1,1,22,20,False
2010-01-01,0,2,1,26,26,False
2010-02-01,0,1,1,33,13,False
2010-03-01,0,2,0,35,20,False
2010-04-01,0,2,0,26,21,False
2010-05-01,0,1,2,28,18,False
2010-06-01,0,1,1,29,22,False
2010-07-01,1,2,0,29,15,False
2010-08-01,0,3,0,28,20,False
2010-09-01,0,2,1,30,24,False
2010-10-01,2,2,3,26,26,False
2010-11-01,1,3,2,25,31,False
2010-12-01,0,1,1,22,26,False
2011-01-01,1,1,3,22,21,False
2011-02-01,1,2,1,22,28,False
2011-03-01,0,1,1,23,34,False
2011-04-01,1,1,1,20,25,False
2011-05-01,1,1,0,20,23,False
2011-06-01,0,1,1,21,24,False
2011-07-01,0,1,0,27,21,False
2011-08-01,1,1,1,27,31,False
2011-09-01,0,1,1,25,25,False
2011-10-01,0,2,1,49,24,False
2011-11-01,0,2,1,38,21,False
2011-12-01,1,1,1,25,20,False
2012-01-01,0,1,1,29,19,False
2012-02-01,1,1,1,28,23,False
2012-03-01,0,1,1,32,41,False
2012-04-01,1,2,1,30,26,False
2012-05-01,1,1,1,33,30,False
2012-06-01,1,1,1,26,24,False
2012-07-01,0,2,1,17,17,False
2012-08-01,0,1,1,24,18,False
2012-09-01,1,1,1,18,20,False
2012-10-01,0,1,0,19,19,False
2012-11-01,0,2,1,15,20,False
2012-12-01,0,1,1,16,17,False
2013-01-01,0,1,1,15,18,False
2013-02-01,0,1,1,17,19,False
2013-03-01,0,1,2,15,17,False
2013-04-01,0,1,1,15,19,False
2013-05-01,0,1,0,30,16,False
2013-06-01,0,1,1,21,17,False
2013-07-01,0,2,1,17,18,False
2013-08-01,0,1,0,21,18,False
2013-09-01,0,0,1,44,23,False
2013-10-01,0,2,1,25,19,False
2013-11-01,0,2,1,24,18,False
2013-12-01,0,1,0,20,18,False
2014-01-01,1,1,1,15,17,False
2014-02-01,0,1,1,15,19,False
