date,Susan Lim,Sam Richards,Kathryn Schulz,John Hunter,Iraola,isPartial
2012-12-01,1,1,0,20,3,False
2013-01-01,1,2,0,21,3,False
2013-02-01,0,1,0,21,3,False
2013-03-01,0,2,0,20,3,False
2013-04-01,1,1,1,20,4,False
2013-05-01,0,1,1,18,3,False
2013-06-01,1,1,0,18,3,False
2013-07-01,2,1,0,19,3,False
2013-08-01,0,1,0,18,3,False
2013-09-01,1,1,0,19,4,False
2013-10-01,0,1,0,19,4,False
2013-11-01,0,1,0,20,3,False
2013-12-01,1,1,0,18,3,False
2014-01-01,0,1,0,19,3,False
2014-02-01,1,1,1,19,3,False
2014-03-01,0,1,0,18,4,False
2014-04-01,0,2,1,18,3,False
2014-05-01,0,1,0,16,3,False
2014-06-01,0,1,0,18,3,False
2014-07-01,1,1,1,17,4,False
2014-08-01,1,1,0,18,5,False
2014-09-01,0,1,1,16,5,False
2014-10-01,1,1,1,18,4,False
2014-11-01,1,1,0,19,4,False
2014-12-01,0,1,0,18,3,False
2015-01-01,0,1,0,16,3,False
2015-02-01,0,1,0,16,4,False
2015-03-01,0,1,0,16,5,False
2015-04-01,0,1,0,16,5,False
2015-05-01,0,1,0,16,14,False
2015-06-01,0,2,0,16,6,False
2015-07-01,0,1,2,16,7,False
2015-08-01,0,2,1,17,5,False
2015-09-01,0,3,1,16,4,False
2015-10-01,0,2,1,16,3,False
2015-11-01,0,2,1,18,3,False
2015-12-01,0,1,1,17,3,False
2016-01-01,0,2,1,16,3,False
2016-02-01,0,1,1,19,3,False
2016-03-01,0,1,0,16,4,False
2016-04-01,0,1,1,16,3,False
2016-05-01,0,1,1,15,4,False
2016-06-01,0,1,1,15,4,False
2016-07-01,1,1,0,15,4,False
2016-08-01,0,1,1,14,3,False
2016-09-01,0,1,1,16,4,False
2016-10-01,0,1,1,15,3,False
2016-11-01,0,1,0,16,5,False
2016-12-01,0,1,0,14,3,False
2017-01-01,0,1,0,15,2,False
2017-02-01,0,1,1,15,3,False
2017-03-01,1,1,1,15,3,False
2017-04-01,0,1,0,15,3,False
2017-05-01,0,1,0,16,3,False
2017-06-01,0,1,0,14,3,False
2017-07-01,1,1,1,15,3,False
2017-08-01,0,1,0,15,2,False
2017-09-01,0,1,0,13,2,False
2017-10-01,0,1,1,15,2,False
2017-11-01,0,1,1,16,2,False
2017-12-01,0,1,0,14,2,False
2018-01-01,0,1,1,15,3,False
2018-02-01,0,0,0,16,2,False
2018-03-01,1,1,1,16,2,False
2018-04-01,0,1,0,15,2,False
2018-05-01,0,1,0,14,2,False
2018-06-01,0,1,0,13,2,False
2018-07-01,0,1,0,14,2,False
2018-08-01,0,1,0,16,2,False
2018-09-01,0,1,0,15,3,False
2018-10-01,0,1,0,14,3,False
2018-11-01,0,1,0,16,2,False
2018-12-01,0,1,0,15,2,False
2019-01-01,0,1,0,17,2,False
2019-02-01,1,1,1,18,3,False
2019-03-01,0,1,0,15,2,False
2019-04-01,1,1,0,13,3,False
2019-05-01,0,1,0,15,2,False
2019-06-01,0,1,0,15,2,False
2019-07-01,0,1,0,14,3,False
2019-08-01,0,1,0,15,3,False
2019-09-01,0,1,0,16,2,False
2019-10-01,0,1,0,15,2,False
2019-11-01,0,1,0,16,2,False
2019-12-01,0,1,0,15,3,False
2020-01-01,0,1,0,17,4,False
2020-02-01,0,1,0,20,7,False
2020-03-01,0,1,0,15,3,False
2020-04-01,0,1,0,14,2,False
2020-05-01,0,1,0,14,2,False
2020-06-01,0,1,0,14,2,False
2020-07-01,0,1,0,14,5,False
2020-08-01,0,1,0,13,4,False
2020-09-01,0,1,0,14,3,False
2020-10-01,0,1,0,20,3,False
