date,Joan Halifax,Edward Tenner,Sarah Kaminsky,Lee Cronin,Iraola,isPartial
2004-01-01,0,0,0,0,23,False
2004-02-01,15,0,0,0,60,False
2004-03-01,37,19,0,0,18,False
2004-04-01,14,0,0,0,19,False
2004-05-01,13,25,13,0,17,False
2004-06-01,0,0,0,0,19,False
2004-07-01,39,0,0,13,17,False
2004-08-01,12,0,0,0,20,False
2004-09-01,0,0,0,0,28,False
2004-10-01,0,11,0,11,26,False
2004-11-01,17,0,0,0,34,False
2004-12-01,0,0,0,11,21,False
2005-01-01,14,9,0,0,31,False
2005-02-01,24,10,0,0,24,False
2005-03-01,8,8,0,8,19,False
2005-04-01,23,0,0,18,24,False
2005-05-01,13,8,0,8,27,False
2005-06-01,16,16,0,8,29,False
2005-07-01,0,8,0,8,25,False
2005-08-01,8,0,0,8,21,False
2005-09-01,14,14,0,0,29,False
2005-10-01,7,0,0,7,27,False
2005-11-01,13,10,0,13,27,False
2005-12-01,17,0,0,0,22,False
2006-01-01,6,6,0,0,17,False
2006-02-01,9,6,0,6,22,False
2006-03-01,5,5,0,0,38,False
2006-04-01,14,6,0,6,24,False
2006-05-01,5,5,5,5,24,False
2006-06-01,13,5,0,5,27,False
2006-07-01,0,0,0,5,32,False
2006-08-01,10,5,0,0,20,False
2006-09-01,7,5,5,5,17,False
2006-10-01,4,4,6,0,27,False
2006-11-01,4,4,0,4,25,False
2006-12-01,0,4,0,0,22,False
2007-01-01,4,0,0,0,27,False
2007-02-01,6,8,4,4,24,False
2007-03-01,9,3,0,5,39,False
2007-04-01,7,4,0,0,25,False
2007-05-01,6,3,3,3,25,False
2007-06-01,4,0,0,3,27,False
2007-07-01,6,0,3,3,22,False
2007-08-01,9,0,0,0,17,False
2007-09-01,4,6,3,3,32,False
2007-10-01,3,0,3,3,24,False
2007-11-01,4,3,0,3,21,False
2007-12-01,3,3,0,0,28,False
2008-01-01,11,2,0,5,18,False
2008-02-01,9,2,0,2,29,False
2008-03-01,5,2,0,0,25,False
2008-04-01,4,2,2,6,27,False
2008-05-01,3,2,2,4,27,False
2008-06-01,5,0,0,2,24,False
2008-07-01,4,2,2,3,15,False
2008-08-01,5,2,0,0,32,False
2008-09-01,6,2,2,3,35,False
2008-10-01,5,2,0,2,30,False
2008-11-01,6,2,2,3,31,False
2008-12-01,3,2,0,4,25,False
2009-01-01,5,2,0,2,30,False
2009-02-01,4,2,0,2,35,False
2009-03-01,6,4,0,2,24,False
2009-04-01,6,3,0,2,32,False
2009-05-01,11,2,2,2,39,False
2009-06-01,9,2,0,2,27,False
2009-07-01,5,2,0,0,26,False
2009-08-01,4,5,0,3,32,False
2009-09-01,4,2,0,3,38,False
2009-10-01,5,0,1,3,28,False
2009-11-01,3,1,3,2,36,False
2009-12-01,4,3,1,1,27,False
2010-01-01,6,0,0,1,35,False
2010-02-01,5,2,3,3,18,False
2010-03-01,4,1,1,3,26,False
2010-04-01,4,3,2,1,27,False
2010-05-01,4,1,1,2,24,False
2010-06-01,4,2,1,3,29,False
2010-07-01,1,3,0,3,20,False
2010-08-01,3,0,1,2,27,False
2010-09-01,5,1,1,2,32,False
2010-10-01,3,1,0,3,34,False
2010-11-01,6,2,2,3,42,False
2010-12-01,3,2,1,3,34,False
2011-01-01,3,2,2,1,28,False
2011-02-01,4,1,0,3,38,False
2011-03-01,4,2,1,2,46,False
2011-04-01,4,1,1,2,34,False
2011-05-01,5,1,2,3,31,False
2011-06-01,3,4,0,3,33,False
2011-07-01,4,0,0,2,28,False
2011-08-01,2,1,2,3,42,False
2011-09-01,14,5,6,5,34,False
2011-10-01,4,2,3,3,32,False
2011-11-01,6,2,1,3,28,False
2011-12-01,6,2,1,5,27,False
2012-01-01,5,1,1,3,25,False
2012-02-01,4,2,2,5,30,False
