date,Jon Nguyen,Nirmalya Kumar,Massimo Banzi,Don Tapscott,Iraola,isPartial
2004-01-01,30,0,0,15,23,False
2004-02-01,0,0,0,20,60,False
2004-03-01,0,19,0,37,18,False
2004-04-01,0,0,0,14,19,False
2004-05-01,12,0,0,19,17,False
2004-06-01,12,13,0,17,19,False
2004-07-01,0,0,0,26,17,False
2004-08-01,12,12,0,16,20,False
2004-09-01,0,11,0,18,28,False
2004-10-01,0,11,0,34,26,False
2004-11-01,0,11,0,19,34,False
2004-12-01,11,11,11,11,21,False
2005-01-01,0,0,0,9,31,False
2005-02-01,10,0,0,0,24,False
2005-03-01,8,8,0,8,19,False
2005-04-01,9,0,0,14,24,False
2005-05-01,0,0,0,13,27,False
2005-06-01,0,0,0,12,29,False
2005-07-01,8,0,0,8,25,False
2005-08-01,0,0,0,13,21,False
2005-09-01,0,7,0,14,29,False
2005-10-01,7,7,0,7,27,False
2005-11-01,7,0,0,7,27,False
2005-12-01,7,0,0,13,22,False
2006-01-01,0,0,6,17,17,False
2006-02-01,0,6,0,9,22,False
2006-03-01,5,5,0,10,38,False
2006-04-01,6,17,0,11,24,False
2006-05-01,0,5,0,8,24,False
2006-06-01,5,0,0,5,27,False
2006-07-01,5,5,0,5,32,False
2006-08-01,5,5,0,0,20,False
2006-09-01,5,9,0,5,17,False
2006-10-01,4,0,0,9,27,False
2006-11-01,4,4,0,8,25,False
2006-12-01,4,4,0,4,22,False
2007-01-01,4,4,0,10,27,False
2007-02-01,0,4,0,9,24,False
2007-03-01,0,3,3,10,39,False
2007-04-01,4,15,0,13,25,False
2007-05-01,3,3,3,13,25,False
2007-06-01,5,3,0,13,27,False
2007-07-01,0,0,0,11,22,False
2007-08-01,3,6,0,10,17,False
2007-09-01,4,3,0,10,32,False
2007-10-01,3,3,3,12,24,False
2007-11-01,3,3,0,10,21,False
2007-12-01,5,4,0,9,28,False
2008-01-01,0,2,2,5,18,False
2008-02-01,2,4,2,10,29,False
