date,Johanna Blakley,Sharmeen Obaid-Chinoy,Seth Berkley,Sophie Hunger,Iraola,isPartial
2011-07-01,0,0,1,41,23,False
2011-08-01,1,1,1,28,34,False
2011-09-01,1,0,1,31,28,False
2011-10-01,1,1,1,35,26,False
2011-11-01,1,1,1,23,23,False
2011-12-01,1,0,1,22,22,False
2012-01-01,1,5,1,21,21,False
2012-02-01,1,23,1,20,25,False
2012-03-01,2,11,1,23,44,False
2012-04-01,1,2,1,20,28,False
2012-05-01,1,1,1,20,33,False
2012-06-01,1,2,1,20,26,False
2012-07-01,1,1,1,22,19,False
2012-08-01,0,1,1,25,19,False
2012-09-01,1,1,1,37,21,False
2012-10-01,1,1,1,65,21,False
2012-11-01,1,1,1,75,22,False
2012-12-01,1,1,1,65,19,False
2013-01-01,1,1,1,79,19,False
2013-02-01,1,1,1,64,20,False
2013-03-01,1,1,0,43,19,False
2013-04-01,1,1,1,37,21,False
2013-05-01,0,0,1,32,17,False
2013-06-01,1,1,1,28,19,False
2013-07-01,0,1,0,49,19,False
2013-08-01,0,0,1,42,20,False
2013-09-01,1,1,1,60,25,False
2013-10-01,1,1,1,46,21,False
2013-11-01,1,1,1,47,19,False
2013-12-01,1,1,1,94,20,False
2014-01-01,0,1,1,36,18,False
2014-02-01,1,0,1,26,20,False
2014-03-01,1,1,1,27,23,False
2014-04-01,1,0,1,22,18,False
2014-05-01,0,1,0,18,20,False
2014-06-01,0,0,1,17,17,False
2014-07-01,0,1,0,18,21,False
2014-08-01,0,0,0,25,27,False
2014-09-01,0,0,1,17,29,False
2014-10-01,0,0,1,18,22,False
2014-11-01,0,0,1,26,21,False
2014-12-01,0,1,1,21,18,False
2015-01-01,0,0,1,22,17,False
2015-02-01,0,0,1,23,22,False
2015-03-01,1,0,0,23,30,False
2015-04-01,0,1,0,62,31,False
2015-05-01,0,1,0,73,82,False
2015-06-01,0,0,1,48,36,False
2015-07-01,0,1,0,33,41,False
2015-08-01,0,0,1,37,28,False
2015-09-01,0,0,1,29,24,False
2015-10-01,1,0,1,32,20,False
2015-11-01,0,1,0,38,19,False
2015-12-01,0,0,1,34,16,False
2016-01-01,0,1,1,32,20,False
2016-02-01,0,34,1,54,19,False
2016-03-01,0,17,1,30,21,False
2016-04-01,0,2,1,23,15,False
2016-05-01,0,1,0,22,26,False
2016-06-01,0,1,1,16,21,False
2016-07-01,0,2,1,40,23,False
2016-08-01,0,1,1,25,15,False
2016-09-01,0,0,1,28,21,False
2016-10-01,1,1,0,19,19,False
2016-11-01,0,1,1,17,27,False
2016-12-01,1,1,1,15,16,False
2017-01-01,0,1,1,11,15,False
2017-02-01,0,1,1,13,17,False
2017-03-01,0,1,1,13,15,False
2017-04-01,2,0,1,14,15,False
2017-05-01,0,0,1,12,19,False
2017-06-01,0,0,0,16,15,False
2017-07-01,0,0,1,12,16,False
2017-08-01,1,0,1,15,14,False
2017-09-01,0,0,1,13,14,False
2017-10-01,1,2,1,11,13,False
2017-11-01,0,1,0,12,12,False
2017-12-01,0,1,1,10,11,False
2018-01-01,0,1,0,10,16,False
2018-02-01,0,0,1,10,14,False
2018-03-01,0,1,0,9,11,False
2018-04-01,0,0,1,11,13,False
2018-05-01,0,0,1,19,14,False
2018-06-01,0,0,1,13,14,False
2018-07-01,0,0,1,11,13,False
2018-08-01,0,0,1,34,14,False
2018-09-01,0,1,1,57,15,False
2018-10-01,0,0,0,31,16,False
2018-11-01,0,0,0,26,14,False
2018-12-01,0,0,1,21,13,False
2019-01-01,0,0,0,18,13,False
2019-02-01,0,1,0,24,15,False
2019-03-01,0,1,1,14,13,False
2019-04-01,0,1,0,13,16,False
2019-05-01,0,0,1,12,13,False
2019-06-01,0,0,1,12,14,False
2019-07-01,0,0,1,13,20,False
2019-08-01,0,0,0,13,16,False
2019-09-01,0,0,1,12,14,False
2019-10-01,0,1,1,11,13,False
2019-11-01,0,0,1,13,13,False
2019-12-01,0,0,1,12,15,False
2020-01-01,0,0,0,11,23,False
2020-02-01,0,0,1,10,44,False
2020-03-01,0,1,3,14,17,False
2020-04-01,0,0,3,10,14,False
2020-05-01,0,0,2,11,11,False
2020-06-01,0,1,1,11,13,False
2020-07-01,0,0,1,14,28,False
2020-08-01,0,1,0,19,22,False
2020-09-01,1,1,1,27,16,False
2020-10-01,0,0,1,10,17,False
