date,Ramona Pierson,Roger Doiron,Thomas Pogge,Antonio Damasio,Iraola,isPartial
2017-08-01,0,0,2,9,18,False
2017-09-01,0,0,2,17,18,False
2017-10-01,0,0,3,15,16,False
2017-11-01,0,0,3,26,14,False
2017-12-01,0,0,3,18,14,False
2018-01-01,0,0,2,17,19,False
2018-02-01,0,1,3,20,17,False
2018-03-01,0,0,3,20,14,False
2018-04-01,0,0,4,17,16,False
2018-05-01,0,0,2,21,17,False
2018-06-01,1,0,1,16,17,False
2018-07-01,0,0,1,17,16,False
2018-08-01,1,0,3,15,17,False
2018-09-01,0,0,2,16,18,False
2018-10-01,0,0,2,16,20,False
2018-11-01,0,1,3,17,17,False
2018-12-01,0,0,2,12,16,False
2019-01-01,0,0,2,15,16,False
2019-02-01,1,0,2,15,19,False
2019-03-01,0,0,2,12,15,False
2019-04-01,0,0,2,13,19,False
2019-05-01,0,0,2,18,16,False
2019-06-01,0,0,1,14,17,False
2019-07-01,0,0,1,13,24,False
2019-08-01,0,0,2,13,20,False
2019-09-01,0,0,2,16,17,False
2019-10-01,0,0,1,12,16,False
2019-11-01,1,0,2,13,16,False
2019-12-01,0,0,1,11,19,False
2020-01-01,0,0,1,13,28,False
2020-02-01,1,0,2,13,54,False
2020-03-01,1,0,1,13,21,False
2020-04-01,0,0,1,17,17,False
2020-05-01,0,0,2,13,14,False
2020-06-01,1,0,2,13,16,False
2020-07-01,0,0,1,11,34,False
2020-08-01,0,0,1,12,27,False
2020-09-01,0,0,2,16,19,False
2020-10-01,0,0,1,11,21,False
