date,Ramona Pierson,Roger Doiron,Thomas Pogge,Antonio Damasio,Iraola,isPartial
2004-01-01,0,0,0,30,23,False
2004-02-01,0,0,30,40,60,False
2004-03-01,0,19,28,66,18,False
2004-04-01,0,0,15,53,19,False
2004-05-01,0,0,0,76,17,False
2004-06-01,0,0,21,29,19,False
2004-07-01,0,0,13,26,17,False
2004-08-01,0,0,24,24,20,False
2004-09-01,0,0,11,41,28,False
2004-10-01,0,0,17,23,26,False
2004-11-01,0,0,17,40,34,False
2004-12-01,0,0,0,28,21,False
2005-01-01,0,0,9,31,31,False
2005-02-01,0,0,10,10,24,False
2005-03-01,0,0,8,21,19,False
2005-04-01,9,0,9,34,24,False
2005-05-01,0,0,16,32,27,False
2005-06-01,0,0,8,43,29,False
2005-07-01,0,0,17,36,25,False
2005-08-01,8,0,12,21,21,False
2005-09-01,0,7,15,24,29,False
2005-10-01,0,0,10,50,27,False
2005-11-01,0,0,10,32,27,False
2005-12-01,0,0,10,33,22,False
2006-01-01,0,0,6,25,17,False
2006-02-01,0,0,8,18,22,False
2006-03-01,0,0,9,38,38,False
2006-04-01,6,0,7,22,24,False
2006-05-01,10,0,12,25,24,False
2006-06-01,0,0,5,30,27,False
2006-07-01,0,0,5,32,32,False
2006-08-01,0,0,8,21,20,False
2006-09-01,5,0,10,21,17,False
2006-10-01,4,0,7,20,27,False
2006-11-01,0,0,13,21,25,False
2006-12-01,0,0,4,20,22,False
2007-01-01,0,0,4,24,27,False
2007-02-01,0,4,4,20,24,False
2007-03-01,0,0,7,21,39,False
2007-04-01,0,0,7,28,25,False
2007-05-01,0,6,6,19,25,False
2007-06-01,0,3,6,19,27,False
2007-07-01,0,0,13,15,22,False
2007-08-01,0,0,4,14,17,False
2007-09-01,0,3,9,22,32,False
2007-10-01,0,0,9,24,24,False
2007-11-01,3,0,9,24,21,False
2007-12-01,0,0,7,14,28,False
2008-01-01,0,2,4,24,18,False
2008-02-01,0,0,4,16,29,False
2008-03-01,0,0,5,21,25,False
2008-04-01,0,2,5,17,27,False
2008-05-01,0,0,7,22,27,False
2008-06-01,0,0,8,22,24,False
2008-07-01,0,5,2,14,15,False
2008-08-01,2,0,10,7,32,False
2008-09-01,0,2,3,16,35,False
2008-10-01,0,0,8,13,30,False
2008-11-01,0,0,7,15,31,False
2008-12-01,0,2,5,10,25,False
2009-01-01,0,2,5,15,30,False
2009-02-01,0,2,6,54,35,False
2009-03-01,2,2,3,33,24,False
2009-04-01,0,2,7,19,32,False
2009-05-01,0,0,10,26,39,False
2009-06-01,2,0,4,17,27,False
2009-07-01,0,0,4,14,26,False
2009-08-01,0,2,3,12,32,False
2009-09-01,2,2,3,19,38,False
2009-10-01,0,0,5,16,28,False
2009-11-01,0,0,9,19,36,False
2009-12-01,0,1,3,18,27,False
2010-01-01,1,0,4,22,35,False
2010-02-01,0,0,7,20,18,False
2010-03-01,0,0,4,24,26,False
2010-04-01,1,1,8,17,27,False
2010-05-01,1,1,6,17,24,False
2010-06-01,0,1,7,11,29,False
2010-07-01,1,0,4,8,20,False
2010-08-01,1,1,5,12,27,False
2010-09-01,0,1,5,16,32,False
2010-10-01,0,0,3,28,34,False
2010-11-01,0,0,7,31,42,False
2010-12-01,0,0,5,23,34,False
2011-01-01,0,0,4,26,28,False
2011-02-01,1,0,4,23,38,False
2011-03-01,1,0,5,24,46,False
2011-04-01,0,0,4,21,34,False
2011-05-01,1,0,4,18,31,False
2011-06-01,1,0,7,17,33,False
2011-07-01,0,1,2,16,28,False
2011-08-01,1,0,4,14,42,False
2011-09-01,1,0,2,18,34,False
2011-10-01,1,1,5,17,32,False
2011-11-01,1,1,7,23,28,False
2011-12-01,3,2,3,24,27,False
2012-01-01,2,2,4,24,25,False
2012-02-01,2,1,3,23,30,False
2012-03-01,2,0,6,18,54,False
2012-04-01,1,0,6,19,34,False
2012-05-01,2,1,4,22,41,False
2012-06-01,1,2,3,20,32,False
2012-07-01,1,1,3,18,23,False
2012-08-01,2,1,2,15,24,False
2012-09-01,1,1,4,22,26,False
2012-10-01,0,1,4,18,25,False
2012-11-01,1,0,5,20,27,False
2012-12-01,1,1,5,14,23,False
2013-01-01,1,0,4,16,24,False
2013-02-01,2,1,4,18,25,False
2013-03-01,1,1,4,14,23,False
2013-04-01,2,1,6,17,25,False
2013-05-01,1,1,5,16,21,False
2013-06-01,1,0,4,16,23,False
2013-07-01,0,0,2,18,23,False
2013-08-01,1,1,2,15,24,False
2013-09-01,3,1,4,23,30,False
2013-10-01,3,0,5,19,26,False
2013-11-01,1,0,7,16,24,False
2013-12-01,2,1,6,17,25,False
2014-01-01,1,1,3,16,22,False
2014-02-01,2,0,2,21,25,False
2014-03-01,1,1,4,18,28,False
2014-04-01,1,1,8,16,22,False
2014-05-01,1,1,19,15,25,False
2014-06-01,2,0,6,15,21,False
2014-07-01,1,0,5,14,26,False
2014-08-01,1,0,3,12,34,False
2014-09-01,1,0,3,18,35,False
2014-10-01,1,1,5,14,27,False
2014-11-01,1,1,5,14,26,False
2014-12-01,1,1,4,11,22,False
2015-01-01,1,1,2,14,21,False
2015-02-01,1,0,2,16,26,False
2015-03-01,1,0,5,17,37,False
2015-04-01,1,2,4,16,38,False
2015-05-01,0,0,5,15,100,False
2015-06-01,1,1,3,14,44,False
2015-07-01,1,0,2,12,50,False
2015-08-01,1,0,1,13,34,False
2015-09-01,1,0,3,21,30,False
2015-10-01,1,0,3,17,24,False
2015-11-01,1,0,3,17,23,False
2015-12-01,1,0,3,16,20,False
2016-01-01,1,0,3,12,24,False
2016-02-01,1,1,4,13,23,False
2016-03-01,0,0,3,12,26,False
2016-04-01,0,1,4,16,18,False
2016-05-01,1,0,23,14,32,False
2016-06-01,1,0,13,17,26,False
2016-07-01,1,0,7,11,28,False
2016-08-01,1,1,3,10,18,False
2016-09-01,1,1,3,15,25,False
2016-10-01,1,0,3,12,24,False
2016-11-01,1,0,5,15,33,False
2016-12-01,1,0,2,13,19,False
2017-01-01,0,0,3,14,18,False
2017-02-01,0,0,2,10,21,False
2017-03-01,1,0,3,12,18,False
2017-04-01,0,0,3,13,19,False
2017-05-01,1,0,3,12,24,False
2017-06-01,0,0,1,11,19,False
2017-07-01,1,0,2,15,20,False
