date,Andy Hobsbawm,Gregory Petsko,Richard Preston,Philip Rosedale,Iraola,isPartial
2004-01-01,0,0,50,0,23,False
2004-02-01,0,15,30,0,60,False
2004-03-01,0,19,56,0,18,False
2004-04-01,0,0,91,0,19,False
2004-05-01,12,0,50,0,17,False
2004-06-01,0,12,50,25,19,False
2004-07-01,0,13,26,0,17,False
2004-08-01,0,12,40,0,20,False
2004-09-01,0,0,33,0,28,False
2004-10-01,0,0,45,0,26,False
2004-11-01,0,11,30,0,34,False
2004-12-01,0,0,39,0,21,False
2005-01-01,0,0,58,0,31,False
2005-02-01,0,0,33,0,24,False
2005-03-01,0,16,44,8,19,False
2005-04-01,0,9,58,0,24,False
2005-05-01,8,0,37,0,27,False
2005-06-01,0,0,38,0,29,False
2005-07-01,0,0,25,0,25,False
2005-08-01,0,0,37,0,21,False
2005-09-01,0,7,31,7,29,False
2005-10-01,0,7,54,0,27,False
2005-11-01,0,0,47,0,27,False
2005-12-01,0,0,42,0,22,False
2006-01-01,0,6,60,0,17,False
2006-02-01,0,6,66,6,22,False
2006-03-01,0,0,34,5,38,False
2006-04-01,0,6,28,0,24,False
2006-05-01,0,5,35,5,24,False
2006-06-01,0,5,27,5,27,False
2006-07-01,0,5,28,5,32,False
2006-08-01,0,10,26,5,20,False
2006-09-01,0,7,27,7,17,False
2006-10-01,4,0,36,6,27,False
2006-11-01,0,0,29,8,25,False
2006-12-01,0,4,35,4,22,False
2007-01-01,0,4,24,7,27,False
2007-02-01,4,0,22,11,24,False
2007-03-01,0,0,30,11,39,False
2007-04-01,0,4,47,11,25,False
2007-05-01,3,3,40,12,25,False
2007-06-01,0,0,29,6,27,False
2007-07-01,3,3,23,12,22,False
2007-08-01,0,0,29,8,17,False
2007-09-01,0,0,24,12,32,False
2007-10-01,3,3,23,4,24,False
2007-11-01,0,0,23,5,21,False
2007-12-01,0,4,26,8,28,False
2008-01-01,0,0,24,4,18,False
2008-02-01,0,0,20,6,29,False
2008-03-01,2,0,24,7,25,False
2008-04-01,0,0,17,10,27,False
2008-05-01,0,2,19,4,27,False
2008-06-01,2,2,29,4,24,False
2008-07-01,0,0,20,2,15,False
2008-08-01,0,0,19,4,32,False
2008-09-01,2,4,16,2,35,False
2008-10-01,0,0,20,4,30,False
2008-11-01,2,0,14,2,31,False
2008-12-01,0,3,17,6,25,False
2009-01-01,0,2,26,3,30,False
2009-02-01,2,0,15,2,35,False
2009-03-01,2,2,20,7,24,False
2009-04-01,0,2,24,4,32,False
2009-05-01,2,2,27,2,39,False
2009-06-01,0,0,14,4,27,False
2009-07-01,0,0,19,2,26,False
2009-08-01,0,0,19,3,32,False
2009-09-01,0,3,17,3,38,False
2009-10-01,1,0,18,3,28,False
2009-11-01,0,1,16,2,36,False
2009-12-01,1,0,14,4,27,False
2010-01-01,0,0,18,3,35,False
2010-02-01,1,1,18,3,18,False
2010-03-01,0,1,19,1,26,False
2010-04-01,0,1,23,4,27,False
2010-05-01,1,3,18,4,24,False
2010-06-01,0,1,18,8,29,False
2010-07-01,0,4,17,3,20,False
2010-08-01,2,0,15,3,27,False
2010-09-01,0,1,21,2,32,False
2010-10-01,0,0,20,3,34,False
2010-11-01,1,5,13,3,42,False
2010-12-01,0,1,18,1,34,False
2011-01-01,0,0,15,2,28,False
2011-02-01,1,1,15,2,38,False
2011-03-01,0,1,19,3,46,False
2011-04-01,1,2,13,2,34,False
2011-05-01,0,1,17,1,31,False
2011-06-01,5,1,16,3,33,False
2011-07-01,0,2,17,3,28,False
2011-08-01,1,1,16,3,42,False
2011-09-01,0,2,14,3,34,False
2011-10-01,1,1,19,3,32,False
2011-11-01,0,1,15,2,28,False
2011-12-01,0,2,17,1,27,False
2012-01-01,2,1,21,2,25,False
2012-02-01,0,0,16,1,30,False
2012-03-01,1,1,15,1,54,False
2012-04-01,2,2,13,1,34,False
2012-05-01,1,0,16,2,41,False
2012-06-01,1,1,13,1,32,False
2012-07-01,1,1,12,1,23,False
2012-08-01,0,1,18,2,24,False
2012-09-01,1,2,20,2,26,False
2012-10-01,1,0,17,1,25,False
2012-11-01,0,0,14,1,27,False
2012-12-01,1,0,15,1,23,False
2013-01-01,1,0,13,1,24,False
2013-02-01,0,1,15,1,25,False
2013-03-01,0,1,12,1,23,False
2013-04-01,0,0,13,1,25,False
2013-05-01,0,0,9,1,21,False
2013-06-01,0,1,14,1,23,False
2013-07-01,1,1,14,2,23,False
2013-08-01,1,1,16,1,24,False
2013-09-01,1,1,14,1,30,False
2013-10-01,1,1,14,1,26,False
2013-11-01,0,1,12,1,24,False
2013-12-01,0,0,14,2,25,False
2014-01-01,1,1,14,2,22,False
2014-02-01,1,1,13,2,25,False
2014-03-01,0,1,12,1,28,False
2014-04-01,1,1,14,2,22,False
2014-05-01,1,1,13,2,25,False
2014-06-01,1,1,9,2,21,False
2014-07-01,0,0,17,1,26,False
2014-08-01,0,1,29,2,34,False
2014-09-01,1,1,18,1,35,False
2014-10-01,1,1,39,1,27,False
2014-11-01,0,1,18,2,26,False
2014-12-01,0,1,13,1,22,False
2015-01-01,0,1,15,1,21,False
2015-02-01,1,1,13,1,26,False
2015-03-01,0,1,10,1,37,False
2015-04-01,0,1,10,1,38,False
2015-05-01,0,0,11,1,100,False
2015-06-01,0,0,11,1,44,False
2015-07-01,0,0,11,1,50,False
2015-08-01,0,1,13,1,34,False
2015-09-01,0,1,12,2,30,False
2015-10-01,0,1,10,2,24,False
2015-11-01,1,0,12,1,23,False
2015-12-01,0,0,12,1,20,False
2016-01-01,0,1,11,1,24,False
2016-02-01,0,1,11,1,23,False
2016-03-01,0,1,12,0,26,False
2016-04-01,0,0,12,0,18,False
2016-05-01,0,0,12,1,32,False
2016-06-01,0,0,11,0,26,False
2016-07-01,0,1,10,1,28,False
2016-08-01,1,1,8,1,18,False
2016-09-01,0,1,10,1,25,False
2016-10-01,0,0,9,1,24,False
2016-11-01,0,1,9,1,33,False
2016-12-01,0,0,10,0,19,False
2017-01-01,0,1,8,1,18,False
2017-02-01,0,0,10,1,21,False
2017-03-01,0,0,10,1,18,False
2017-04-01,0,0,10,1,19,False
2017-05-01,0,0,9,1,24,False
2017-06-01,0,0,8,1,19,False
2017-07-01,0,0,9,1,20,False
2017-08-01,0,0,30,1,18,False
2017-09-01,0,0,13,1,18,False
2017-10-01,0,0,9,1,16,False
