date,Mellody Hobson,Randall Munroe,Mark Ronson,William Black,Iraola,isPartial
2017-11-01,0,1,7,9,1,False
2017-12-01,0,1,7,6,1,False
2018-01-01,0,1,7,6,1,False
2018-02-01,1,0,6,7,1,False
2018-03-01,1,1,5,7,1,False
2018-04-01,1,0,5,6,1,False
2018-05-01,0,0,5,8,1,False
2018-06-01,1,0,5,6,1,False
2018-07-01,0,0,5,6,1,False
2018-08-01,0,0,6,5,1,False
2018-09-01,0,0,7,5,1,False
2018-10-01,0,0,7,6,1,False
2018-11-01,1,0,10,8,1,False
2018-12-01,1,1,38,6,1,False
2019-01-01,0,0,22,6,1,False
2019-02-01,0,1,28,7,1,False
2019-03-01,1,0,14,6,1,False
2019-04-01,0,0,14,7,1,False
2019-05-01,0,0,12,6,1,False
2019-06-01,0,1,24,5,1,False
2019-07-01,1,1,18,5,1,False
2019-08-01,0,1,10,5,1,False
2019-09-01,0,2,19,5,1,False
2019-10-01,0,1,16,6,1,False
2019-11-01,0,1,9,8,1,False
2019-12-01,1,1,9,6,1,False
2020-01-01,0,1,8,5,2,False
2020-02-01,0,1,7,7,3,False
2020-03-01,0,1,6,5,1,False
2020-04-01,0,1,7,6,1,False
2020-05-01,0,1,7,6,1,False
2020-06-01,1,1,6,8,1,False
2020-07-01,1,1,6,7,2,False
2020-08-01,0,0,6,6,1,False
2020-09-01,1,1,5,6,1,False
2020-10-01,1,0,5,6,1,False
