date,Tom Thum,John Searle,Kate Stone,Roberto D'Angelo + Francesca Fedeli,Iraola,isPartial
2004-01-01,0,20,35,0,23,False
2004-02-01,0,60,55,0,60,False
2004-03-01,0,19,46,0,18,False
2004-04-01,15,77,48,0,19,False
2004-05-01,0,29,67,0,17,False
2004-06-01,12,50,50,0,19,False
2004-07-01,13,26,74,13,17,False
2004-08-01,24,16,52,0,20,False
2004-09-01,11,41,55,0,28,False
2004-10-01,11,64,34,0,26,False
2004-11-01,11,68,38,0,34,False
2004-12-01,11,60,46,0,21,False
2005-01-01,0,43,43,9,31,False
2005-02-01,10,52,29,0,24,False
2005-03-01,8,33,49,0,19,False
2005-04-01,14,52,55,0,24,False
2005-05-01,16,48,27,0,27,False
2005-06-01,0,27,35,0,29,False
2005-07-01,16,41,38,0,25,False
2005-08-01,0,29,50,0,21,False
2005-09-01,7,43,60,0,29,False
2005-10-01,0,38,47,0,27,False
2005-11-01,13,45,45,0,27,False
2005-12-01,7,29,44,7,22,False
2006-01-01,9,39,52,0,17,False
2006-02-01,6,36,36,0,22,False
2006-03-01,5,36,63,0,38,False
2006-04-01,6,44,46,6,24,False
2006-05-01,5,37,34,0,24,False
2006-06-01,5,23,37,5,27,False
2006-07-01,5,19,42,0,32,False
2006-08-01,5,23,31,5,20,False
2006-09-01,5,27,24,5,17,False
2006-10-01,4,46,51,4,27,False
2006-11-01,4,37,25,0,25,False
2006-12-01,4,43,32,0,22,False
2007-01-01,4,31,32,0,27,False
2007-02-01,6,29,30,4,24,False
2007-03-01,5,16,41,7,39,False
2007-04-01,4,36,30,0,25,False
2007-05-01,3,27,39,0,25,False
2007-06-01,5,39,40,0,27,False
2007-07-01,6,23,35,0,22,False
2007-08-01,6,22,38,3,17,False
2007-09-01,4,25,36,3,32,False
2007-10-01,4,31,39,0,24,False
2007-11-01,8,32,33,3,21,False
2007-12-01,3,22,37,3,28,False
2008-01-01,5,15,35,0,18,False
2008-02-01,7,27,37,0,29,False
2008-03-01,9,25,40,0,25,False
2008-04-01,5,25,38,2,27,False
2008-05-01,5,29,28,2,27,False
2008-06-01,4,22,46,2,24,False
2008-07-01,6,16,30,0,15,False
2008-08-01,0,16,40,2,32,False
2008-09-01,3,20,41,6,35,False
2008-10-01,2,28,42,2,30,False
2008-11-01,2,22,32,0,31,False
2008-12-01,4,24,43,2,25,False
2009-01-01,3,23,46,2,30,False
2009-02-01,6,28,41,2,35,False
2009-03-01,4,25,45,2,24,False
2009-04-01,4,26,36,2,32,False
2009-05-01,2,19,47,2,39,False
2009-06-01,2,20,39,2,27,False
2009-07-01,3,18,42,2,26,False
2009-08-01,7,18,47,2,32,False
2009-09-01,5,20,34,2,38,False
2009-10-01,3,25,53,0,28,False
2009-11-01,4,27,39,1,36,False
2009-12-01,4,29,43,1,27,False
2010-01-01,5,21,36,0,35,False
2010-02-01,3,27,41,1,18,False
2010-03-01,1,27,43,2,26,False
2010-04-01,4,33,41,1,27,False
2010-05-01,4,22,44,1,24,False
2010-06-01,3,19,34,2,29,False
2010-07-01,4,18,39,1,20,False
2010-08-01,3,14,43,0,27,False
2010-09-01,4,22,49,2,32,False
2010-10-01,3,20,36,1,34,False
2010-11-01,3,27,51,1,42,False
2010-12-01,1,25,43,1,34,False
2011-01-01,2,21,47,1,28,False
2011-02-01,4,21,42,0,38,False
2011-03-01,4,19,43,1,46,False
2011-04-01,4,24,80,1,34,False
2011-05-01,3,25,67,1,31,False
