date,Sugata Mitra,Ory Okolloh,Einstein the Parrot,Peter Hirshberg,Iraola,isPartial
2004-01-01,0,0,0,0,20,False
2004-02-01,13,0,0,0,54,False
2004-03-01,0,0,0,0,16,False
2004-04-01,0,0,0,0,17,False
2004-05-01,0,0,0,0,15,False
2004-06-01,11,33,0,0,17,False
2004-07-01,0,0,0,12,15,False
2004-08-01,0,0,0,0,18,False
2004-09-01,0,10,0,0,25,False
2004-10-01,0,0,0,0,24,False
2004-11-01,0,0,0,0,30,False
2004-12-01,0,0,0,9,19,False
2005-01-01,8,0,0,0,27,False
2005-02-01,0,0,52,0,22,False
2005-03-01,7,0,12,0,17,False
2005-04-01,0,0,16,0,22,False
2005-05-01,7,0,7,0,24,False
2005-06-01,7,0,12,0,26,False
2005-07-01,7,0,22,0,22,False
2005-08-01,7,0,7,0,19,False
2005-09-01,0,0,11,6,26,False
2005-10-01,0,6,6,0,24,False
2005-11-01,0,0,12,0,24,False
2005-12-01,0,0,24,0,20,False
2006-01-01,5,0,12,5,15,False
2006-02-01,0,0,18,5,20,False
2006-03-01,0,0,12,0,33,False
2006-04-01,0,0,12,0,21,False
2006-05-01,0,0,5,0,21,False
2006-06-01,5,5,6,0,24,False
2006-07-01,5,0,13,0,28,False
2006-08-01,4,4,11,4,17,False
2006-09-01,4,0,4,0,15,False
2006-10-01,0,0,5,4,24,False
2006-11-01,4,4,6,0,22,False
2006-12-01,0,0,12,0,19,False
2007-01-01,3,0,6,0,24,False
2007-02-01,0,0,7,0,21,False
2007-03-01,6,3,6,0,35,False
2007-04-01,0,0,3,0,22,False
2007-05-01,0,3,6,0,22,False
2007-06-01,0,0,7,3,24,False
2007-07-01,0,0,6,0,20,False
2007-08-01,3,0,4,3,15,False
2007-09-01,3,3,6,3,29,False
2007-10-01,2,2,2,2,21,False
2007-11-01,2,0,3,0,18,False
2007-12-01,0,5,4,2,25,False
2008-01-01,0,3,4,2,16,False
2008-02-01,2,2,2,4,26,False
2008-03-01,2,0,3,2,23,False
2008-04-01,2,0,3,0,24,False
2008-05-01,0,0,3,2,24,False
2008-06-01,2,2,3,0,21,False
2008-07-01,0,0,3,0,13,False
2008-08-01,4,2,3,2,29,False
2008-09-01,3,3,7,5,32,False
2008-10-01,2,0,4,2,27,False
2008-11-01,4,0,4,0,28,False
2008-12-01,3,2,2,0,22,False
2009-01-01,2,2,5,2,27,False
2009-02-01,2,0,6,2,31,False
2009-03-01,3,2,8,0,21,False
2009-04-01,2,2,3,2,28,False
2009-05-01,3,1,4,1,35,False
2009-06-01,4,1,5,2,24,False
2009-07-01,2,0,3,1,23,False
2009-08-01,1,2,3,3,29,False
2009-09-01,1,0,3,0,34,False
2009-10-01,1,1,6,0,25,False
2009-11-01,2,1,2,1,32,False
2009-12-01,1,1,4,1,24,False
2010-01-01,2,0,4,1,31,False
2010-02-01,0,2,4,0,16,False
2010-03-01,2,3,3,0,23,False
2010-04-01,2,0,4,0,24,False
2010-05-01,3,1,3,1,21,False
2010-06-01,3,2,5,1,26,False
2010-07-01,3,0,5,1,18,False
2010-08-01,3,3,4,2,24,False
2010-09-01,20,1,3,0,29,False
2010-10-01,8,2,3,2,31,False
2010-11-01,9,2,3,0,37,False
2010-12-01,7,2,3,1,31,False
2011-01-01,8,3,5,0,25,False
2011-02-01,6,2,3,1,34,False
2011-03-01,5,1,4,1,41,False
2011-04-01,4,2,4,1,30,False
2011-05-01,8,1,2,1,28,False
2011-06-01,6,1,4,1,29,False
2011-07-01,6,2,3,0,25,False
2011-08-01,5,1,3,0,37,False
2011-09-01,7,1,4,1,30,False
2011-10-01,7,1,3,1,28,False
2011-11-01,4,2,5,1,25,False
2011-12-01,4,1,3,1,24,False
2012-01-01,4,1,2,1,23,False
2012-02-01,8,1,2,1,27,False
2012-03-01,6,1,3,1,48,False
2012-04-01,5,2,2,1,30,False
2012-05-01,6,1,3,0,36,False
2012-06-01,7,1,3,1,28,False
2012-07-01,4,2,1,1,20,False
2012-08-01,4,1,2,1,21,False
2012-09-01,4,1,2,1,23,False
2012-10-01,8,1,3,1,22,False
2012-11-01,7,1,3,1,24,False
2012-12-01,5,1,3,1,21,False
2013-01-01,4,1,2,1,21,False
2013-02-01,19,2,4,0,22,False
2013-03-01,45,2,3,1,21,False
2013-04-01,25,2,2,1,23,False
2013-05-01,18,1,2,1,19,False
2013-06-01,16,1,2,2,21,False
2013-07-01,15,1,4,1,21,False
2013-08-01,12,1,2,1,21,False
2013-09-01,14,2,2,0,27,False
2013-10-01,100,1,2,1,23,False
2013-11-01,32,1,2,0,21,False
2013-12-01,15,0,1,0,22,False
2014-01-01,18,1,2,0,20,False
2014-02-01,12,1,2,0,22,False
2014-03-01,16,1,2,0,25,False
2014-04-01,16,3,3,0,19,False
2014-05-01,11,2,2,0,22,False
2014-06-01,13,1,2,1,18,False
2014-07-01,6,1,2,1,23,False
2014-08-01,8,1,2,1,30,False
2014-09-01,14,0,2,0,31,False
2014-10-01,10,1,2,1,24,False
2014-11-01,8,2,3,0,23,False
2014-12-01,8,2,2,0,19,False
2015-01-01,8,1,3,0,19,False
2015-02-01,10,1,2,0,23,False
2015-03-01,7,1,1,0,33,False
2015-04-01,8,2,1,0,33,False
2015-05-01,7,2,1,0,89,False
2015-06-01,7,1,1,0,39,False
2015-07-01,6,1,1,1,45,False
2015-08-01,7,1,2,0,31,False
2015-09-01,15,2,2,1,27,False
2015-10-01,11,1,2,0,22,False
2015-11-01,9,1,1,0,20,False
2015-12-01,6,1,2,0,18,False
2016-01-01,7,1,2,1,21,False
2016-02-01,7,0,2,0,21,False
2016-03-01,9,2,2,0,23,False
2016-04-01,5,1,1,0,16,False
2016-05-01,6,1,1,0,29,False
2016-06-01,4,1,2,0,23,False
2016-07-01,6,1,3,0,25,False
2016-08-01,4,1,2,0,16,False
2016-09-01,7,1,1,0,23,False
2016-10-01,6,2,1,0,21,False
