date,Jeff Speck,Amanda Bennett,Iwan Baan,Alessandro Acquisti,Iraola,isPartial
2004-01-01,0,30,0,0,23,False
2004-02-01,15,0,0,15,60,False
2004-03-01,0,28,0,0,18,False
2004-04-01,14,29,0,0,19,False
2004-05-01,0,29,0,12,17,False
2004-06-01,12,12,0,12,19,False
2004-07-01,0,13,0,0,17,False
2004-08-01,0,30,0,0,20,False
2004-09-01,0,17,0,0,28,False
2004-10-01,0,11,0,11,26,False
2004-11-01,11,11,0,0,34,False
2004-12-01,0,11,0,10,21,False
2005-01-01,9,9,0,0,31,False
2005-02-01,0,15,0,10,24,False
2005-03-01,8,8,0,0,19,False
2005-04-01,0,14,0,9,24,False
2005-05-01,0,12,0,0,27,False
2005-06-01,0,16,0,0,29,False
2005-07-01,0,12,8,0,25,False
2005-08-01,0,8,0,8,21,False
2005-09-01,7,7,0,7,29,False
2005-10-01,0,9,0,0,27,False
2005-11-01,0,13,0,7,27,False
2005-12-01,7,16,0,7,22,False
2006-01-01,6,9,0,6,17,False
2006-02-01,0,12,0,6,22,False
2006-03-01,0,10,0,0,38,False
2006-04-01,6,13,0,11,24,False
2006-05-01,0,8,0,0,24,False
2006-06-01,0,5,0,0,27,False
2006-07-01,0,14,0,0,32,False
2006-08-01,5,16,0,10,20,False
2006-09-01,5,17,0,5,17,False
2006-10-01,6,11,0,4,27,False
2006-11-01,4,17,0,0,25,False
2006-12-01,0,10,4,4,22,False
2007-01-01,0,14,4,0,27,False
2007-02-01,0,5,8,0,24,False
2007-03-01,3,13,3,0,39,False
2007-04-01,4,6,0,0,25,False
2007-05-01,3,6,3,3,25,False
2007-06-01,3,5,0,3,27,False
2007-07-01,3,9,0,3,22,False
2007-08-01,3,5,0,3,17,False
2007-09-01,3,12,0,3,32,False
2007-10-01,3,9,3,3,24,False
2007-11-01,3,9,0,5,21,False
2007-12-01,0,7,3,0,28,False
2008-01-01,2,7,0,0,18,False
2008-02-01,2,8,2,0,29,False
2008-03-01,2,9,2,2,25,False
2008-04-01,0,14,0,3,27,False
2008-05-01,0,8,2,3,27,False
2008-06-01,0,8,2,2,24,False
2008-07-01,0,10,4,2,15,False
2008-08-01,3,13,0,4,32,False
2008-09-01,2,8,2,2,35,False
2008-10-01,2,7,3,2,30,False
2008-11-01,0,10,6,0,31,False
2008-12-01,2,5,6,2,25,False
2009-01-01,4,8,4,2,30,False
2009-02-01,4,8,4,0,35,False
2009-03-01,5,5,3,0,24,False
2009-04-01,3,8,2,2,32,False
2009-05-01,2,12,4,2,39,False
2009-06-01,2,8,3,3,27,False
2009-07-01,2,13,3,7,26,False
2009-08-01,3,14,3,4,32,False
2009-09-01,2,8,4,2,38,False
2009-10-01,1,7,3,1,28,False
2009-11-01,1,7,4,1,36,False
2009-12-01,1,9,5,1,27,False
2010-01-01,1,11,6,0,35,False
2010-02-01,1,11,9,0,18,False
2010-03-01,0,10,5,3,26,False
2010-04-01,1,8,5,1,27,False
2010-05-01,0,7,9,1,24,False
2010-06-01,0,11,4,3,29,False
2010-07-01,0,6,5,3,20,False
2010-08-01,1,6,3,4,27,False
2010-09-01,1,7,5,2,32,False
2010-10-01,1,8,9,1,34,False
2010-11-01,2,10,5,2,42,False
2010-12-01,0,5,7,2,34,False
2011-01-01,2,32,3,1,28,False
2011-02-01,1,10,8,2,38,False
2011-03-01,1,7,5,2,46,False
2011-04-01,1,12,4,1,34,False
2011-05-01,0,6,6,1,31,False
2011-06-01,1,7,5,3,33,False
2011-07-01,1,7,3,2,28,False
2011-08-01,1,10,5,2,42,False
2011-09-01,1,10,5,1,34,False
2011-10-01,1,8,5,2,32,False
2011-11-01,1,9,5,1,28,False
2011-12-01,1,7,5,3,27,False
2012-01-01,2,7,5,2,25,False
2012-02-01,1,10,7,1,30,False
2012-03-01,1,8,5,1,54,False
2012-04-01,1,11,6,1,34,False
2012-05-01,1,8,4,1,41,False
2012-06-01,1,13,4,1,32,False
2012-07-01,1,12,5,3,23,False
2012-08-01,1,13,3,1,24,False
2012-09-01,1,9,4,1,26,False
2012-10-01,1,10,6,1,25,False
2012-11-01,2,9,19,2,27,False
2012-12-01,1,9,9,1,23,False
2013-01-01,4,16,7,1,24,False
2013-02-01,3,22,7,1,25,False
