date,Keith Nolan,Tyrone Hayes + Penelope Jagessar Chaffer,Jenna McCarthy,Inara George,Iraola,isPartial
2004-01-01,15,15,20,0,23,False
2004-02-01,30,0,25,0,60,False
2004-03-01,0,37,25,0,18,False
2004-04-01,14,14,43,0,19,False
2004-05-01,13,0,42,0,17,False
2004-06-01,12,25,12,12,19,False
2004-07-01,13,0,19,13,17,False
2004-08-01,36,0,42,0,20,False
2004-09-01,11,0,22,11,28,False
2004-10-01,11,19,34,11,26,False
2004-11-01,0,11,23,11,34,False
2004-12-01,21,21,42,25,21,False
2005-01-01,9,9,28,37,31,False
2005-02-01,0,13,23,10,24,False
2005-03-01,8,16,29,19,19,False
2005-04-01,9,9,27,24,24,False
2005-05-01,16,12,20,8,27,False
2005-06-01,8,8,27,19,29,False
2005-07-01,0,8,44,12,25,False
2005-08-01,8,12,13,16,21,False
2005-09-01,12,11,17,7,29,False
2005-10-01,7,0,43,45,27,False
2005-11-01,0,0,22,22,27,False
2005-12-01,0,0,29,29,22,False
2006-01-01,23,6,21,15,17,False
2006-02-01,6,12,74,56,22,False
2006-03-01,10,5,27,34,38,False
2006-04-01,6,11,44,26,24,False
2006-05-01,15,0,30,30,24,False
2006-06-01,9,5,41,30,27,False
2006-07-01,5,5,27,42,32,False
2006-08-01,10,7,24,36,20,False
2006-09-01,5,7,19,28,17,False
2006-10-01,4,0,23,24,27,False
2006-11-01,4,4,28,36,25,False
2006-12-01,4,4,22,36,22,False
2007-01-01,6,11,25,34,27,False
2007-02-01,4,12,22,38,24,False
2007-03-01,3,9,24,32,39,False
2007-04-01,6,4,32,26,25,False
2007-05-01,3,3,21,30,25,False
2007-06-01,4,5,22,28,27,False
2007-07-01,6,3,18,20,22,False
2007-08-01,6,7,28,13,17,False
2007-09-01,6,3,33,18,32,False
2007-10-01,5,3,17,18,24,False
2007-11-01,4,4,19,18,21,False
2007-12-01,3,5,22,25,28,False
2008-01-01,2,5,14,14,18,False
2008-02-01,2,5,20,19,29,False
2008-03-01,5,5,15,18,25,False
2008-04-01,5,9,18,14,27,False
2008-05-01,6,2,13,15,27,False
2008-06-01,5,5,15,15,24,False
2008-07-01,5,2,13,16,15,False
2008-08-01,6,4,25,34,32,False
2008-09-01,2,5,15,19,35,False
2008-10-01,2,6,7,22,30,False
2008-11-01,5,2,10,19,31,False
2008-12-01,3,2,24,22,25,False
2009-01-01,3,2,17,20,30,False
2009-02-01,3,5,11,16,35,False
2009-03-01,6,3,15,13,24,False
2009-04-01,3,6,20,19,32,False
2009-05-01,3,4,8,15,39,False
2009-06-01,3,2,12,8,27,False
2009-07-01,4,4,13,14,26,False
2009-08-01,4,2,7,14,32,False
2009-09-01,3,4,13,11,38,False
2009-10-01,2,2,8,12,28,False
2009-11-01,1,2,11,14,36,False
2009-12-01,6,3,19,11,27,False
2010-01-01,1,1,12,16,35,False
2010-02-01,2,4,10,6,18,False
2010-03-01,3,4,9,17,26,False
2010-04-01,4,5,11,13,27,False
2010-05-01,4,3,10,13,24,False
2010-06-01,3,3,9,9,29,False
2010-07-01,2,3,11,10,20,False
2010-08-01,3,8,10,13,27,False
2010-09-01,2,5,10,7,32,False
2010-10-01,3,4,10,9,34,False
2010-11-01,3,4,12,8,42,False
2010-12-01,3,4,9,15,34,False
2011-01-01,2,2,11,10,28,False
2011-02-01,3,2,11,6,38,False
2011-03-01,3,2,8,9,46,False
2011-04-01,1,2,7,6,34,False
2011-05-01,3,1,5,9,31,False
2011-06-01,4,1,8,11,33,False
2011-07-01,4,2,9,7,28,False
2011-08-01,4,3,7,7,42,False
2011-09-01,3,3,11,9,34,False
2011-10-01,3,3,22,9,32,False
2011-11-01,3,3,11,11,28,False
2011-12-01,2,1,15,7,27,False
2012-01-01,2,2,17,6,25,False
2012-02-01,4,4,27,6,30,False
2012-03-01,3,2,16,6,54,False
2012-04-01,3,3,12,13,34,False
2012-05-01,3,2,18,7,41,False
2012-06-01,4,2,27,7,32,False
2012-07-01,5,4,16,8,23,False
2012-08-01,3,3,19,7,24,False
2012-09-01,5,11,15,6,26,False
2012-10-01,3,2,11,5,25,False
2012-11-01,2,4,12,5,27,False
2012-12-01,3,4,13,4,23,False
