date,Nathalie Miebach,Richard Wilkinson,Iain McGilchrist,Jay Bradner,Iraola,isPartial
2004-01-01,0,20,0,15,23,False
2004-02-01,0,23,0,0,60,False
2004-03-01,0,46,0,0,18,False
2004-04-01,0,38,0,0,19,False
2004-05-01,0,31,0,0,17,False
2004-06-01,0,25,0,0,19,False
2004-07-01,0,26,0,0,17,False
2004-08-01,0,30,0,0,20,False
2004-09-01,0,22,0,0,28,False
2004-10-01,0,19,0,0,26,False
2004-11-01,0,23,0,0,34,False
2004-12-01,0,32,0,0,21,False
2005-01-01,0,22,0,0,31,False
2005-02-01,0,20,0,0,24,False
2005-03-01,0,11,0,0,19,False
2005-04-01,0,21,0,0,24,False
2005-05-01,0,20,0,8,27,False
2005-06-01,0,8,0,0,29,False
2005-07-01,0,14,0,8,25,False
2005-08-01,0,18,0,0,21,False
2005-09-01,0,14,0,0,29,False
2005-10-01,0,29,0,0,27,False
2005-11-01,0,13,0,0,27,False
2005-12-01,0,13,0,0,22,False
2006-01-01,0,17,0,0,17,False
2006-02-01,0,15,0,0,22,False
2006-03-01,0,19,5,0,38,False
2006-04-01,0,15,0,0,24,False
2006-05-01,5,12,0,0,24,False
2006-06-01,0,20,0,0,27,False
2006-07-01,0,12,5,0,32,False
2006-08-01,5,16,0,0,20,False
2006-09-01,0,12,0,0,17,False
2006-10-01,0,9,0,0,27,False
2006-11-01,0,14,0,0,25,False
2006-12-01,4,11,0,0,22,False
2007-01-01,0,12,0,0,27,False
2007-02-01,0,21,0,0,24,False
2007-03-01,3,14,0,0,39,False
2007-04-01,4,11,4,0,25,False
2007-05-01,0,12,0,0,25,False
2007-06-01,0,13,0,0,27,False
2007-07-01,3,9,0,0,22,False
2007-08-01,0,4,0,0,17,False
2007-09-01,0,16,0,0,32,False
2007-10-01,0,16,0,3,24,False
2007-11-01,0,11,3,0,21,False
2007-12-01,0,12,0,0,28,False
2008-01-01,0,10,0,0,18,False
2008-02-01,0,14,0,2,29,False
2008-03-01,2,7,0,0,25,False
2008-04-01,2,15,0,0,27,False
2008-05-01,0,13,0,0,27,False
2008-06-01,0,12,0,0,24,False
2008-07-01,2,10,0,0,15,False
2008-08-01,0,15,0,0,32,False
2008-09-01,2,16,0,0,35,False
2008-10-01,0,10,0,2,30,False
2008-11-01,0,9,0,2,31,False
2008-12-01,2,8,0,0,25,False
2009-01-01,2,13,0,0,30,False
2009-02-01,4,8,2,0,35,False
2009-03-01,0,17,0,0,24,False
2009-04-01,2,18,0,0,32,False
2009-05-01,2,15,0,2,39,False
2009-06-01,2,18,2,2,27,False
2009-07-01,0,13,0,0,26,False
2009-08-01,0,14,0,0,32,False
2009-09-01,0,12,0,0,38,False
2009-10-01,0,12,0,0,28,False
2009-11-01,0,9,2,0,36,False
2009-12-01,1,10,4,1,27,False
2010-01-01,1,9,3,0,35,False
2010-02-01,3,17,1,1,18,False
2010-03-01,1,15,1,0,26,False
2010-04-01,1,14,0,0,27,False
2010-05-01,0,16,1,1,24,False
2010-06-01,0,16,0,0,29,False
2010-07-01,0,13,1,0,20,False
2010-08-01,1,14,2,0,27,False
2010-09-01,1,10,2,1,32,False
2010-10-01,1,15,2,0,34,False
2010-11-01,1,14,3,1,42,False
2010-12-01,1,10,2,1,34,False
2011-01-01,1,12,3,1,28,False
2011-02-01,1,13,2,0,38,False
2011-03-01,1,11,2,1,46,False
2011-04-01,1,13,3,0,34,False
2011-05-01,1,9,2,1,31,False
2011-06-01,2,7,3,1,33,False
2011-07-01,4,10,2,0,28,False
2011-08-01,1,9,2,0,42,False
2011-09-01,2,11,1,1,34,False
2011-10-01,4,21,10,2,32,False
2011-11-01,2,21,7,4,28,False
2011-12-01,2,13,4,1,27,False
2012-01-01,2,15,5,2,25,False
2012-02-01,0,11,4,1,30,False
2012-03-01,1,15,4,1,54,False
2012-04-01,1,15,3,1,34,False
2012-05-01,1,13,4,0,41,False
2012-06-01,1,11,3,2,32,False
2012-07-01,1,7,3,0,23,False
2012-08-01,1,11,4,2,24,False
2012-09-01,1,11,2,1,26,False
2012-10-01,1,9,2,1,25,False
2012-11-01,1,12,3,1,27,False
2012-12-01,1,10,2,1,23,False
2013-01-01,1,8,2,2,24,False
2013-02-01,1,11,2,1,25,False
2013-03-01,1,10,2,1,23,False
2013-04-01,1,12,3,1,25,False
2013-05-01,1,11,2,1,21,False
2013-06-01,0,6,3,1,23,False
2013-07-01,1,8,1,1,23,False
2013-08-01,1,8,3,1,24,False
2013-09-01,1,7,1,1,30,False
2013-10-01,1,10,3,1,26,False
2013-11-01,2,11,3,1,24,False
2013-12-01,1,8,1,1,25,False
2014-01-01,1,7,2,1,22,False
2014-02-01,1,11,2,1,25,False
2014-03-01,0,9,2,1,28,False
2014-04-01,1,11,3,1,22,False
2014-05-01,1,8,1,1,25,False
2014-06-01,1,8,1,1,21,False
2014-07-01,1,7,1,1,26,False
2014-08-01,1,9,1,0,34,False
2014-09-01,1,9,2,1,35,False
2014-10-01,1,9,2,1,27,False
2014-11-01,1,10,1,1,26,False
2014-12-01,1,11,2,1,22,False
2015-01-01,0,8,1,1,21,False
2015-02-01,1,9,2,1,26,False
2015-03-01,1,9,1,1,37,False
2015-04-01,1,10,1,1,38,False
2015-05-01,1,7,1,1,100,False
2015-06-01,0,10,1,1,44,False
2015-07-01,0,6,1,1,50,False
2015-08-01,1,7,2,1,34,False
2015-09-01,1,10,1,5,30,False
2015-10-01,1,10,2,1,24,False
2015-11-01,0,10,2,2,23,False
2015-12-01,1,6,1,1,20,False
2016-01-01,0,8,1,1,24,False
2016-02-01,0,8,1,1,23,False
2016-03-01,0,8,2,1,26,False
2016-04-01,0,8,1,1,18,False
2016-05-01,1,9,2,1,32,False
2016-06-01,0,5,1,1,26,False
2016-07-01,1,7,2,1,28,False
2016-08-01,0,6,2,1,18,False
2016-09-01,1,6,2,1,25,False
2016-10-01,1,8,1,1,24,False
2016-11-01,0,7,1,1,33,False
2016-12-01,0,6,2,1,19,False
2017-01-01,0,7,2,1,18,False
