date,David Brooks,Janna Levin,Mark Bezos,Rogier van der Heide,Iraola,isPartial
2008-08-01,47,1,1,1,8,False
2008-09-01,71,1,1,0,9,False
2008-10-01,100,0,0,1,8,False
2008-11-01,63,1,0,0,7,False
2008-12-01,32,1,1,1,8,False
2009-01-01,32,1,0,0,9,False
2009-02-01,43,3,0,0,8,False
2009-03-01,39,1,0,0,5,False
2009-04-01,36,1,0,0,9,False
2009-05-01,32,0,0,0,9,False
2009-06-01,28,0,1,0,7,False
2009-07-01,36,1,0,0,7,False
2009-08-01,26,1,0,0,9,False
2009-09-01,35,1,0,0,9,False
2009-10-01,35,0,0,0,7,False
2009-11-01,37,1,0,0,9,False
2009-12-01,35,0,0,0,7,False
2010-01-01,57,1,0,0,9,False
2010-02-01,43,0,0,0,5,False
2010-03-01,37,2,0,0,7,False
2010-04-01,34,1,0,1,6,False
2010-05-01,31,1,0,0,7,False
2010-06-01,22,1,0,0,8,False
2010-07-01,36,1,0,0,4,False
2010-08-01,36,1,0,0,8,False
2010-09-01,36,1,1,0,9,False
2010-10-01,32,1,1,0,9,False
2010-11-01,25,1,0,0,11,False
2010-12-01,28,1,0,0,9,False
2011-01-01,45,1,1,0,8,False
2011-02-01,34,0,1,0,9,False
2011-03-01,78,1,1,1,12,False
2011-04-01,57,1,1,0,9,False
2011-05-01,49,1,1,0,8,False
2011-06-01,46,1,1,1,9,False
2011-07-01,69,1,1,0,7,False
2011-08-01,34,0,0,0,11,False
2011-09-01,45,1,1,0,9,False
2011-10-01,34,1,1,0,8,False
2011-11-01,42,1,0,0,7,False
2011-12-01,42,1,1,0,7,False
2012-01-01,36,0,0,0,7,False
2012-02-01,38,1,0,0,9,False
2012-03-01,34,0,0,0,15,False
2012-04-01,29,1,1,0,8,False
2012-05-01,31,1,0,0,11,False
2012-06-01,28,2,0,0,9,False
2012-07-01,31,1,0,0,6,False
2012-08-01,45,1,0,0,7,False
2012-09-01,77,1,1,0,7,False
2012-10-01,46,1,0,0,6,False
2012-11-01,58,4,0,0,7,False
2012-12-01,31,3,1,0,6,False
2013-01-01,32,1,0,0,6,False
2013-02-01,26,1,0,0,6,False
2013-03-01,25,1,0,0,6,False
2013-04-01,25,0,1,0,7,False
2013-05-01,23,0,0,0,6,False
2013-06-01,29,1,0,0,6,False
2013-07-01,25,0,0,0,7,False
2013-08-01,23,0,1,0,6,False
2013-09-01,22,0,1,0,8,False
2013-10-01,25,0,1,0,7,False
2013-11-01,23,0,1,0,7,False
2013-12-01,25,1,1,0,7,False
2014-01-01,39,1,0,0,6,False
2014-02-01,25,1,1,0,6,False
2014-03-01,23,1,1,0,7,False
2014-04-01,33,1,1,0,6,False
2014-05-01,24,1,1,0,6,False
2014-06-01,21,0,0,0,5,False
2014-07-01,22,1,1,0,6,False
2014-08-01,21,1,1,0,9,False
2014-09-01,25,0,1,0,9,False
2014-10-01,22,0,1,0,8,False
2014-11-01,21,0,1,0,7,False
2014-12-01,20,1,1,0,6,False
2015-01-01,30,1,1,0,6,False
2015-02-01,27,1,1,0,6,False
2015-03-01,22,0,1,0,10,False
2015-04-01,61,1,1,0,9,False
2015-05-01,43,1,1,0,26,False
2015-06-01,34,1,1,0,12,False
2015-07-01,35,1,1,0,13,False
2015-08-01,32,0,2,0,9,False
2015-09-01,26,0,1,0,8,False
2015-10-01,34,0,1,0,6,False
2015-11-01,28,2,1,0,6,False
2015-12-01,28,1,2,0,6,False
2016-01-01,31,1,2,0,7,False
2016-02-01,45,1,1,0,6,False
2016-03-01,50,1,2,0,7,False
2016-04-01,30,1,2,0,5,False
2016-05-01,33,2,2,0,8,False
2016-06-01,28,1,2,0,6,False
2016-07-01,39,1,1,0,6,False
2016-08-01,34,1,2,0,5,False
2016-09-01,31,1,2,0,7,False
2016-10-01,36,1,2,0,5,False
2016-11-01,62,1,2,0,8,False
2016-12-01,25,1,2,0,6,False
2017-01-01,39,1,4,0,5,False
2017-02-01,42,0,3,0,5,False
2017-03-01,33,1,3,0,5,False
2017-04-01,28,1,3,0,5,False
