date,Jonathan Klein,Thelma Golden,Eric Whitacre,Edith Widder,Iraola,isPartial
2004-01-01,17,8,31,0,12,False
2004-02-01,8,8,22,0,33,False
2004-03-01,10,0,41,0,10,False
2004-04-01,8,0,35,0,11,False
2004-05-01,7,7,17,0,9,False
2004-06-01,7,0,14,7,10,False
2004-07-01,14,0,29,0,10,False
2004-08-01,10,0,13,0,11,False
2004-09-01,6,0,24,6,15,False
2004-10-01,6,0,23,0,15,False
2004-11-01,13,0,27,0,19,False
2004-12-01,9,0,19,0,12,False
2005-01-01,20,5,25,0,17,False
2005-02-01,16,0,34,0,13,False
2005-03-01,7,0,26,4,10,False
2005-04-01,23,0,24,0,13,False
2005-05-01,13,0,19,0,15,False
2005-06-01,12,0,16,0,16,False
2005-07-01,11,5,18,0,14,False
2005-08-01,7,4,20,0,12,False
2005-09-01,13,4,26,0,16,False
2005-10-01,6,4,37,0,15,False
2005-11-01,11,7,27,4,15,False
2005-12-01,5,5,44,0,12,False
2006-01-01,6,4,30,0,10,False
2006-02-01,6,5,36,0,12,False
2006-03-01,10,3,36,0,21,False
2006-04-01,5,0,41,0,13,False
2006-05-01,7,6,36,0,13,False
2006-06-01,9,6,20,3,15,False
2006-07-01,8,0,12,0,18,False
2006-08-01,4,3,16,0,11,False
2006-09-01,3,3,32,3,10,False
2006-10-01,5,5,32,0,15,False
2006-11-01,2,5,37,2,14,False
2006-12-01,6,6,29,0,12,False
2007-01-01,6,3,26,0,15,False
2007-02-01,4,4,35,0,13,False
2007-03-01,4,2,26,2,21,False
2007-04-01,4,2,30,2,14,False
2007-05-01,4,2,19,2,14,False
2007-06-01,4,0,16,2,15,False
2007-07-01,3,2,20,2,12,False
2007-08-01,3,0,23,0,9,False
2007-09-01,3,2,25,3,18,False
2007-10-01,3,1,30,1,13,False
2007-11-01,5,1,29,0,11,False
2007-12-01,5,2,26,2,16,False
2008-01-01,4,2,33,1,10,False
2008-02-01,4,1,29,1,16,False
2008-03-01,3,4,27,1,14,False
2008-04-01,3,1,24,1,15,False
2008-05-01,4,1,25,0,15,False
2008-06-01,3,2,16,0,13,False
2008-07-01,5,1,14,0,8,False
2008-08-01,4,2,15,2,18,False
2008-09-01,5,2,28,0,20,False
2008-10-01,5,1,23,1,17,False
2008-11-01,4,3,22,0,17,False
2008-12-01,5,2,23,1,14,False
2009-01-01,4,2,23,1,17,False
2009-02-01,5,3,25,2,19,False
2009-03-01,3,1,31,0,13,False
2009-04-01,4,1,25,0,17,False
2009-05-01,3,1,28,0,22,False
2009-06-01,4,2,16,0,15,False
2009-07-01,4,1,19,0,14,False
2009-08-01,2,1,21,1,18,False
2009-09-01,4,1,26,1,21,False
2009-10-01,5,1,29,0,15,False
2009-11-01,9,1,27,1,20,False
2009-12-01,4,1,22,0,15,False
2010-01-01,4,1,25,0,19,False
2010-02-01,4,3,22,0,10,False
2010-03-01,4,1,30,1,14,False
2010-04-01,7,2,39,1,15,False
2010-05-01,4,2,40,2,13,False
2010-06-01,2,1,23,1,16,False
2010-07-01,4,1,16,1,11,False
2010-08-01,3,1,21,0,15,False
2010-09-01,7,1,38,1,18,False
2010-10-01,8,1,40,1,19,False
2010-11-01,2,1,40,1,23,False
2010-12-01,2,1,34,0,19,False
2011-01-01,3,1,41,1,15,False
2011-02-01,3,0,25,1,21,False
2011-03-01,3,1,29,1,25,False
2011-04-01,5,2,100,1,19,False
2011-05-01,3,1,40,1,17,False
2011-06-01,2,1,32,1,18,False
2011-07-01,4,1,21,1,15,False
2011-08-01,3,1,23,1,23,False
2011-09-01,3,1,33,0,19,False
2011-10-01,3,0,40,0,17,False
2011-11-01,3,1,31,1,16,False
2011-12-01,3,1,33,1,15,False
2012-01-01,3,1,37,1,14,False
2012-02-01,3,1,43,1,17,False
2012-03-01,4,1,31,1,30,False
2012-04-01,3,1,48,0,19,False
2012-05-01,4,1,29,1,22,False
2012-06-01,4,0,25,0,18,False
2012-07-01,4,1,20,1,13,False
2012-08-01,6,1,19,1,13,False
2012-09-01,5,0,29,0,14,False
2012-10-01,5,1,30,1,14,False
2012-11-01,5,1,35,0,15,False
2012-12-01,5,1,35,0,13,False
2013-01-01,4,1,34,1,13,False
