date,Jonathan Klein,Thelma Golden,Eric Whitacre,Edith Widder,Iraola,isPartial
2013-02-01,4,1,29,2,14,False
2013-03-01,3,1,44,2,13,False
2013-04-01,5,1,28,1,14,False
2013-05-01,3,1,31,0,11,False
2013-06-01,2,0,33,0,13,False
2013-07-01,3,1,22,0,13,False
2013-08-01,3,0,21,0,13,False
2013-09-01,4,1,26,0,17,False
2013-10-01,4,1,26,1,14,False
2013-11-01,4,1,29,1,13,False
2013-12-01,2,1,26,0,14,False
2014-01-01,3,1,24,1,12,False
2014-02-01,3,5,26,0,14,False
2014-03-01,4,1,24,1,16,False
2014-04-01,3,1,26,1,12,False
2014-05-01,3,1,27,0,14,False
2014-06-01,2,1,17,1,11,False
2014-07-01,2,1,15,0,14,False
2014-08-01,3,1,24,1,19,False
2014-09-01,2,1,21,1,19,False
2014-10-01,3,1,23,0,15,False
2014-11-01,2,1,23,1,14,False
2014-12-01,2,1,16,0,12,False
2015-01-01,2,1,21,1,12,False
2015-02-01,3,1,22,0,15,False
2015-03-01,3,1,20,1,20,False
2015-04-01,3,1,22,0,21,False
2015-05-01,3,1,21,0,55,False
2015-06-01,2,2,12,0,24,False
2015-07-01,2,1,14,0,28,False
2015-08-01,2,1,22,0,19,False
2015-09-01,2,0,17,0,16,False
2015-10-01,3,1,19,0,13,False
2015-11-01,3,1,17,0,13,False
2015-12-01,2,2,18,0,11,False
2016-01-01,3,1,19,1,13,False
2016-02-01,3,1,20,1,13,False
2016-03-01,3,1,16,1,14,False
2016-04-01,3,1,15,1,10,False
2016-05-01,3,1,15,0,18,False
2016-06-01,2,1,10,0,14,False
2016-07-01,2,1,10,1,15,False
2016-08-01,2,1,13,0,10,False
2016-09-01,3,1,17,0,14,False
2016-10-01,2,0,17,1,13,False
2016-11-01,3,1,15,1,18,False
2016-12-01,2,1,15,0,10,False
2017-01-01,3,1,18,0,10,False
2017-02-01,2,1,18,0,12,False
2017-03-01,3,1,20,0,10,False
2017-04-01,2,1,14,1,10,False
2017-05-01,2,1,14,0,13,False
2017-06-01,2,1,9,1,10,False
2017-07-01,2,1,8,0,11,False
2017-08-01,2,0,9,0,10,False
2017-09-01,2,1,13,0,10,False
2017-10-01,3,2,14,1,9,False
2017-11-01,2,1,16,1,8,False
2017-12-01,2,2,12,0,8,False
2018-01-01,2,2,14,0,11,False
2018-02-01,2,2,15,0,9,False
2018-03-01,2,1,12,1,7,False
2018-04-01,2,1,15,0,9,False
2018-05-01,2,1,13,0,9,False
2018-06-01,2,0,11,0,9,False
2018-07-01,2,1,10,0,9,False
2018-08-01,2,1,9,0,10,False
2018-09-01,2,1,13,0,10,False
2018-10-01,2,1,13,1,11,False
2018-11-01,2,2,13,0,9,False
2018-12-01,2,1,12,0,9,False
2019-01-01,2,1,13,0,9,False
2019-02-01,2,1,16,0,10,False
2019-03-01,2,1,13,0,8,False
2019-04-01,1,0,11,0,11,False
2019-05-01,2,1,12,0,9,False
2019-06-01,2,1,9,0,9,False
2019-07-01,2,1,7,0,13,False
2019-08-01,2,1,9,0,11,False
2019-09-01,2,1,10,0,10,False
2019-10-01,2,1,13,0,9,False
2019-11-01,2,1,13,0,9,False
2019-12-01,2,1,13,0,10,False
2020-01-01,2,1,11,0,16,False
2020-02-01,2,1,12,0,29,False
2020-03-01,2,1,16,0,12,False
2020-04-01,2,0,16,1,9,False
2020-05-01,2,1,24,0,8,False
2020-06-01,2,1,7,0,9,False
2020-07-01,2,1,20,0,19,False
2020-08-01,1,1,11,0,15,False
2020-09-01,1,1,13,1,11,False
2020-10-01,2,1,9,0,12,False
