date,Jennifer Senior,Norman Spack,Jeremy Kasdin,Matthew Carter,Iraola,isPartial
2004-01-01,15,15,0,55,23,False
2004-02-01,15,0,0,25,60,False
2004-03-01,0,0,0,50,18,False
2004-04-01,15,0,0,22,19,False
2004-05-01,25,0,0,25,17,False
2004-06-01,0,0,0,43,19,False
2004-07-01,22,0,0,39,17,False
2004-08-01,20,0,0,32,20,False
2004-09-01,0,0,0,33,28,False
2004-10-01,17,0,0,53,26,False
2004-11-01,23,0,0,34,34,False
2004-12-01,14,0,0,21,21,False
2005-01-01,28,0,0,28,31,False
2005-02-01,16,0,10,39,24,False
2005-03-01,11,0,0,36,19,False
2005-04-01,9,0,0,46,24,False
2005-05-01,16,0,0,27,27,False
2005-06-01,16,0,8,24,29,False
2005-07-01,8,0,0,14,25,False
2005-08-01,24,0,0,26,21,False
2005-09-01,14,0,0,29,29,False
2005-10-01,9,0,0,37,27,False
2005-11-01,10,0,0,36,27,False
2005-12-01,20,0,0,51,22,False
2006-01-01,15,0,6,41,17,False
2006-02-01,12,0,0,32,22,False
2006-03-01,14,0,0,32,38,False
2006-04-01,11,0,0,24,24,False
2006-05-01,10,5,0,22,24,False
2006-06-01,16,5,0,34,27,False
2006-07-01,16,0,0,37,32,False
2006-08-01,10,0,0,27,20,False
2006-09-01,12,5,0,22,17,False
2006-10-01,14,0,0,19,27,False
2006-11-01,4,0,0,26,25,False
2006-12-01,13,0,0,29,22,False
2007-01-01,15,4,0,16,27,False
2007-02-01,12,4,0,25,24,False
2007-03-01,8,0,0,36,39,False
2007-04-01,6,4,0,34,25,False
2007-05-01,8,0,0,36,25,False
2007-06-01,4,3,0,39,27,False
2007-07-01,6,0,0,45,22,False
2007-08-01,7,0,0,54,17,False
2007-09-01,6,0,0,18,32,False
2007-10-01,8,0,0,17,24,False
2007-11-01,3,0,3,17,21,False
2007-12-01,5,0,3,24,28,False
2008-01-01,10,0,0,20,18,False
2008-02-01,13,0,0,26,29,False
2008-03-01,5,2,2,18,25,False
2008-04-01,5,2,0,21,27,False
2008-05-01,8,3,0,18,27,False
2008-06-01,5,2,0,15,24,False
2008-07-01,11,2,2,15,15,False
2008-08-01,9,0,0,12,32,False
2008-09-01,3,2,0,14,35,False
2008-10-01,10,2,0,19,30,False
2008-11-01,12,0,0,20,31,False
2008-12-01,9,2,0,15,25,False
2009-01-01,8,2,0,17,30,False
2009-02-01,8,2,0,22,35,False
2009-03-01,8,2,0,16,24,False
2009-04-01,12,2,0,11,32,False
2009-05-01,5,2,0,14,39,False
2009-06-01,7,0,0,9,27,False
2009-07-01,7,0,0,15,26,False
2009-08-01,9,2,0,16,32,False
2009-09-01,7,0,2,18,38,False
2009-10-01,8,1,0,19,28,False
2009-11-01,7,0,0,17,36,False
2009-12-01,6,1,0,11,27,False
2010-01-01,11,3,0,16,35,False
2010-02-01,5,1,0,17,18,False
2010-03-01,7,0,1,13,26,False
2010-04-01,10,0,1,14,27,False
2010-05-01,4,0,0,14,24,False
2010-06-01,9,0,0,14,29,False
2010-07-01,12,1,0,16,20,False
2010-08-01,6,1,0,12,27,False
2010-09-01,5,0,1,23,32,False
2010-10-01,10,1,0,18,34,False
2010-11-01,6,2,0,18,42,False
2010-12-01,4,0,0,15,34,False
2011-01-01,5,0,0,20,28,False
2011-02-01,5,0,0,18,38,False
2011-03-01,7,1,0,15,46,False
2011-04-01,6,0,0,16,34,False
2011-05-01,4,1,0,16,31,False
2011-06-01,7,0,0,20,33,False
2011-07-01,5,2,0,22,28,False
2011-08-01,7,0,1,15,42,False
