date,John Delaney,Laurie Santos,Jason Clay,Sheryl WuDunn,Iraola,isPartial
2004-01-01,16,0,21,0,10,False
2004-02-01,17,0,10,0,26,False
2004-03-01,8,0,24,8,8,False
2004-04-01,12,0,6,0,8,False
2004-05-01,16,0,5,0,7,False
2004-06-01,9,0,11,0,8,False
2004-07-01,11,0,11,6,7,False
2004-08-01,10,0,12,0,9,False
2004-09-01,16,0,14,0,12,False
2004-10-01,11,0,5,5,11,False
2004-11-01,11,0,0,0,15,False
2004-12-01,12,5,6,4,9,False
2005-01-01,14,0,16,0,13,False
2005-02-01,17,0,4,0,10,False
2005-03-01,13,3,3,3,8,False
2005-04-01,9,0,4,0,10,False
2005-05-01,16,0,8,0,11,False
2005-06-01,21,0,0,5,13,False
2005-07-01,11,0,4,0,10,False
2005-08-01,16,0,3,3,9,False
2005-09-01,10,0,5,0,12,False
2005-10-01,13,0,6,3,12,False
2005-11-01,9,6,5,0,11,False
2005-12-01,10,3,3,3,9,False
2006-01-01,13,2,9,0,7,False
2006-02-01,9,0,12,0,9,False
2006-03-01,12,4,5,2,16,False
2006-04-01,8,2,5,2,10,False
2006-05-01,14,2,5,0,10,False
2006-06-01,9,2,3,0,11,False
2006-07-01,8,2,2,0,14,False
2006-08-01,8,2,3,2,8,False
2006-09-01,9,2,5,0,7,False
2006-10-01,12,2,7,0,12,False
2006-11-01,8,2,2,0,11,False
2006-12-01,11,2,3,0,9,False
2007-01-01,10,2,4,0,12,False
2007-02-01,10,2,3,3,10,False
2007-03-01,15,1,8,3,17,False
2007-04-01,9,3,3,0,11,False
2007-05-01,9,1,5,2,11,False
2007-06-01,10,1,7,0,11,False
2007-07-01,7,1,5,1,9,False
2007-08-01,11,0,5,2,7,False
2007-09-01,8,1,5,0,14,False
2007-10-01,16,3,3,0,10,False
2007-11-01,12,1,8,0,9,False
2007-12-01,9,0,3,0,12,False
2008-01-01,9,2,3,0,8,False
2008-02-01,10,1,5,1,12,False
2008-03-01,12,0,3,4,11,False
2008-04-01,10,2,6,1,11,False
2008-05-01,10,1,8,2,12,False
2008-06-01,7,2,8,1,10,False
2008-07-01,8,2,5,1,6,False
2008-08-01,8,1,6,3,14,False
2008-09-01,10,1,7,1,15,False
2008-10-01,10,1,7,1,13,False
2008-11-01,9,0,4,1,13,False
2008-12-01,9,1,4,0,11,False
2009-01-01,9,2,4,2,13,False
2009-02-01,8,1,4,1,15,False
2009-03-01,6,1,3,1,10,False
2009-04-01,5,1,5,1,13,False
2009-05-01,8,1,5,2,17,False
2009-06-01,8,1,5,1,11,False
2009-07-01,10,1,4,1,11,False
2009-08-01,7,1,6,4,14,False
2009-09-01,11,1,4,4,16,False
2009-10-01,9,1,3,3,12,False
2009-11-01,12,1,3,3,15,False
2009-12-01,7,1,5,2,11,False
2010-01-01,6,1,6,2,15,False
2010-02-01,9,1,5,1,8,False
2010-03-01,10,1,6,2,11,False
2010-04-01,6,1,6,3,12,False
2010-05-01,7,1,3,1,10,False
2010-06-01,6,1,5,2,12,False
2010-07-01,9,2,5,1,9,False
2010-08-01,10,7,7,4,12,False
2010-09-01,8,1,5,7,14,False
2010-10-01,9,1,5,2,15,False
2010-11-01,9,1,4,2,18,False
2010-12-01,8,1,6,3,15,False
2011-01-01,8,1,5,2,12,False
2011-02-01,8,1,5,1,16,False
2011-03-01,9,1,4,1,19,False
2011-04-01,9,2,7,2,14,False
2011-05-01,16,1,4,1,13,False
2011-06-01,10,1,6,1,14,False
2011-07-01,10,1,5,1,12,False
2011-08-01,9,1,5,2,18,False
2011-09-01,9,1,6,1,14,False
2011-10-01,8,1,5,2,14,False
2011-11-01,9,1,4,2,12,False
2011-12-01,9,1,5,1,11,False
2012-01-01,9,1,4,2,11,False
2012-02-01,10,1,3,1,13,False
2012-03-01,10,1,4,2,23,False
2012-04-01,11,1,5,1,14,False
2012-05-01,8,2,3,2,17,False
2012-06-01,15,0,4,1,14,False
2012-07-01,12,1,4,1,10,False
2012-08-01,13,1,4,1,10,False
2012-09-01,8,2,5,2,11,False
2012-10-01,11,1,4,3,11,False
2012-11-01,14,2,4,1,11,False
2012-12-01,7,1,3,1,10,False
2013-01-01,10,1,4,1,10,False
2013-02-01,8,1,2,1,11,False
2013-03-01,10,1,3,1,10,False
2013-04-01,7,1,4,1,11,False
2013-05-01,7,1,3,1,9,False
2013-06-01,9,0,3,1,10,False
2013-07-01,7,1,4,1,10,False
2013-08-01,7,1,6,1,10,False
2013-09-01,9,1,7,1,13,False
2013-10-01,10,1,5,1,11,False
2013-11-01,13,1,4,1,10,False
2013-12-01,7,1,3,1,10,False
2014-01-01,10,1,2,1,9,False
2014-02-01,9,2,4,1,11,False
2014-03-01,9,1,4,2,12,False
2014-04-01,10,1,3,1,9,False
2014-05-01,7,1,5,1,11,False
2014-06-01,8,0,3,1,9,False
2014-07-01,8,0,4,1,11,False
2014-08-01,8,1,4,1,14,False
2014-09-01,11,1,5,3,15,False
2014-10-01,13,1,5,3,12,False
2014-11-01,28,1,9,2,11,False
2014-12-01,10,1,18,1,9,False
2015-01-01,7,1,7,1,9,False
2015-02-01,9,0,6,2,11,False
2015-03-01,10,1,5,1,16,False
2015-04-01,8,1,4,1,16,False
2015-05-01,8,1,5,1,43,False
2015-06-01,26,1,7,1,19,False
2015-07-01,7,0,9,0,21,False
2015-08-01,7,0,8,1,15,False
2015-09-01,7,1,10,1,13,False
2015-10-01,8,1,7,1,10,False
2015-11-01,9,0,4,0,10,False
2015-12-01,8,0,6,0,9,False
2016-01-01,9,0,4,0,10,False
2016-02-01,8,1,5,1,10,False
2016-03-01,7,1,6,1,11,False
2016-04-01,10,1,7,1,8,False
2016-05-01,7,1,7,0,14,False
2016-06-01,10,0,6,0,11,False
2016-07-01,8,0,5,0,12,False
2016-08-01,21,1,6,0,8,False
2016-09-01,10,1,6,1,11,False
2016-10-01,8,1,5,1,10,False
2016-11-01,9,0,3,1,14,False
2016-12-01,7,0,3,1,8,False
2017-01-01,9,0,4,1,8,False
2017-02-01,12,1,4,0,9,False
2017-03-01,9,1,4,1,8,False
2017-04-01,10,1,5,0,8,False
2017-05-01,7,0,3,0,10,False
2017-06-01,8,0,4,0,8,False
2017-07-01,26,0,3,1,8,False
2017-08-01,16,0,3,0,8,False
2017-09-01,9,1,5,0,8,False
2017-10-01,10,1,5,1,7,False
2017-11-01,11,0,4,0,6,False
2017-12-01,9,0,4,0,6,False
2018-01-01,11,2,4,1,8,False
2018-02-01,18,4,4,0,7,False
2018-03-01,8,4,3,1,6,False
2018-04-01,10,4,3,0,7,False
2018-05-01,9,3,5,0,7,False
2018-06-01,12,2,5,0,7,False
2018-07-01,10,5,4,0,7,False
2018-08-01,12,4,4,0,7,False
