date,Christopher Ryan,Ash Beckham,Siddharthan Chandran,Catherine Bracy,Iraola,isPartial
2004-01-01,57,0,0,0,11,False
2004-02-01,57,0,0,0,34,False
2004-03-01,56,0,0,0,14,False
2004-04-01,44,11,0,0,16,False
2004-05-01,33,0,0,0,9,False
2004-06-01,56,9,0,0,14,False
2004-07-01,50,0,0,0,10,False
2004-08-01,74,0,0,0,14,False
2004-09-01,59,0,0,0,21,False
2004-10-01,69,0,9,0,13,False
2004-11-01,56,0,0,0,21,False
2004-12-01,52,0,0,0,16,False
2005-01-01,46,0,0,0,21,False
2005-02-01,41,0,0,0,19,False
2005-03-01,68,0,0,0,12,False
2005-04-01,70,0,0,0,21,False
2005-05-01,40,0,0,0,24,False
2005-06-01,55,0,0,0,24,False
2005-07-01,41,0,0,0,16,False
2005-08-01,75,0,0,0,12,False
2005-09-01,38,0,0,0,19,False
2005-10-01,70,0,0,0,26,False
2005-11-01,41,0,0,0,26,False
2005-12-01,63,0,0,0,20,False
2006-01-01,66,0,0,0,13,False
2006-02-01,57,0,0,0,16,False
2006-03-01,43,4,0,0,27,False
2006-04-01,61,0,0,0,17,False
2006-05-01,40,4,0,0,25,False
2006-06-01,55,0,0,0,22,False
2006-07-01,36,0,0,0,22,False
2006-08-01,52,0,0,0,15,False
2006-09-01,41,0,0,0,9,False
2006-10-01,28,0,0,0,15,False
2006-11-01,41,0,0,0,24,False
2006-12-01,36,0,0,0,18,False
2007-01-01,41,0,3,3,17,False
2007-02-01,35,0,0,0,16,False
2007-03-01,34,0,0,0,27,False
2007-04-01,51,0,0,0,21,False
2007-05-01,37,2,0,0,16,False
2007-06-01,18,0,0,0,17,False
2007-07-01,32,5,2,0,20,False
2007-08-01,37,2,0,0,14,False
2007-09-01,35,0,0,0,22,False
2007-10-01,45,0,0,0,16,False
2007-11-01,38,0,0,0,16,False
2007-12-01,34,0,0,0,21,False
2008-01-01,38,4,2,0,16,False
2008-02-01,32,0,0,0,25,False
2008-03-01,38,2,0,0,14,False
2008-04-01,39,2,0,0,22,False
2008-05-01,41,2,0,0,23,False
2008-06-01,42,2,0,0,17,False
2008-07-01,40,2,0,0,11,False
2008-08-01,45,0,0,0,25,False
2008-09-01,37,0,0,0,27,False
2008-10-01,33,1,0,0,24,False
2008-11-01,40,0,0,0,25,False
2008-12-01,39,1,0,0,19,False
2009-01-01,44,2,0,0,19,False
2009-02-01,38,0,0,0,30,False
2009-03-01,34,0,0,0,22,False
2009-04-01,31,1,1,0,27,False
2009-05-01,41,1,0,0,32,False
2009-06-01,27,0,1,0,19,False
2009-07-01,33,0,0,0,19,False
2009-08-01,33,1,1,0,25,False
2009-09-01,36,0,1,1,33,False
2009-10-01,33,1,1,0,19,False
2009-11-01,31,1,1,0,28,False
2009-12-01,30,1,1,0,19,False
2010-01-01,32,0,0,0,27,False
2010-02-01,29,1,1,0,13,False
2010-03-01,35,1,0,0,19,False
2010-04-01,28,2,1,0,23,False
2010-05-01,40,1,0,0,16,False
2010-06-01,35,1,1,0,22,False
2010-07-01,38,0,0,1,16,False
2010-08-01,39,0,1,0,19,False
2010-09-01,33,1,1,0,22,False
2010-10-01,30,1,1,0,23,False
2010-11-01,28,1,0,0,29,False
2010-12-01,29,0,0,0,29,False
2011-01-01,41,1,1,0,18,False
2011-02-01,25,0,1,0,30,False
2011-03-01,28,0,0,0,35,False
2011-04-01,28,1,0,0,23,False
2011-05-01,35,1,0,0,24,False
2011-06-01,37,1,0,1,27,False
2011-07-01,31,1,0,0,20,False
2011-08-01,28,1,0,0,28,False
2011-09-01,32,1,0,1,28,False
2011-10-01,29,1,0,0,25,False
2011-11-01,35,0,0,0,21,False
2011-12-01,32,1,1,0,20,False
2012-01-01,37,0,1,0,20,False
2012-02-01,37,1,1,1,23,False
2012-03-01,27,1,0,0,39,False
2012-04-01,38,1,1,0,27,False
2012-05-01,100,1,1,0,29,False
2012-06-01,54,1,0,0,23,False
2012-07-01,52,1,1,0,17,False
2012-08-01,45,2,1,0,16,False
2012-09-01,40,2,0,0,18,False
2012-10-01,34,1,1,0,20,False
2012-11-01,32,1,0,0,18,False
2012-12-01,41,1,1,0,18,False
2013-01-01,61,1,0,0,18,False
2013-02-01,38,1,1,0,20,False
2013-03-01,59,4,0,0,17,False
2013-04-01,35,1,0,0,17,False
2013-05-01,49,1,0,0,13,False
2013-06-01,34,0,1,0,18,False
2013-07-01,36,0,0,0,16,False
2013-08-01,37,1,0,0,17,False
2013-09-01,33,2,0,0,21,False
2013-10-01,29,2,0,1,18,False
2013-11-01,35,43,0,1,17,False
2013-12-01,40,8,0,0,19,False
2014-01-01,42,4,0,0,16,False
2014-02-01,38,7,1,1,19,False
2014-03-01,34,6,2,1,22,False
2014-04-01,32,4,1,0,16,False
2014-05-01,34,4,0,0,20,False
2014-06-01,46,3,0,0,15,False
2014-07-01,31,3,0,0,21,False
2014-08-01,34,2,1,0,25,False
2014-09-01,29,2,0,0,27,False
2014-10-01,26,4,0,1,21,False
2014-11-01,27,2,0,0,23,False
2014-12-01,31,2,1,1,18,False
2015-01-01,26,3,0,0,17,False
2015-02-01,31,2,0,1,20,False
2015-03-01,26,2,0,0,29,False
2015-04-01,33,2,1,1,30,False
2015-05-01,23,2,1,0,77,False
2015-06-01,29,1,0,1,31,False
2015-07-01,29,7,0,0,37,False
2015-08-01,27,3,1,0,29,False
2015-09-01,38,2,0,1,22,False
2015-10-01,37,3,1,0,18,False
2015-11-01,36,3,1,0,18,False
2015-12-01,36,1,0,0,15,False
2016-01-01,34,2,0,0,16,False
2016-02-01,26,2,0,0,19,False
2016-03-01,33,2,0,0,19,False
2016-04-01,26,2,0,0,15,False
2016-05-01,26,1,0,0,24,False
2016-06-01,29,2,0,0,20,False
2016-07-01,25,2,0,0,22,False
2016-08-01,31,2,1,0,14,False
2016-09-01,23,3,0,1,18,False
2016-10-01,24,1,0,0,20,False
2016-11-01,22,1,0,0,26,False
2016-12-01,21,1,1,0,13,False
2017-01-01,23,1,0,0,14,False
2017-02-01,55,1,0,0,17,False
2017-03-01,31,1,0,0,14,False
2017-04-01,25,1,0,0,14,False
2017-05-01,26,1,0,0,18,False
2017-06-01,23,1,0,0,14,False
2017-07-01,23,1,0,0,15,False
2017-08-01,24,1,1,1,15,False
2017-09-01,24,1,0,0,13,False
2017-10-01,24,1,0,0,12,False
2017-11-01,25,1,0,0,11,False
2017-12-01,39,1,0,0,10,False
2018-01-01,26,1,0,0,14,False
2018-02-01,24,1,0,0,12,False
2018-03-01,33,1,0,0,9,False
2018-04-01,74,1,0,0,12,False
2018-05-01,26,0,0,0,14,False
2018-06-01,21,1,0,0,14,False
2018-07-01,31,0,0,0,12,False
2018-08-01,29,0,0,0,13,False
2018-09-01,24,2,0,0,15,False
2018-10-01,25,1,0,0,16,False
2018-11-01,22,1,0,0,13,False
2018-12-01,23,1,0,0,11,False
2019-01-01,17,0,0,0,11,False
2019-02-01,21,1,0,0,14,False
2019-03-01,27,1,0,0,12,False
2019-04-01,21,1,0,0,15,False
2019-05-01,17,1,0,0,12,False
2019-06-01,18,0,0,0,14,False
2019-07-01,20,0,0,0,18,False
2019-08-01,22,1,0,0,15,False
2019-09-01,23,1,0,0,13,False
2019-10-01,74,0,0,0,13,False
2019-11-01,37,1,0,0,14,False
2019-12-01,31,1,1,0,14,False
2020-01-01,23,1,0,0,21,False
2020-02-01,24,1,0,0,40,False
2020-03-01,20,1,0,0,17,False
2020-04-01,23,1,0,0,12,False
2020-05-01,23,1,0,0,9,False
2020-06-01,22,1,0,0,12,False
2020-07-01,24,0,1,0,27,False
2020-08-01,22,1,0,0,20,False
2020-09-01,21,1,1,0,15,False
2020-10-01,23,1,0,0,16,False
