date,Ron Finley,Kakenya Ntaiya,Shane Koyczan,Dan Pallotta,Iraola,isPartial
2004-01-01,0,0,8,0,12,False
2004-02-01,8,0,15,0,31,False
2004-03-01,0,0,10,0,9,False
2004-04-01,0,0,11,7,10,False
2004-05-01,0,0,6,6,9,False
2004-06-01,0,6,6,0,9,False
2004-07-01,7,0,0,0,9,False
2004-08-01,6,0,6,6,10,False
2004-09-01,0,0,6,0,14,False
2004-10-01,0,0,6,0,14,False
2004-11-01,0,0,0,0,17,False
2004-12-01,0,0,0,5,11,False
2005-01-01,0,0,5,0,16,False
2005-02-01,0,0,5,0,12,False
2005-03-01,4,0,4,4,10,False
2005-04-01,0,0,0,5,12,False
2005-05-01,0,0,4,0,14,False
2005-06-01,4,0,4,4,15,False
2005-07-01,0,0,4,0,13,False
2005-08-01,4,0,4,0,11,False
2005-09-01,0,0,4,4,15,False
2005-10-01,7,3,3,0,14,False
2005-11-01,0,0,3,3,14,False
2005-12-01,0,0,0,0,11,False
2006-01-01,0,0,3,3,9,False
2006-02-01,0,0,5,0,11,False
2006-03-01,5,0,3,0,19,False
2006-04-01,0,0,0,0,12,False
2006-05-01,0,0,6,0,12,False
2006-06-01,3,0,6,3,14,False
2006-07-01,0,0,3,0,16,False
2006-08-01,3,0,3,0,10,False
2006-09-01,2,0,5,0,9,False
2006-10-01,2,0,3,2,14,False
2006-11-01,0,0,4,0,13,False
2006-12-01,2,0,4,0,11,False
2007-01-01,2,0,4,0,14,False
2007-02-01,0,0,5,2,12,False
2007-03-01,2,0,2,2,20,False
2007-04-01,2,0,6,0,13,False
2007-05-01,2,0,3,3,13,False
2007-06-01,2,0,2,2,14,False
2007-07-01,2,0,4,0,11,False
2007-08-01,2,0,4,0,9,False
2007-09-01,0,0,2,1,16,False
2007-10-01,3,0,4,0,12,False
2007-11-01,4,0,3,0,11,False
2007-12-01,2,0,4,3,14,False
2008-01-01,1,0,3,1,9,False
2008-02-01,1,0,4,1,15,False
2008-03-01,1,0,4,1,13,False
2008-04-01,2,0,2,0,14,False
2008-05-01,1,0,2,0,14,False
2008-06-01,0,0,4,2,12,False
2008-07-01,1,0,1,0,8,False
2008-08-01,1,0,3,0,16,False
2008-09-01,0,0,5,0,18,False
2008-10-01,3,0,3,0,16,False
2008-11-01,2,0,3,0,16,False
2008-12-01,1,0,1,3,13,False
2009-01-01,1,0,2,3,15,False
2009-02-01,1,0,3,1,18,False
2009-03-01,1,0,4,1,12,False
2009-04-01,1,0,3,2,16,False
2009-05-01,1,1,4,2,20,False
2009-06-01,2,0,3,1,14,False
2009-07-01,2,0,3,1,13,False
2009-08-01,0,0,2,1,16,False
2009-09-01,1,0,3,1,20,False
2009-10-01,1,1,4,1,14,False
2009-11-01,1,1,5,2,19,False
2009-12-01,1,0,3,1,14,False
2010-01-01,1,0,4,1,18,False
2010-02-01,1,1,100,1,9,False
2010-03-01,1,0,17,1,13,False
2010-04-01,1,0,6,1,14,False
2010-05-01,1,0,6,1,12,False
2010-06-01,1,1,5,1,15,False
2010-07-01,1,0,7,1,10,False
2010-08-01,1,0,5,1,14,False
2010-09-01,1,1,6,2,16,False
2010-10-01,1,0,8,1,18,False
2010-11-01,1,0,5,1,21,False
2010-12-01,1,0,3,1,18,False
2011-01-01,1,1,6,1,14,False
2011-02-01,1,0,5,1,19,False
