date,Bryan Stevenson,Andrew Stanton,James Hansen,Jennifer Pahlka,Iraola,isPartial
2014-08-01,2,3,6,0,9,False
2014-09-01,2,4,4,0,10,False
2014-10-01,11,3,4,0,7,False
2014-11-01,7,4,5,0,7,False
2014-12-01,5,4,4,0,6,False
2015-01-01,5,3,4,0,6,False
2015-02-01,8,3,4,0,7,False
2015-03-01,9,4,4,0,10,False
2015-04-01,9,4,5,0,10,False
2015-05-01,5,4,4,0,27,False
2015-06-01,5,3,4,0,12,False
2015-07-01,7,3,7,0,14,False
2015-08-01,11,3,6,0,9,False
2015-09-01,8,4,4,0,8,False
2015-10-01,10,3,5,0,7,False
2015-11-01,11,4,5,0,6,False
2015-12-01,6,3,8,0,5,False
2016-01-01,7,3,4,0,7,False
2016-02-01,7,3,5,0,6,False
2016-03-01,7,4,6,0,7,False
2016-04-01,6,3,6,0,5,False
2016-05-01,5,3,4,0,9,False
2016-06-01,7,9,4,0,7,False
2016-07-01,8,4,3,0,8,False
2016-08-01,8,3,3,0,5,False
2016-09-01,9,3,3,0,7,False
2016-10-01,9,3,4,0,6,False
2016-11-01,6,4,5,0,9,False
2016-12-01,7,3,4,0,5,False
2017-01-01,7,3,4,0,5,False
2017-02-01,7,3,4,0,6,False
2017-03-01,7,3,4,0,5,False
2017-04-01,7,3,4,0,5,False
2017-05-01,7,2,4,0,6,False
2017-06-01,5,2,6,0,5,False
2017-07-01,6,3,4,0,5,False
2017-08-01,9,2,3,0,5,False
2017-09-01,7,3,4,0,5,False
2017-10-01,8,7,4,0,4,False
2017-11-01,7,9,6,0,4,False
2017-12-01,6,4,3,0,4,False
2018-01-01,7,3,4,0,5,False
2018-02-01,8,3,3,0,5,False
2018-03-01,7,3,4,0,4,False
2018-04-01,14,14,3,0,4,False
2018-05-01,10,3,3,0,5,False
2018-06-01,9,3,5,0,5,False
2018-07-01,7,3,4,0,4,False
2018-08-01,8,3,5,0,5,False
2018-09-01,8,4,4,0,5,False
2018-10-01,7,3,6,0,5,False
2018-11-01,10,3,6,0,5,False
2018-12-01,8,3,3,0,4,False
2019-01-01,8,2,5,0,4,False
2019-02-01,9,3,4,0,5,False
2019-03-01,10,2,4,0,4,False
2019-04-01,8,3,4,0,5,False
2019-05-01,7,3,3,0,4,False
2019-06-01,13,3,3,0,5,False
2019-07-01,11,3,4,0,7,False
2019-08-01,8,2,4,0,5,False
2019-09-01,17,3,4,0,5,False
2019-10-01,11,3,4,0,4,False
2019-11-01,11,3,4,0,4,False
2019-12-01,19,4,4,0,5,False
2020-01-01,47,3,4,0,8,False
2020-02-01,28,3,3,0,15,False
2020-03-01,18,2,3,0,6,False
2020-04-01,24,3,4,0,5,False
2020-05-01,20,3,3,0,4,False
2020-06-01,100,3,2,0,4,False
2020-07-01,20,3,3,0,9,False
2020-08-01,15,3,3,0,7,False
2020-09-01,17,3,4,0,5,False
2020-10-01,23,2,4,0,6,False
