date,Stefan Sagmeister,Alex Steffen,Thom Mayne,Chris Bangle,Iraola,isPartial
2017-10-01,9,1,1,2,7,False
2017-11-01,7,1,2,3,6,False
2017-12-01,6,1,1,3,6,False
2018-01-01,6,1,1,2,8,False
2018-02-01,6,1,1,1,7,False
2018-03-01,7,1,2,2,6,False
2018-04-01,7,1,1,1,7,False
2018-05-01,7,0,1,1,7,False
2018-06-01,5,1,1,1,7,False
2018-07-01,6,1,1,1,7,False
2018-08-01,4,1,2,1,8,False
2018-09-01,5,1,1,2,8,False
2018-10-01,8,1,1,2,9,False
2018-11-01,6,1,1,1,7,False
2018-12-01,5,1,1,1,7,False
2019-01-01,6,1,1,3,7,False
2019-02-01,6,1,2,1,8,False
2019-03-01,4,0,2,1,7,False
2019-04-01,4,0,1,1,8,False
2019-05-01,5,0,1,2,7,False
2019-06-01,5,1,1,2,7,False
2019-07-01,4,1,1,1,10,False
2019-08-01,4,1,2,2,8,False
2019-09-01,4,1,1,1,7,False
2019-10-01,7,1,1,1,7,False
2019-11-01,4,0,1,2,7,False
2019-12-01,3,0,1,1,8,False
2020-01-01,4,0,1,2,12,False
2020-02-01,3,1,2,2,23,False
2020-03-01,4,0,1,2,9,False
2020-04-01,4,0,1,1,7,False
2020-05-01,3,0,1,2,6,False
2020-06-01,3,0,1,3,7,False
2020-07-01,2,0,0,2,15,False
2020-08-01,2,0,1,1,11,False
2020-09-01,3,1,1,2,8,False
2020-10-01,4,0,1,1,9,False
