date,Sam Martin,Eric Sanderson,David Hanson,Rory Sutherland,Iraola,isPartial
2004-01-01,16,4,8,0,5,False
2004-02-01,20,4,14,0,14,False
2004-03-01,7,0,10,0,4,False
2004-04-01,17,0,13,3,5,False
2004-05-01,14,3,12,0,4,False
2004-06-01,19,0,9,0,4,False
2004-07-01,11,3,9,0,4,False
2004-08-01,15,4,13,0,5,False
2004-09-01,17,3,12,0,7,False
2004-10-01,18,0,16,0,6,False
2004-11-01,19,0,12,3,8,False
2004-12-01,16,3,11,0,5,False
2005-01-01,27,2,12,0,7,False
2005-02-01,18,0,11,0,6,False
2005-03-01,15,2,11,0,5,False
2005-04-01,17,2,12,2,6,False
2005-05-01,16,3,13,0,6,False
2005-06-01,14,2,10,2,7,False
2005-07-01,13,3,10,2,6,False
2005-08-01,16,0,13,0,5,False
2005-09-01,11,2,7,3,7,False
2005-10-01,19,0,8,3,6,False
2005-11-01,19,3,11,2,6,False
2005-12-01,19,0,9,2,5,False
2006-01-01,19,1,10,0,4,False
2006-02-01,15,1,11,0,5,False
2006-03-01,8,1,7,0,9,False
2006-04-01,15,1,10,3,6,False
2006-05-01,14,1,7,1,6,False
2006-06-01,12,1,7,0,6,False
2006-07-01,10,0,13,0,8,False
2006-08-01,16,0,11,0,5,False
2006-09-01,10,0,9,0,4,False
2006-10-01,15,1,8,1,6,False
2006-11-01,16,2,11,0,6,False
2006-12-01,14,1,9,0,5,False
2007-01-01,12,0,10,1,7,False
2007-02-01,8,0,7,1,6,False
2007-03-01,10,2,10,1,9,False
2007-04-01,12,1,8,1,6,False
2007-05-01,14,1,6,1,6,False
2007-06-01,10,2,7,1,6,False
2007-07-01,15,1,9,1,5,False
2007-08-01,14,1,9,1,4,False
2007-09-01,15,1,11,1,8,False
2007-10-01,11,1,9,0,6,False
2007-11-01,13,1,6,1,5,False
2007-12-01,15,1,6,1,7,False
2008-01-01,13,1,8,0,4,False
2008-02-01,14,1,7,1,7,False
2008-03-01,12,0,7,1,6,False
2008-04-01,13,1,6,1,6,False
2008-05-01,14,1,6,1,6,False
2008-06-01,13,1,6,1,6,False
2008-07-01,17,1,8,1,4,False
2008-08-01,15,1,8,1,8,False
2008-09-01,12,1,7,0,8,False
2008-10-01,14,0,7,1,7,False
2008-11-01,16,0,6,1,7,False
2008-12-01,10,0,6,1,6,False
2009-01-01,14,2,7,1,7,False
2009-02-01,12,1,7,1,8,False
2009-03-01,13,0,9,1,6,False
2009-04-01,10,2,6,1,7,False
2009-05-01,12,1,7,1,9,False
2009-06-01,15,1,7,1,6,False
2009-07-01,10,1,7,1,6,False
2009-08-01,15,1,8,0,8,False
2009-09-01,11,1,6,1,9,False
2009-10-01,13,1,8,3,7,False
2009-11-01,14,1,7,2,9,False
2009-12-01,10,1,6,1,6,False
2010-01-01,12,1,7,1,8,False
2010-02-01,11,0,7,1,4,False
2010-03-01,11,0,6,1,6,False
2010-04-01,11,1,6,1,7,False
2010-05-01,11,1,6,2,6,False
2010-06-01,10,0,5,3,7,False
2010-07-01,13,1,6,1,5,False
2010-08-01,14,1,6,1,6,False
2010-09-01,12,1,8,2,8,False
2010-10-01,12,1,6,1,8,False
2010-11-01,12,1,5,1,10,False
2010-12-01,10,1,3,1,8,False
2011-01-01,11,1,5,1,7,False
2011-02-01,11,1,4,2,9,False
2011-03-01,10,0,4,1,11,False
2011-04-01,10,1,5,1,8,False
2011-05-01,13,1,5,1,7,False
2011-06-01,11,0,5,1,8,False
2011-07-01,11,0,4,1,7,False
2011-08-01,13,0,5,2,10,False
2011-09-01,10,1,5,1,8,False
2011-10-01,9,0,5,1,8,False
2011-11-01,11,1,5,1,7,False
2011-12-01,11,0,3,1,6,False
2012-01-01,11,0,4,1,6,False
2012-02-01,10,0,4,1,7,False
2012-03-01,12,0,4,1,13,False
2012-04-01,10,0,5,1,8,False
2012-05-01,12,1,5,5,10,False
2012-06-01,9,0,3,2,8,False
2012-07-01,9,0,5,1,5,False
