date,Sarah Kay,Isabel Behncke,Paul Root Wolpe,Eythor Bender,Iraola,isPartial
2004-01-01,62,0,0,0,15,False
2004-02-01,38,0,0,0,41,False
2004-03-01,30,0,0,0,13,False
2004-04-01,49,0,10,0,13,False
2004-05-01,46,0,0,0,11,False
2004-06-01,59,0,0,0,13,False
2004-07-01,59,0,0,0,12,False
2004-08-01,77,0,0,0,14,False
2004-09-01,30,0,0,0,19,False
2004-10-01,39,0,0,0,18,False
2004-11-01,78,0,8,0,23,False
2004-12-01,51,0,0,0,14,False
2005-01-01,53,0,6,0,21,False
2005-02-01,51,0,0,0,17,False
2005-03-01,35,0,0,0,13,False
2005-04-01,46,0,0,0,17,False
2005-05-01,53,0,0,0,18,False
2005-06-01,37,0,0,0,20,False
2005-07-01,36,0,0,0,17,False
2005-08-01,43,0,0,0,14,False
2005-09-01,61,0,0,0,20,False
2005-10-01,55,0,5,0,18,False
2005-11-01,57,0,0,0,18,False
2005-12-01,45,0,0,0,15,False
2006-01-01,62,0,4,0,12,False
2006-02-01,40,0,0,0,15,False
2006-03-01,50,0,0,0,26,False
2006-04-01,49,0,0,0,16,False
2006-05-01,37,0,0,0,16,False
2006-06-01,52,0,0,0,18,False
2006-07-01,56,0,0,0,22,False
2006-08-01,54,0,0,0,13,False
2006-09-01,62,0,3,0,12,False
2006-10-01,47,0,3,0,19,False
2006-11-01,62,0,3,0,17,False
2006-12-01,57,0,0,0,15,False
2007-01-01,46,0,0,0,19,False
2007-02-01,56,0,0,0,16,False
2007-03-01,62,0,0,0,27,False
2007-04-01,48,0,2,0,17,False
2007-05-01,56,0,2,0,17,False
2007-06-01,53,0,0,0,18,False
2007-07-01,65,0,0,0,15,False
2007-08-01,65,0,0,0,12,False
2007-09-01,52,0,4,0,22,False
2007-10-01,61,0,2,0,16,False
2007-11-01,77,0,2,0,14,False
2007-12-01,59,0,0,0,19,False
2008-01-01,51,0,0,0,13,False
2008-02-01,61,0,2,0,20,False
2008-03-01,59,0,0,0,17,False
2008-04-01,76,0,0,0,18,False
2008-05-01,66,0,0,0,18,False
2008-06-01,67,0,0,0,16,False
2008-07-01,57,0,0,0,10,False
2008-08-01,94,0,2,0,22,False
2008-09-01,78,0,0,0,24,False
2008-10-01,65,0,1,0,21,False
2008-11-01,72,0,1,0,21,False
2008-12-01,65,0,0,1,17,False
2009-01-01,65,0,0,0,20,False
2009-02-01,65,0,0,0,24,False
2009-03-01,58,0,1,0,16,False
2009-04-01,56,0,0,0,22,False
2009-05-01,53,0,0,0,27,False
2009-06-01,54,0,1,0,18,False
2009-07-01,62,0,1,0,18,False
2009-08-01,58,0,1,0,22,False
2009-09-01,53,0,2,0,26,False
2009-10-01,59,1,1,0,19,False
2009-11-01,60,0,1,2,25,False
