date,Eve Ensler,David Deutsch,Richard Dawkins,Steven Levitt,Iraola,isPartial
2017-11-01,1,4,19,1,2,False
2017-12-01,1,3,16,1,1,False
2018-01-01,1,4,17,0,2,False
2018-02-01,2,4,16,1,1,False
2018-03-01,1,4,20,1,2,False
2018-04-01,1,3,17,1,2,False
2018-05-01,0,4,16,1,2,False
2018-06-01,1,3,13,1,2,False
2018-07-01,0,3,15,1,2,False
2018-08-01,1,4,14,1,2,False
2018-09-01,1,3,14,0,2,False
2018-10-01,2,3,14,0,2,False
2018-11-01,1,3,13,0,2,False
2018-12-01,1,4,13,0,2,False
2019-01-01,1,4,15,1,2,False
2019-02-01,1,3,14,1,2,False
2019-03-01,1,4,13,0,2,False
2019-04-01,1,4,13,0,2,False
2019-05-01,2,3,11,0,2,False
2019-06-01,4,4,11,1,2,False
2019-07-01,1,4,12,1,2,False
2019-08-01,1,4,12,1,2,False
2019-09-01,1,3,16,0,2,False
2019-10-01,1,4,22,1,2,False
2019-11-01,1,3,17,0,2,False
2019-12-01,0,3,12,0,2,False
2020-01-01,1,3,12,0,3,False
2020-02-01,1,3,15,0,6,False
2020-03-01,1,3,11,0,3,False
2020-04-01,1,4,14,0,1,False
2020-05-01,1,4,13,1,2,False
2020-06-01,1,3,18,1,2,False
2020-07-01,1,3,14,0,4,False
2020-08-01,1,3,11,1,3,False
2020-09-01,1,3,13,0,3,False
2020-10-01,1,4,18,0,2,False
2020-11-01,1,4,11,1,3,True
